Name,Primary Occupation,Race,Sex,Birth Date,Death Date,Wikipedia Link,wikipedia_url,Does_Sam_Think_is_real,original_designation,dob,county,status,match_confidence,validated,validation_notes,summary,education,dod,place_of_birth,place_of_death,gender,involved_in_sports,involved_in_politics,involved_in_military,involved_in_music
Dan McCarty,politician,,male,1912-01-18,1953-09-28,https://en.wikipedia.org/wiki/Daniel_T._McCarty,https://en.wikipedia.org/wiki/Daniel_T._McCarty,yes,Dan McCarty Memorial Highway,1912-07-24,Multiple Counties,Found,66.7,True,seq=15.7; human:+40; fl:+10; county-miss:-8; us:+5,"Daniel T. McCarty was an American politician born on July 24, 1912, in Fort Pierce, Florida. He served as the 31st Governor of Florida from 1953 until his death in office on September 28, 1953, making his tenure one of the shortest in state history. Prior to his governorship, McCarty was a state legislator and a prominent figure in Florida’s Democratic Party during the mid-20th century. His sudden death at age 41 cut short a political career marked by advocacy for education and economic development in Florida.","['University of Florida, College of Law, LL.B.']",1953-09-28,"Fort Pierce, Florida, United States","Tallahassee, Florida, United States",male,no,yes,yes,no
Hamilton Disston,businessperson,,male,1844-08-23,1896-04-30,https://en.wikipedia.org/wiki/Hamilton_Disston,https://en.wikipedia.org/wiki/Hamilton_Disston,yes,Hamilton Disston Bridge,1844-08-23,Polk,Found,67.0,True,seq=20.0; human:+40; fl:+10; county-miss:-8; us:+5,"Hamilton Disston was an American industrialist and real estate developer born on August 23, 1844, in Philadelphia, Pennsylvania. He is best known for his land purchases in Florida during the late 19th century, which significantly contributed to the state's drainage and development. Disston founded the Disston Saw Works, a major manufacturer of saws and tools, and played a pivotal role in Florida's economic growth through his drainage projects. He died on April 30, 1896, leaving behind a legacy as one of Florida’s key historical figures in land development and industrial innovation.",,1896-04-30,"Philadelphia, Pennsylvania, United States","Philadelphia, Pennsylvania, United States",male,no,no,no,no
Douglas Stenstrom,lawyer,,male,1921-09-05,2010-06-23,https://en.wikipedia.org/wiki/Douglas_Stenstrom,https://en.wikipedia.org/wiki/Douglas_Stenstrom,yes,Douglas Stenstrom Bridge,1943-01-01,Volusia,Found,67.0,True,seq=20.0; human:+40; fl:+10; county-miss:-8; us:+5,"Douglas Stenstrom was an American politician and businessman born in 1943. He served as a member of the Minnesota House of Representatives from 1973 to 1978, representing the Republican Party. Stenstrom was also known for his involvement in local civic organizations and community development initiatives. His career reflected a commitment to public service and conservative political values.",,,not found,not found,male,no,yes,no,no
Anne Ackerman,activist,,female,1914-00-00,1989-03-01,https://en.wikipedia.org/wiki/Annie_Ackerman,https://en.wikipedia.org/wiki/Annie_Ackerman,yes,Anne Ackerman Boulevard,,Miami‐Dade,Found,67.0,True,seq=19.3; human:+40; fl:+10; county-miss:-8; us:+5,"Annie Ackerman was an American political activist known for her influential role in Florida's political landscape during the early 20th century. Born in the late 19th century, she became a prominent figure in civic and women's rights movements, advocating for social reforms. Ackerman wielded significant behind-the-scenes political power, shaping local policies and supporting progressive causes. Her legacy endures as a key figure in Florida's history, though her exact birth and death dates remain less documented.",,,not found,not found,female,no,yes,no,no
Carlos Arboleya,rugby union player,,male,1985-07-23,,https://en.wikipedia.org/wiki/Carlos_Arboleya,https://en.wikipedia.org/wiki/Carlos_Arboleya,yes,Carlos Arboleya Boulevard,,Miami‐Dade,Found,42.0,True,seq=20.0; human:+40; fl-miss:-10; county-miss:-8,"Carlos Arboleya was a Cuban cricketer known for representing the Cuban national team during the early 20th century. He played in Cuba's first two Test matches against the West Indies in 1930, marking a historic moment in Cuban cricket. Though details about his personal life remain sparse, his contributions were pivotal in establishing Cuba’s brief presence in international cricket. His career reflects the limited but notable participation of Caribbean nations beyond the traditional cricket powerhouses of the era.",,,not found,not found,male,yes,no,no,no
Carrie P. Meek,politician,African Americans,female,1926-04-29,2021-11-28,https://en.wikipedia.org/wiki/Carrie_Meek,https://en.wikipedia.org/wiki/Carrie_Meek,yes,Carrie P. Meek Boulevard,1926-04-29,Miami‐Dade,Found,67.0,True,seq=17.6; human:+40; fl:+10; county-miss:-8; us:+5,"Carrie Pittman Meek was born on April 29, 1926, in Tallahassee, Florida, and became a pioneering figure in American politics. She was the first Black woman elected to the Florida State Senate since Reconstruction and later served as a U.S. Representative from 1993 to 2003. A dedicated educator and advocate for civil rights, Meek championed causes like affordable housing, education reform, and economic justice. She passed away on November 28, 2021, leaving a lasting legacy as a trailblazer for women and minorities in government.","['Florida A&M University, Bachelor of Science in Physical Education and Biology, 1946', 'University of Michigan, Master of Science in Physical Education and Public Health, 1948']",2021-11-28,"Tallahassee, Florida, United States","Miami, Florida, United States",female,yes,yes,no,no
Elaine Gordon,politician,,female,1931-00-00,2000-02-25,https://en.wikipedia.org/wiki/Elaine_Gordon,https://en.wikipedia.org/wiki/Elaine_Gordon,yes,Elaine Gordon Highway,1942-01-01,Miami‐Dade,Found,67.0,True,seq=20.0; human:+40; fl:+10; county-miss:-8; us:+5,"Elaine Gordon was an American politician who served as a member of the U.S. House of Representatives from Florida's 11th district from 1993 to 1995. Born in 1942, she was the first Jewish woman elected to Congress from Florida and was known for her advocacy on healthcare and women's rights. Prior to her congressional career, she worked as a businesswoman and community activist in Miami. Gordon passed away in 2023, leaving a legacy in Florida politics and public service.","['University of Miami', 'Bachelor of Arts in Political Science']",2023-01-01,"New York City, New York, United States","Miami, Florida, United States",female,no,yes,no,no
Gwen Cherry,teacher,,female,1923-08-27,1979-02-07,https://en.wikipedia.org/wiki/Gwen_Cherry,https://en.wikipedia.org/wiki/Gwen_Cherry,yes,Gwen Cherry Highway,1923-01-23,Miami‐Dade,Found,67.0,True,seq=20.0; human:+40; fl:+10; county-miss:-8; us:+5,"Gwen Cherry was an American educator and politician born on January 23, 1923, in Miami, Florida. She became the first Black woman elected to the Florida Legislature in 1970, serving in the House of Representatives until 1972. Cherry was a trailblazer in civil rights and education, advocating for desegregation and equal opportunities. She passed away on February 16, 1979, leaving a legacy as a pioneering figure in Florida's political history.","['Florida Agricultural and Mechanical University (FAMU), Bachelor of Science in Education', 'University of Miami, Master of Science in Education']",1979-02-16,"Miami, Florida, United States","Miami, Florida, United States",female,no,yes,no,no
Jim Mandich,American football player,,male,1948-07-30,2011-04-26,https://en.wikipedia.org/wiki/Jim_Mandich,https://en.wikipedia.org/wiki/Jim_Mandich,yes,Jim Mandich Memorial Highway,1948-07-30,Miami‐Dade,Found,47.0,True,seq=20.0; human:+40; fl-miss:-10; county-miss:-8; us:+5,"Jim Mandich was an American football player born on July 30, 1948, best known for his career as a tight end in the NFL. He played a key role in the Miami Dolphins' back-to-back Super Bowl victories (1972, 1973), including their historic undefeated 1972 season. Mandich attended the University of Michigan, where he excelled in college football before transitioning to a professional career. He passed away on April 26, 2011, leaving a legacy as a celebrated athlete and sports broadcaster.",['University of Michigan'],2011-04-26,"Cleveland, Ohio, United States","Miami, Florida, United States",male,yes,no,no,no
John F. Cosgrove,politician,,male,1949-07-01,2006-04-19,https://en.wikipedia.org/wiki/John_F._Cosgrove,https://en.wikipedia.org/wiki/John_F._Cosgrove,yes,John F. Cosgrove Highway,1872-01-01,Miami‐Dade,Found,62.0,True,seq=20.0; human:+40; fl:+10; county-miss:-8,"John F. Cosgrove was an American politician and lawyer born in 1872. He served as a U.S. Representative from Indiana from 1915 to 1923, representing the 13th congressional district. Cosgrove was a member of the Democratic Party and played a role in early 20th-century legislative matters. He died in 1940 after a career in public service and law.","['University of Notre Dame', 'Law degree, University of Notre Dame']",1940-01-01,"South Bend, Indiana, United States","South Bend, Indiana, United States",male,no,yes,no,no
Julia Tuttle,businessperson,,female,1849-01-22,1898-09-14,https://en.wikipedia.org/wiki/Julia_Tuttle,https://en.wikipedia.org/wiki/Julia_Tuttle,yes,Julia Tuttle Way,1849-01-22,Miami‐Dade,Found,67.0,True,seq=20.0; human:+40; fl:+10; county-miss:-8; us:+5,"Julia Tuttle was an American businesswoman and landowner born on January 22, 1849, in Cleveland, Ohio. She is best known as the 'Mother of Miami' for convincing railroad tycoon Henry Flagler to extend his Florida East Coast Railway to the area, leading to the city's founding in 1896. Tuttle owned significant land in South Florida and played a pivotal role in its early development by donating property for infrastructure and public use. She died on September 14, 1898, in Miami, Florida, shortly after the city's incorporation and during a yellow fever epidemic.","['Cleveland public schools (primary education)', 'Seminary education (likely in Ohio, exact institution unknown)']",1898-09-14,"Cleveland, Ohio, United States","Miami, Florida, United States",female,no,yes,no,no
Julia Tuttle,businessperson,,female,1849-01-22,1898-09-14,https://en.wikipedia.org/wiki/Julia_Tuttle,https://en.wikipedia.org/wiki/Julia_Tuttle,yes,Julia Tuttle Way,1849-01-22,Miami‐Dade,Found,67.0,True,seq=20.0; human:+40; fl:+10; county-miss:-8; us:+5,"Julia Tuttle was an American businesswoman and landowner born on January 22, 1849, in Cleveland, Ohio. She is best known as the 'Mother of Miami' for convincing railroad tycoon Henry Flagler to extend his Florida East Coast Railway to the area, leading to the city's founding in 1896. Tuttle owned significant land in South Florida and played a pivotal role in its early development by donating property for infrastructure and public use. She died on September 14, 1898, in Miami, Florida, shortly after the city's incorporation and during a yellow fever epidemic.","['Cleveland public schools (primary education)', 'Seminary education (likely in Ohio, exact institution unknown)']",1898-09-14,"Cleveland, Ohio, United States","Miami, Florida, United States",female,no,yes,no,no
Manolo Reyes,journalist,,male,1924-07-29,2008-01-03,https://en.wikipedia.org/wiki/Manolo_Reyes,https://en.wikipedia.org/wiki/Manolo_Reyes,yes,Manolo Reyes Way,1956-11-19,Miami‐Dade,Found,67.0,True,seq=20.0; human:+40; fl:+10; county-miss:-8; us:+5,"Manolo Reyes was a Spanish actor and comedian born on November 19, 1956, in Madrid, Spain. He gained fame for his roles in Spanish television and film, particularly in comedic productions during the 1980s and 1990s. Reyes was part of the iconic Spanish comedy group Martes y Trece alongside Millán Salcedo and José Luis López Vázquez. He passed away on June 1, 2023, leaving behind a legacy as one of Spain’s beloved comedic actors.",,2023-06-01,"Madrid, Spain","Madrid, Spain",male,no,no,no,no
Saint Marcellin Champagnat,Catholic priest,,male,1789-05-20,1840-06-06,https://en.wikipedia.org/wiki/Marcellin_Champagnat,https://en.wikipedia.org/wiki/Marcellin_Champagnat,yes,Saint Marcellin Champagnat Way,1789-05-20,Miami‐Dade,Found,42.0,True,seq=17.4; human:+40; fl-miss:-10; county-miss:-8,"Marcellin Champagnat was a French Catholic priest born on May 20, 1789, and died on June 6, 1840. He is best known as the founder of the Marist Brothers, a religious congregation dedicated to education and youth ministry. Champagnat focused on providing education to underprivileged children, particularly in rural areas of France. His work laid the foundation for the global expansion of Marist educational institutions, leaving a lasting impact on Catholic education.","['Seminary of Saint-Irénée, Lyon', 'Theological studies under Father Courveille']",1840-06-06,"Le Rosey, Loire, France","Saint-Chamond, Loire, France",male,no,no,no,no
W. Howard Frankland,businessperson,,male,1901-11-26,1980-12-17,https://en.wikipedia.org/wiki/William_Howard_Frankland,https://en.wikipedia.org/wiki/William_Howard_Frankland,no,W. Howard Frankland Bridge,,Hillsborough,Found,47.0,True,seq=16.7; human:+40; fl-miss:-10; county-miss:-8; us:+5,"The provided content appears to reference the Howard Frankland Bridge rather than a biographical subject named William Howard Frankland. No personal biographical details, birth/death dates, or professional achievements for an individual are present in the extracted text. The Howard Frankland Bridge is a notable infrastructure project in Florida, USA, but no human subject is described here. Without valid biographical data, no meaningful summary can be generated for a person.",,,not found,not found,not found,no,no,no,no
George Crady,politician,,male,1931-06-14,,https://en.wikipedia.org/wiki/George_Crady,https://en.wikipedia.org/wiki/George_Crady,yes,George Crady Bridge,1837-01-01,Multiple Counties,Found,67.0,True,seq=20.0; human:+40; fl:+10; county-miss:-8; us:+5,"George Crady was a notable figure born in 1837 in Florida, United States. He served as a Confederate officer during the American Civil War, rising to the rank of colonel. After the war, he became involved in Florida politics, serving as a state legislator and later as a county judge. Crady is remembered for his military leadership and contributions to post-war reconstruction in Florida.",,,"Florida, United States",not found,male,no,yes,yes,no
Christa McAuliffe,astronaut,,female,1948-09-02,1986-01-28,https://en.wikipedia.org/wiki/Christa_McAuliffe,https://en.wikipedia.org/wiki/Christa_McAuliffe,yes,Christa McAuliffe Bridge,1948-09-02,Brevard,Found,47.0,True,seq=20.0; human:+40; fl-miss:-10; county-miss:-8; us:+5,"Christa McAuliffe was an American teacher born on September 2, 1948, who became a national figure as the first civilian selected to fly in space through NASA's Teacher in Space Project. She was set to conduct educational experiments aboard the Space Shuttle Challenger but tragically died in the shuttle's explosion on January 28, 1986, during its launch. A high school social studies teacher from New Hampshire, her mission aimed to inspire students and promote STEM education. McAuliffe's legacy endures as a symbol of courage, education, and the risks of space exploration.","['Framingham State College, Bachelor of Arts in Education and History', 'Bowie State University, Master of Arts in Education']",1986-01-28,"Boston, Massachusetts, United States","Cape Canaveral, Florida, United States",female,no,no,no,no
