Name,Primary Occupation,Race,Sex,Birth Date,Death Date,Wikipedia Link,wikipedia_url,Does_Sam_Think_is_real,original_designation,dob,county,status,match_confidence,validated,validation_notes,summary,education,dod,place_of_birth,place_of_death,gender,involved_in_sports,involved_in_politics,involved_in_military,involved_in_music
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Memorial Highway,,Highlands,Not Found,7.0,False,seq=19.2; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Highway,,Multiple Counties,Not Found,7.0,False,seq=19.2; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Memorial Highway,,Multiple Counties,Not Found,7.0,False,seq=19.2; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Highway,,Palm Beach,Not Found,7.0,False,seq=19.2; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Highway,,Pasco,Not Found,7.0,False,seq=17.1; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Highway,,Multiple Counties,Not Found,7.0,False,seq=19.2; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Francis Gibbs,,,male,1839-07-15,1865-12-16,,Not Found,no,Francis Gibbs Memorial Highway,,Nassau,Not Found,18.0,False,seq=3.3; last-mismatch:-4; fl:+10; county:+8,,,,,,,,,,
Julia Munroe Woodward,,,,,,https://en.wikipedia.org/wiki/Florida_State_Road_269,https://en.wikipedia.org/wiki/Ida_Tarbell,no,Julia Munroe Woodward Highway,1857-11-05,Gadsden,Found,27.2,True,seq=6.2; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5,"Ida Tarbell was an American journalist, writer, and teacher born on November 5, 1857, in Erie County, Pennsylvania. She is best known for her pioneering investigative journalism, particularly her 1904 exposé The History of the Standard Oil Company, which exposed the monopolistic practices of John D. Rockefeller's company and contributed to its eventual breakup. Tarbell was a leading figure in the Progressive Era and one of the first prominent female journalists in the United States. She passed away on January 6, 1944, leaving a lasting legacy in the field of muckraking and reform journalism.","['Allegheny College (Bachelor of Arts, 1880)', 'Sorbonne (studied in Paris, 1890s)']",1944-01-06,"Hatch Hollow, Pennsylvania, United States","Bridgeport, Connecticut, United States",female,no,yes,no,no
Bessie Coleman,aircraft pilot,African Americans,female,1892-01-26,1926-04-30,https://en.wikipedia.org/wiki/Bessie_Coleman,Not Found,no,Bessie Coleman Street,,Orange,Not Found,7.0,False,seq=3.3; last-mismatch:-4; fl:+10; county-miss:-8; us:+5,,,,,,,,,,
Fred Karl,lawyer,,male,1924-05-14,2013-03-07,https://en.wikipedia.org/wiki/Frederick_B._Karl,Not Found,no,Fred Karl Memorial Highway,,Volusia,Not Found,18.0,False,seq=4.9; last-mismatch:-4; fl:+10; county:+8,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,https://en.wikipedia.org/wiki/Frank_S._Reasoner,no,Purple Heart Memorial Highway,1937-09-16,Okaloosa,Found,47.9,True,seq=6.9; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Frank Stanley Reasoner was born on September 16, 1937, in Spokane, Washington, and became a distinguished officer in the United States Marine Corps. He was posthumously awarded the Medal of Honor for his heroic actions during the Vietnam War, where he sacrificed his life in combat on July 12, 1965. Reasoner was the first Marine to receive the Medal of Honor for actions in Vietnam, cementing his legacy as a symbol of bravery and dedication. His military career and ultimate sacrifice remain a significant part of U.S. Marine Corps history and the broader narrative of the Vietnam War.","['Gonzaga University, Bachelor of Science in Commerce, 1959']",1965-07-12,"Spokane, Washington, United States",Vietnam,male,no,no,yes,no
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Highway,,Brevard,Not Found,18.5,False,seq=6.5; last-mismatch:-4; fl:+10; county:+8,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Memorial Highway,,Multiple Counties,Not Found,7.0,False,seq=19.2; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Memorial Highway,,Highlands,Not Found,7.0,False,seq=19.2; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Highway,,Multiple Counties,Not Found,7.0,False,seq=19.2; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Memorial Highway,,Multiple Counties,Not Found,7.0,False,seq=19.2; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Highway,,Palm Beach,Not Found,7.0,False,seq=19.2; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Highway,,Pasco,Not Found,7.0,False,seq=17.1; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Highway,,Multiple Counties,Not Found,7.0,False,seq=19.2; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Ralph Sanchez,businessperson,,male,1948-01-01,2013-01-01,https://en.wikipedia.org/wiki/Ralph_Sanchez,https://en.wikipedia.org/wiki/Jaime_S%C3%A1nchez_%28actor%29,no,Ralph Sanchez Way,1938-02-26,Miami‐Dade,Found,48.3,True,seq=12.3; last-mismatch:-4; human:+40; fl:+10; county-miss:-8,"Jaime Sánchez was a Mexican-American actor born on February 26, 1938, best known for his role as Detective Joe Santos in the 1970s television series The Rockford Files. He began his career in the 1960s, appearing in films like The Wild Bunch (1969) and The Magnificent Seven Ride! (1972), often portraying tough, authoritative characters. Sánchez was a prominent figure in Hollywood for over three decades, contributing to both film and television with a strong presence in Westerns and crime dramas. He passed away on January 18, 2023, leaving behind a legacy as one of the first Mexican-American actors to achieve mainstream success in American media.",,2023-01-18,"Brooklyn, New York, United States","Los Angeles, California, United States",male,no,no,no,no
Robert L. Shevin,lawyer,,male,1934-01-19,2005-07-11,https://en.wikipedia.org/wiki/Robert_L._Shevin,https://en.wikipedia.org/wiki/Bob_Graham,no,Robert L. Shevin Way,1936-11-09,Miami-Dade,Found,55.2,True,seq=6.2; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Bob Graham was born on November 9, 1936, in Coral Gables, Florida, and is an American politician best known for his long career in public service. He served as the 38th Governor of Florida from 1979 to 1987 and later as a U.S. Senator from Florida from 1987 to 2005, becoming a prominent figure in the Democratic Party. Graham was recognized for his innovative 'workdays' program, where he spent time working in various jobs to better understand constituents' lives. His political legacy includes contributions to education, environmental policy, and national security during his tenure in office.","['University of Florida, B.S. in Political Science', 'Harvard Law School, LL.B.']",,"Coral Gables, Florida, United States",not found,male,no,yes,no,no
Robert L. Shevin,lawyer,,male,1934-01-19,2005-07-11,https://en.wikipedia.org/wiki/Robert_L._Shevin,https://en.wikipedia.org/wiki/Bob_Graham,no,Robert L. Shevin Memorial Boulevard,1936-11-09,Miami‐Dade,Found,55.2,True,seq=6.2; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Daniel Robert 'Bob' Graham was born on November 9, 1936, and is an American politician who served as the 38th Governor of Florida from 1979 to 1987. He later represented Florida in the U.S. Senate from 1987 to 2005, becoming known for his bipartisan approach and focus on education and environmental issues. Graham also chaired the Senate Select Committee on Intelligence and was a key figure in national security discussions post-9/11. His political career spanned over four decades, leaving a lasting impact on Florida's and the nation's legislative landscape.","['University of Florida, B.S. in Political Science', 'Harvard Law School, J.D.']",,"Coral Gables, Florida, United States",not found,male,no,yes,yes,no
Stanley G. Tate,businessperson,,male,1928-04-25,2024-07-26,https://en.wikipedia.org/wiki/Stanley_G._Tate,Not Found,no,Stanley G. Tate Boulevard,,Miami‐Dade,Not Found,3.1,False,seq=7.1; last-mismatch:-4; fl:+10; county-miss:-8,,,,,,,,,,
Miami Springs,,,,,,"https://en.wikipedia.org/wiki/Miami_Springs,_Florida",https://en.wikipedia.org/wiki/Lomas_Brown,no,Miami Springs Boulevard,1963-03-30,Miami‐Dade,Found,49.3,True,seq=8.3; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Lomas Brown is a former American professional football player born on March 30, 1963, in Miami, Florida. He played as an offensive tackle in the NFL for 18 seasons, primarily with the Detroit Lions, earning seven Pro Bowl selections. Brown was known for his durability and skill, becoming a key figure in the Lions' offensive line during the 1990s. After retiring, he transitioned into sports broadcasting and remains a respected analyst in the football community.","['University of Florida', ""Bachelor's Degree in Public Relations""]",,"Miami, Florida, United States",not found,male,yes,no,no,no
Guillermo Zamora,artist,,male,1915-01-01,2002-01-01,,https://en.wikipedia.org/wiki/Gonzalo_S%C3%A1nchez_de_Lozada,no,Guillermo Zamora Boulevard,1930-07-01,Miami‐Dade,Found,47.8,True,seq=6.8; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Gonzalo Sánchez de Lozada is a Bolivian politician and businessman born on July 1, 1930. He served as the President of Bolivia twice, first from 1993 to 1997 and again from 2002 to 2003, during which he implemented significant economic reforms, including the controversial 'capitalization' program privatizing state industries. Known for his pro-market policies, his second term ended prematurely amid widespread protests and civil unrest, leading to his resignation and subsequent exile in the United States. Sánchez de Lozada remains a polarizing figure in Bolivian history, symbolizing both modernization efforts and social conflict during his political career.","['University of Chicago, Bachelor of Arts in Literature', 'University of Chicago, Graduate Studies (no degree specified)']",,"La Paz, Bolivia",not found,male,no,yes,no,no
Rene Ledesma,researcher,,,,,,https://en.wikipedia.org/wiki/RJ_Ledesma,no,Rene Ledesma Way,,Miami‐Dade,Found,42.0,True,seq=16.4; human:+40; fl-miss:-10; county-miss:-8,"RJ Ledesma is a Filipino television host, writer, and entrepreneur known for his work in Philippine media. Born in the Philippines, he gained prominence as a VJ for MTV Asia and later hosted various lifestyle and entertainment shows. Ledesma has also authored books and ventured into business, including founding a digital marketing agency. His career spans television, writing, and entrepreneurship, making him a notable figure in Philippine pop culture.","['Ateneo de Manila University, Bachelor of Science in Management Engineering']",,not found,not found,male,no,no,no,no
Muhammad Ali,boxer,African Americans,male,1942-01-17,2016-06-03,https://en.wikipedia.org/wiki/Muhammad_Ali,Not Found,no,Muhammad Ali Boulevard,,Miami‐Dade,Not Found,17.4,False,seq=11.4; fl:+10; county-miss:-8,,,,,,,,,,
Nelson Mandela,politician,,male,1918-07-18,2013-12-05,https://en.wikipedia.org/wiki/Nelson_Mandela,Not Found,no,Nelson Mandela Boulevard,,Miami‐Dade,Not Found,2.3,False,seq=6.3; last-mismatch:-4; fl:+10; county-miss:-8,,,,,,,,,,
Gulf Coast,,,,,,https://en.wikipedia.org/wiki/Gulf_Coast_of_the_United_States,https://en.wikipedia.org/wiki/Nature_Coast,no,Gulf Coast Highway,,Pasco,Found,34.7,True,seq=12.7; fl:+10; county:+8,"The provided content does not contain biographical information about a person but instead appears to be a Wikipedia navigation and header section for the 'Nature Coast' article. No details about birth, death, profession, achievements, or historical significance of an individual are present. The content includes Wikipedia menu links, search tools, and appearance settings rather than personal biographical data. Thus, no meaningful summary of a person's life can be generated from this material.",,,not found,not found,not found,no,no,no,no
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,https://en.wikipedia.org/wiki/Frank_S._Reasoner,no,Purple Heart Memorial Highway,1937-09-16,Okaloosa,Found,47.9,True,seq=6.9; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Frank Stanley Reasoner was born on September 16, 1937, in Spokane, Washington, and became a distinguished officer in the United States Marine Corps. He was posthumously awarded the Medal of Honor for his heroic actions during the Vietnam War, where he sacrificed his life in combat on July 12, 1965. Reasoner was the first Marine to receive the Medal of Honor for actions in Vietnam, cementing his legacy as a symbol of bravery and dedication. His military career and ultimate sacrifice remain a significant part of U.S. Marine Corps history and the broader narrative of the Vietnam War.","['Gonzaga University, Bachelor of Science in Commerce, 1959']",1965-07-12,"Spokane, Washington, United States",Vietnam,male,no,no,yes,no
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Highway,,Brevard,Not Found,18.5,False,seq=6.5; last-mismatch:-4; fl:+10; county:+8,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Memorial Highway,,Multiple Counties,Not Found,7.0,False,seq=19.2; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Memorial Highway,,Highlands,Not Found,7.0,False,seq=19.2; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Highway,,Multiple Counties,Not Found,7.0,False,seq=19.2; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Memorial Highway,,Multiple Counties,Not Found,7.0,False,seq=19.2; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Highway,,Palm Beach,Not Found,7.0,False,seq=19.2; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Highway,,Pasco,Not Found,7.0,False,seq=17.1; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Highway,,Multiple Counties,Not Found,7.0,False,seq=19.2; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Tom Adams,illustrator,,male,1926-03-29,2019-12-17,https://en.wikipedia.org/wiki/Tom_Adams_(illustrator),Not Found,no,Tom Adams Bridge,,Charlotte,Not Found,23.0,False,seq=12.0; fl:+10; county-miss:-8; us:+5,,,,,,,,,,
S. Chesterfield Smith,politician,,male,1896-01-13,,https://en.wikipedia.org/wiki/S._Chesterfield_Smith,Not Found,no,S. Chesterfield Smith Bridge,,DeSoto,Not Found,7.0,False,seq=18.5; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,https://en.wikipedia.org/wiki/Frank_S._Reasoner,no,Purple Heart Memorial Highway,1937-09-16,Okaloosa,Found,47.9,True,seq=6.9; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Frank Stanley Reasoner was born on September 16, 1937, in Spokane, Washington, and became a distinguished officer in the United States Marine Corps. He was posthumously awarded the Medal of Honor for his heroic actions during the Vietnam War, where he sacrificed his life in combat on July 12, 1965. Reasoner was the first Marine to receive the Medal of Honor for actions in Vietnam, cementing his legacy as a symbol of bravery and dedication. His military career and ultimate sacrifice remain a significant part of U.S. Marine Corps history and the broader narrative of the Vietnam War.","['Gonzaga University, Bachelor of Science in Commerce, 1959']",1965-07-12,"Spokane, Washington, United States",Vietnam,male,no,no,yes,no
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Highway,,Brevard,Not Found,18.5,False,seq=6.5; last-mismatch:-4; fl:+10; county:+8,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Memorial Highway,,Multiple Counties,Not Found,7.0,False,seq=19.2; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Memorial Highway,,Highlands,Not Found,7.0,False,seq=19.2; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Highway,,Multiple Counties,Not Found,7.0,False,seq=19.2; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Memorial Highway,,Multiple Counties,Not Found,7.0,False,seq=19.2; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Highway,,Palm Beach,Not Found,7.0,False,seq=19.2; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Highway,,Pasco,Not Found,7.0,False,seq=17.1; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Highway,,Multiple Counties,Not Found,7.0,False,seq=19.2; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Matanzas Pass,,,,,,https://ceb.wikipedia.org/wiki/Matanzas_Pass,https://en.wikipedia.org/wiki/William_Katt,no,Matanzas Pass Bridge,1951-02-16,Lee,Found,38.0,True,seq=4.8; last-mismatch:-4; human:+40; fl-miss:-10; county:+8,"William Katt is an American actor born on February 16, 1951, best known for his role as Ralph Hinkley in the 1980s superhero TV series The Greatest American Hero. He began his career in the 1970s, appearing in films like Carrie (1976) and Big Wednesday (1978), while also working in television and theater. The son of actors Bill Williams and Barbara Hale, Katt followed his family’s entertainment legacy but carved his own path in Hollywood. Though primarily an actor, he has also contributed to voice work and occasional music projects, maintaining a steady career across multiple decades.",,,"Los Angeles, California, United States",not found,male,no,no,no,yes
Anna Maria Island,,,,,,https://en.wikipedia.org/wiki/Anna_Maria_Island,https://en.wikipedia.org/wiki/Rick_Bisio,no,Anna Maria Island Bridge,,Manatee,Found,59.4,True,seq=7.4; last-mismatch:-4; human:+40; fl:+10; county:+8,"Rick Bisio is an American entrepreneur and business executive best known for his work in the franchising industry. He founded The Educated Franchisee, a consulting firm that helps individuals evaluate franchise opportunities, and authored a book by the same name. Bisio has also held leadership roles in various companies, including as a franchisee himself in the restaurant sector. His expertise lies in guiding prospective franchise owners through the complexities of franchise ownership and investment.","['University of Colorado Boulder, Bachelor of Science in Business Administration']",,not found,not found,male,no,no,no,no
H. E. Boyd,politician,,male,1888-02-23,1952-12-00,https://en.wikipedia.org/wiki/H._E._Boyd,Not Found,no,H. E. Boyd Bridge,,Manatee,Not Found,18.7,False,seq=12.7; fl:+10; county-miss:-8,,,,,,,,,,
Longboat Key,,,,,,"https://en.wikipedia.org/wiki/Longboat_Key,_Florida",https://en.wikipedia.org/wiki/Larry_Elgart,no,Longboat Key Bridge,1922-03-20,Manatee,Found,47.7,True,seq=6.7; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Larry Elgart was an American jazz saxophonist, composer, and bandleader born on March 20, 1922. He is best known for his work in big band and swing music, particularly his 1954 hit Bandstand Boogie, which became the iconic theme for American Bandstand. Alongside his brother Les Elgart, he led the critically acclaimed Elgart Brothers Orchestra, blending traditional swing with modern arrangements. Larry Elgart passed away on August 29, 2017, leaving behind a lasting legacy in the jazz and big band genres.",,2017-08-29,"New London, Connecticut, United States","Longboat Key, Florida, United States",male,no,no,yes,yes
Palma Sola,,,,,,"https://en.wikipedia.org/wiki/Palma_Sola,_Santa_Catarina",https://en.wikipedia.org/wiki/Matt_Walden,no,Palma Sola Bridge,,Manatee,Found,58.0,True,seq=3.8; last-mismatch:-4; human:+40; fl:+10; county:+8,"Matt Walden is a contemporary musician known for his work in the music industry beginning in 2014. His career spans songwriting, production, and live performances, though specific birth details remain undocumented. Walden has contributed to a discography that includes multiple releases and notable live shows since his debut. While his broader historical impact is still evolving, he remains an active figure in modern music production.",,,not found,not found,male,no,no,no,yes
American Legion,,,,,,https://en.wikipedia.org/wiki/American_Legion,Not Found,no,American Legion Memorial Highway,,Multiple Counties,Not Found,11.9,False,seq=10.9; last-mismatch:-4; fl:+10; county-miss:-8; us:+5,,,,,,,,,,
Bob Bentley,basketball player,,male,,,,Not Found,no,Bob Bentley Highway,,Multiple Counties,Not Found,21.7,False,seq=15.7; fl:+10; county-miss:-8,,,,,,,,,,
E. C. Rowell,politician,,male,1914-10-01,1992-09-14,https://en.wikipedia.org/wiki/E._C._Rowell,Not Found,no,E. C. Rowell Highway,,Multiple Counties,Not Found,7.0,False,seq=3.2; last-mismatch:-4; fl:+10; county-miss:-8; us:+5,,,,,,,,,,
