OBJECTID,COUNTY,COUNTY_ID,DESIGNATIO,DESCRIPTIO,HWY_NAME,BILL,DEDICATED,EFFECTIVE_,District,Local_Name,BILL_URL,CreationDa,Creator,EditDate,Editor,MemId,Shape_Leng,LOCAL_RES,GlobalID,Shape__Length
12,Hillsborough,10,Sergeant Paul Smith Memorial Highway,"That portion of U.S. 301/S.R. 43 between S.R. 574/Martin Luther King, Jr., Boulevard and S.R. 60/E. Adamo Drive in Hillsborough County is designated as ""Sergeant Paul Smith Memorial Highway.""",US-301,CS/CS/SB 820,2014/07/01 05:00:00+00,2014,7,, ,, ,, ,12,3688.57484887,0,2f4836c0-6475-4184-936e-95ed2aef036c,4194.27927606592
13,Lake,11,Sergeant Marvin L. Roberts Memorial Highway,"That portion of S.R. 19 between S.R. 50 and C.R. 478/Cherry Lake Road in Lake County is designated as ""Sergeant Marvin L. Roberts Memorial Highway.""",SR-19,CS/CS/SB 368,2017/07/01 05:00:00+00,2017,5,CR-561/Minneola Ave/8th St/Lake Dr/C-561/Monroe St/Duncan Dr/Lake Minneola Dr/S Main St, ,, ,, ,13,3179.67885955,0,3a25179f-25ee-4002-af44-ad291a4fa80a,3636.35327892956
15,Lake,11,Sheriff Chris Daniels Memorial Highway,"That portion of S.R. 19 between Lane Park Cutoff Road and U.S. 441 in Lake County is designated as ""Sheriff Chris Daniels Memorial Highway.""",SR-19,CS/CS/SB 382,2018/07/01 05:00:00+00,2018,5,, ,, ,, ,15,4602.30267501,0,a0fa12f3-a8b0-4e13-98a3-7bc33a117851,5271.21683518549
16,Leon,55,CK Steele Memorial Highway,"That portion of State Road 371/373/Orange Avenue between State Road 263/Capital Circle Southwest and State Road 61/Monroe Street in Leon County is designated as ""CK Steele Memorial Highway.""", ,CS/CS/SB 382,2018/07/01 05:00:00+00,2018,3,Orange Avenue, ,, ,, ,18,7006.92313465,1,ca66f8e1-3be0-4b9d-bfd0-12edc7796dd6,8113.89763784363
17,Okaloosa,57,Deputies Tony Forgione and Bill Myers Memorial Bridge,"Bridge number 570018 on S.R. 85/Eglin Parkway over Garnier Bayou in Okaloosa County is designated as ""Deputies Tony Forgione and Bill Myers Memorial Bridge.""", ,CS/CS/SB 382,2018/07/01 05:00:00+00,2018,3,Eglin Parkway, ,, ,, ,16,469.907796678,0,85aa1af8-0159-44d1-96c4-96e7ea56841e,545.095046791493
18,Okaloosa,57,"John B. Arnold, Jr., Memorial Highway","That portion of S.R. 190/Valparaiso Parkway between S.R. 85/Government Avenue and S.R. 397/John Sims Parkway in Okaloosa County is designated as ""John B. Arnold, Jr., Memorial Highway.""", ,CS/CS/SB 382,2018/07/01 05:00:00+00,2018,3,, ,, ,, ,17,1977.38670696,0,660e7201-3f86-4b69-92c0-8fe6af7db2e0,2286.97517600287
19,Pinellas,15,"Gold Star Family Memorial Bridge, dedicated to U.S. Army CPL Frank R. Gross","Bridge numbers 150202 and 150203 on S.R. 580/Main Street in Pinellas County are designated as ""Gold Star Family Memorial Bridge, dedicated to U.S. Army CPL Frank R. Gross.""",SR-579,CS/CS/SB 382,2018/07/01 05:00:00+00,2018,7,, ,, ,, ,19,652.02333929,0,4091f6a0-deb6-4e0c-877b-a2649a663072,739.912734548164
20,Collier,3,Submarine Veterans Memorial Highway,"That portion of I-75/S.R. 93 (03175000) between mile marker 110 and the Broward County line in Collier County is designated as ""Submarine Veterans Memorial Highway.""", ,CS/CS/SB 382,2018/07/01 05:00:00+00,2018,1,, ,, ,, ,20,7315.19592677,0,52f90c85-43f7-4f64-b63a-8b0745860f6c,8199.0263719789
21,Seminole,77,Dr. R.C. Sproul Way,"That portion of S.R. 46 between International Parkway and S.R. 431/Orange Boulevard in Seminole County is designated as ""Dr. R.C. Sproul Way.""", ,CS/CS/SB 382,2018/07/01 05:00:00+00,2018,5,, ,, ,, ,21,1483.63353038,0,da2f5067-e8cd-4767-bd43-47440267087c,1692.63200928182
22,Volusia,79,David G. Ledgerwood Memorial Highway,"That portion of S.R. 415 between Acorn Lake Road and Reed Ellis Road in Volusia County is designated as ""David G. Ledgerwood Memorial Highway.""", ,CS/CS/SB 382,2018/07/01 05:00:00+00,2018,5,, ,, ,, ,22,7781.78635956,0,af832da6-c004-4b8c-859a-3f5691b8f9e5,8914.42478076943
23,Alachua,26,Rev. Dr. Thomas A. Wright Boulevard,"That portion of C.R. 1476/N.E. 8th Avenue between N.E. 15th Street and N.E. 26th Terrace in Alachua County is designated as ""Rev. Dr. Thomas A. Wright Boulevard.""", ,CS/CS/SB 368,2017/07/01 05:00:00+00,2017,2,NE 8th Ave/NE 25th Ave, ,, ,, ,23,1305.00952524,0,a7217188-a96f-41a7-b1c6-35083065cbe5,1500.84336142104
24,Broward,86,Candice Ellize Francois Street,"That portion of Palm Avenue between Pembroke Road and Miramar Parkway in Broward County is designated as ""Candice Ellize Francois Street.""", ,CS/CS/SB 368,2017/07/01 05:00:00+00,2017,4,Palm Avenue, ,, ,, ,24,1451.19659171,0,0fe67f30-0791-416a-8140-ef11eb00130e,1622.71198813271
25,Jackson,53,Governor Mixson Highway,"That portion of S.R. 73 between the Calhoun County line and U.S. 231 in Jackson County is designated as ""Governor Mixson Highway.""",SR-73,CS/CS/SB 820,2014/07/01 05:00:00+00,2014,3,, ,, ,, ,25,39894.2806658,0,b706e2eb-4cc1-4d3f-b1ab-dbf1f4fbc489,46437.9009763333
26,Broward,86,The Hope and Healing Highway,"That portion of U.S. 1 between Broward Boulevard and Sunrise Boulevard, in Broward County, is designated as ""The Hope and Healing Highway.""",US-1/SR-5,CS/CS/SB 368,2017/07/01 05:00:00+00,2017,4,, ,, ,, ,26,1679.95431153,0,b109eabd-587d-48e9-891a-27e993282ce2,1880.03666588836
27,Broward,86,John U. Lloyd Bridge,"Bridge Number 860920 over the Stranahan River in Broward County is designated as ""John U. Lloyd Bridge.""",SR-A1A,CS/CS/SB 368,2017/07/01 05:00:00+00,2017,4,Dania Beach Boulevard, ,, ,, ,27,156.470692776,0,01706cb0-6a30-4c56-a1a9-36a80419306f,174.109740003797
28,Escambia,48,Wilbur Barry Highway,"That portion of U.S. 29/Pensacola Boulevard between W Street and Marcus Pointe Boulevard/Stumpfield Road in Escambia County is designated as ""Wilbur Barry Highway.""", ,CS/CS/SB 368,2017/07/01 05:00:00+00,2017,3,Pensacola Boulevard, ,, ,, ,28,638.090459819,0,4ca92d3a-ca10-4d1d-81e0-974cf388d494,739.447984755057
29,Franklin,49,SP4 Robert Clifford Millender Memorial Highway,"That portion of U.S. 98/S.R. 30 between Ryan Drive/W. 11th Street and N.E./S.E. 12th Street in Franklin County is designated as ""SP4 Robert Clifford Millender Memorial Highway.""",US-98/SR-30,CS/CS/SB 368,2017/07/01 05:00:00+00,2017,3,, ,, ,, ,29,93.8070992372,0,0759624d-913c-4b9c-afd6-fa3fdf2047c1,108.08520505244
30,Hillsborough,10,Francisco A. Rodriguez Avenue,"That portion of N. Willow Avenue between W. Cypress Street and W. Cass Street in Hillsborough County is designated as ""Francisco A. Rogriguez Avenue.""", ,CS/CS/SB 368,2017/07/01 05:00:00+00,2017,7,N. Willow Avenue, ,, ,, ,30,240.18416952,0,c0630820-5a02-4df0-bdaf-9415c360f145,273.168862164841
31,Hillsborough,10,Helen Gordon Davis Boulevard,"That portion of Davis Boulevard between Adalia Avenue and Adriatic Avenue in Hillsborough County is designated as ""Helen Gordon Davis Boulevard.""", ,CS/CS/SB 368,2017/07/01 05:00:00+00,2017,7,Davis Boulevard, ,, ,, ,31,426.314246967,0,13fe712c-2dae-4153-bd40-9586b7dcab67,483.851747595156
32,Levy,34,Deputy A. Hagood Ellzey Memorial Highway,"That portion of U.S. 19/98 South between mile marker 23 and mile marker 25 in Levy County is designated as ""Deputy A. Hagood Ellzey Memorial Highway.""", ,CS/CS/SB 368,2017/07/01 05:00:00+00,2017,2,, ,, ,, ,32,3216.85316207,0,cffcb0a7-3026-4e6b-9886-73468021ff7a,3701.58139594297
33,Miami-Dade,87,Trooper Patrick Ambroise Memorial Highway,"That portion of Homestead Extension of the Florida Turnpike/S.R. 821 between mile marker 34 and mile marker 36 in Miami-Dade County is designated as ""Trooper Patrick Ambroise Memorial Highway.""", ,CS/CS/SB 368,2017/07/01 05:00:00+00,2017,6,Florida Turnpike, ,, ,, ,33,3206.92101187,0,d35c4b78-0fc2-41ab-b0a7-8a2ae6e92bae,3581.95212027145
34,Multiple Counties,0,Deputy Christopher Smith Memorial Highway,"That portion of U.S. 90/S.R. 10 between Chaires Cross Road and S.R. 59 in Leon County and Jefferson County is designated as ""Deputy Christopher Smith Memorial Highway.""", ,CS/CS/SB 382,2018/07/01 05:00:00+00,2018,3,, ,, ,, ,34,10976.2657395,0,a0a4d4a9-29cc-4044-80b7-bfdd89905865,12734.0774296333
38,Polk,16,Trooper John C. Hagerty Memorial Highway,"That portion of I-4 (16320000) between mile markers 36 and 44 in Polk County is designated as ""Trooper John C. Hagerty Memorial Highway.""",I-4,HB0385,2019/07/01 05:00:00+00,2019,1,, ,, ,, ,38,12898.130849,0,f0ece47a-6377-44d6-8adf-58c5c39a6ff7,14630.4472972137
39,Brevard,70,Trooper Joseph Sawtell Jr. Memorial Highway,"That portion of Babcock Road (70012000) between Malabar Road and Palm Bay Road, in Brevard County, is designated as ""Trooper Joseph Sawtell Jr. Memorial Highway.""", ,HB0385,2019/07/01 05:00:00+00,2019,5,, ,, ,, ,39,4063.79329936,0,a5e59418-3ea9-4a4e-a7b8-a4e32319fa6e,4625.75479988257
41,Columbia,29,"Sergeant George A. Brown, III Memorial Highway","That portion of I-75 (29180000) between mile markers 418 and 423 in Columbia County is designated as the ""Sergeant George A. Brown, III Memorial Highway.""",l-75,HB0385,2019/07/01 05:00:00+00,2019,2,, ,, ,, ,41,8046.00846789,0,9c8d263c-b225-46e7-a535-cf8f4ac19f10,9330.87228487879
42,Miami-Dade,87,Trooper Bradley S. Glascock Memorial Highway,"That portion of S.R. 836 (87200000) between N.W. 12th Avenue and N.W. 27th Avenue in Miami-Dade County is designated as the ""Trooper Bradley S. Glascock Memorial Highway.""",SR-836,HB0385,2019/07/01 05:00:00+00,2019,6,, ,, ,, ,42,2593.38568603,0,151ffcb5-bdc3-42b6-a61f-233c9ae32cdb,2880.61945383903
45,Leon,55,Trooper William 'Bill' H. Dyer Memorial Interchange,"The interchange on I-10 (55320023) at U.S. 90/S.R. 10/Mahan Drive in Leon County is designated as the ""Trooper William 'Bill' H. Dyer Memorial Interchange.""", ,HB0385,2019/07/01 05:00:00+00,2019,3,, ,, ,, ,45,1274.51758474,0,06f81cbb-a4e6-420e-afac-e44b92dbb15a,1479.29283680129
46,Duval,72,Trooper Robert P. McDermon Memorial Highway,"That portion of U.S. 90 (72010000) between Yellow Water Road and Log Road in Duval County is designated as the ""Trooper Robert P. McDermon Memorial Highway.""",US-90,HB0385,2019/07/01 05:00:00+00,2019,2,, ,, ,, ,46,5241.4357183,0,3ab73a0c-b5b3-40f1-9269-041c9bbc417d,6067.46629470566
51,St. Johns,78,"Trooper Merle J. Cook, Trooper Robert L. Pruitt, Trooper Cleo L. Tomlinson, Jr. Memorial Highway","That portion of U.S. 1 (78010000) between S.R. 207 and the Matanzas River in St. Johns County is designated as the ""Trooper Merle J. Cook, Trooper Robert L. Pruitt, Trooper Cleo L. Tomlinson, Jr. Memorial Highway.""",US-1,HB0385,2019/07/01 05:00:00+00,2019,2,, ,, ,, ,51,6615.37313477,0,b8c6347d-12f3-4165-9b86-b8c5b6b7b1b8,7662.40922747729
53,Alachua,26,Sergeant William T. Bishop Memorial Highway,"That portion of I-75 (26260000) between mile markers 399 and 404 in Alachua County is designated as ""Sergeant William T. Bishop Memorial Highway.""",I-75,HB0385,2019/07/01 05:00:00+00,2019,2,, ,, ,, ,53,8042.78449177,0,5c2589a3-1f4f-4727-b5ba-141ad65df2f1,9305.56479273582
55,Nassau,74,Fallen Hero Specialist Kelly J. Mixon Interchange,"That interchange on 1-95 at SR 200 in Nassau County is designated as ""Fallen Hero Specialist Kelly J. Mixon Interchange.""", ,HB0385,2019/07/01 05:00:00+00,2019,2,, ,, ,, ,55,876.091014747,0,b5d74ce5-427d-49d5-b7ee-c13746e4fa33,1022.15085357037
57,Jefferson,54,Sheriff David C. Hobbs Memorial Highway,"That portion of U.S. 19/S.R. 57 between Capps in Jefferson County and the northern Jefferson County line is designated as the ""Sheriff David C. Hobbs Memorial Highway.""",US-19,HB0385,2019/07/01 05:00:00+00,2019,3,, ,, ,, ,57,29098.5322825,0,74b12aec-23e5-44d4-815b-0fa883e37f27,33895.7181703596
58,Manatee,13,"Sergeant John C. Baxter, Jr. Memorial Highway","That portion of U.S. 41 (13121000) between Tallevast Road in Manatee County and the Sarasota County line is designated as the ""Sergeant John C. Baxter, Jr. Memorial Highway.""",US-41,HB0385,2019/07/01 05:00:00+00,2019,1,, ,, ,, ,58,1657.15577025,0,2a2aeacf-f8c9-4f2d-bb42-b52f5d7c6ba6,1875.05323760363
59,Dixie,30,Patrolman Royston E. Walker Memorial Highway,"That portion of U.S. 19 (30010000) between C.R. 351A and S.W. 307th Avenue in Dixie County is designated as the ""Patrolman Royston E. Walker Memorial Highway.""",US-19,HB0385,2019/07/01 05:00:00+00,2019,2,, ,, ,, ,59,3810.66370839,0,6ecaeccc-b2b8-4c5f-a88f-12d50cfdfd87,4384.30390466108
60,Lee,12,Sergeant Daniel Hinton Memorial Highway,"That portion of I-75 (12075000) between mile markers 130 and 133 in Lee County is designated as ""Sergeant Daniel Hinton Memorial Highway.""",I-75,HB0385,2019/07/01 05:00:00+00,2019,1,, ,, ,, ,60,5905.77328224,0,9991c299-4801-4e17-a121-c6c141184278,6635.05803542509
62,Baker,27,"Trooper Sherman L. Scott, Jr. Memorial Highway","That portion of I-10 (27090000) between mile markers 327 and 332 in Baker County is designated as the ""Trooper Sherman L. Scott, Jr. Memorial Highway.""",I-10,HB0385,2019/07/01 05:00:00+00,2019,2,, ,, ,, ,62,8022.96126286,0,55f0b8d1-4b32-43bd-a9ec-e02f4c076f27,9285.20156142294
63,Orange,75,Trooper Richard Howell Memorial Highway,"That portion of SR 441 (75010000) between Landstreet and Taft Vineland Road, in Orange County, is designated as ""Trooper Richard Howell Memorial Highway.""",SR-441,HB0385,2019/07/01 05:00:00+00,2019,5,, ,, ,, ,63,1622.6874622,0,d3a2b2fb-9c97-4b3e-a7ce-162d70c173b0,1854.10467274385
64,Palm Beach,93,"Troopers Herman T. Morris and Frederick J. Groves, Jr. Memorial Highway","That portion of S.R. 91/Florida's Turnpike (93470000) between mile markers 100 and 105 in Palm Beach County is designated as the ""Troopers Herman T. Morris and Frederick J. Groves, Jr. Memorial Highway.""",SR-91,HB0385,2019/07/01 05:00:00+00,2019,4,, ,, ,, ,64,8106.7235238,0,230eac58-de02-46a8-8d3c-8e5facbd5a8c,9121.45463984152
67,Escambia,48,Maceo Perkins Parkway,"That portion of N. Century Boulevard/U.S. 29 (48060000) between Cox Road and Sigler Road in Escambia County is designated as ""Maceo Perkins Parkway.""",US-29,HB0385,2019/07/01 05:00:00+00,2019,3,, ,, ,, ,67,831.204450757,0,5517f94f-46a6-433b-8830-2eaec47a58f3,968.42816230077
68,Taylor,38,SSGT Edward C. Sheffield Memorial Bridge,"The bridge (380049) over the Econfina River on U.S. Highway 98 (38090000) in Taylor County is designated as the ""SSGT Edward C. Sheffield Memorial Bridge.""", ,HB0385,2019/07/01 05:00:00+00,2019,2,, ,, ,, ,68,62.8077807374,1,1d5f6c30-d688-4263-872f-b06da199d427,72.5342818831485
71,Marion,36,Trooper Chelsea Richard Memorial Highway,"That portion of I-75 (36210000) between mile markers 340 and 344 in Marion County is designated as the ""Trooper Chelsea Richard Memorial Highway.""",I-75,HB0385,2019/07/01 05:00:00+00,2019,5,, ,, ,, ,71,6496.38550643,0,cb2ba205-0a6d-491b-b4c8-5c52b93f36a9,7459.12205094301
75,Indian River,88,A.B. Michael Bridges,"Notwithstanding any law to the contrary, bridge numbers 880050, 880051, 880052, and 880053 on S.R. 510 between Wabasso and Wabasso Beach in Indian River County are designated as the “A.B. Michael Bridges.”", ,CS/CS/SB 78,2020/07/01 05:00:00+00,2020,4,, ,, ,, ,75,1049.47183888,0,a5829f5e-c816-4e59-b593-f788e015849b,1187.64497422828
76,Bradford,28,Archibald Johns Thomas Bridge,Bridge numbers 280070 and 280071 on S.R. 223 in Bradford County are designated as the “Archibald Johns Thomas Bridge.”, ,CS/CS/SB 78,2020/07/01 05:00:00+00,2020,2,, ,, ,, ,76,62.7009677926,0,307c263f-4386-450d-9688-b2af0110eaac,72.6787182642185
79,Santa Rosa,58,Bart D. and John R. Broxson Parkway,That portion of S.R. 281 between U.S. 90 and U.S. 98 in Santa Rosa County is designated as the “Bart D. and John R. Broxson Parkway.”,SR-281,CS/CS/SB 78,2020/07/01 05:00:00+00,2020,3,, ,, ,, ,79,25803.2929553,0,e8e5bfb0-c613-4a5e-a99b-28683ee2dac4,29932.4942762031
82,Seminole,77,Deputy Matt Miller Memorial Boulevard,"That portion of S.R. 414/Maitland Boulevard between Magnolia Homes Road and S.R. 434/Forest City Road in Seminole County is designated as ""Deputy Matt Miller Memorial Boulevard.""", ,CS/CS/SB 382,2018/07/01 05:00:00+00,2018,5,Maitland Boulevard, ,, ,, ,82,1188.00463047,0,36a52b88-70cc-44f9-8b95-ac43a2e4470e,1353.1125087672
83,Hillsborough,10,Deputy Sheriff David Anthony Abella Memorial Highway,"That portion of U.S. 41/S.R. 599/ S. 50th Street between Palm River Road and S.R. 676/Causeway Boulevard in Hillsborough County is designated as ""Deput Sheriff David Anthony Abella Memorial Highway.""",US-41,CS/CS/SB 820,2014/07/01 05:00:00+00,2014,7,S. 50th Street, ,, ,, ,83,2201.0614757,0,2062f63a-fd18-4d43-a2d2-a6df34ba23bc,2502.98940972319
93,Pinellas,15,Phoebe Jonchuck Memorial Bridge,Bridge numbers 150213 and 150214 on I-275/U.S. 19/S.R. 93 in Pinellas County are designated as “Phoebe Jonchuck Memorial Bridge.”, ,CS/CS/SB 78,2020/07/01 05:00:00+00,2020,7,, ,, ,, ,93,864.380680655,0,078b03e9-fcfb-4f5f-b17a-e0b60e8e1063,980.70154295873
97,Gilchrist,31,"Slaughter, Read, Ramirez, Lindsey Memorial Highway","That portion of U.S. 129/S.R. 49 (31030000) between the Levy County line and the Suwannee County line in Gilchrist County is designated as the “Slaughter, Read, Ramirez, Lindsey Memorial Highway.”",US-129,CS/CS/SB 78,2020/07/01 05:00:00+00,2020,2,, ,, ,, ,97,37807.0381679,0,d5bd75ee-9bfa-426a-a215-8bb3ddf708c8,43714.465730827
98,Martin,89,Trooper Joseph Bullock Memorial Highway,That portion of I-95 between mile markers 105 and 110 in Martin County is designated as the “Trooper Joseph Bullock Memorial Highway.”,I-95,CS/CS/SB 78,2020/07/01 05:00:00+00,2020,4,, ,, ,, ,98,8019.20863537,0,a40aba28-2144-4699-8e1a-665b11cc8e9a,9020.68115198057
99,Suwannee,37,Wesley L. Silas Memorial Highway,That portion of I-10 between the Madison County line and mile marker 275 in Suwannee County is designated as “Wesley L. Silas Memorial Highway.”,I-10,CS/CS/SB 78,2020/07/01 05:00:00+00,2020,2,, ,, ,, ,99,10902.1056169,0,a3acc583-cb24-456b-8319-04223f53067b,12627.2454348379
102,Hillsborough,10,Olympian Theresa Manuel Way,"That portion of N. Garcia Avenue between W. Palm Avenue and W. Ross Avenue in Hillsborough County is designated as ""Olympian Theresa Manuel Way.""",,CS/CS/SB 368,2017/07/01 05:00:00+00,2017,7,N. Garcia Avenue,,,,,,102,,0,6ed93e62-84dc-4b8f-a5d3-a223449aaa4c,122.751749530253
103,Seminole,77,Patrolman Leroy Bender Memorial Highway,"That portion of W. 1st Street (77030000) between French Avenue and S. Mellonville Avenue in Seminole County is designated as the ""Patrolman Leroy Bender Memorial Highway.""",,HB0385,2019/07/01 05:00:00+00,2019,5,,,,,,,103,,0,fb6bce83-4274-45cd-be47-6b6474e44e8b,2042.20124578082
104,Brevard,70,Kurt Eichin Memorial Trail,"That portion of the Coast to Coast Connector in Brevard County is designated as the ""Kurt Eichin Memorial Trail.""",,HB0385,2019/07/01 05:00:00+00,2019,5,,,,,,,104,,0,d8c3e4db-f02a-4b8e-8272-a6cf58663d10,27194.0683422566
105,Hillsborough,10,Officer James Ronco Memorial Highway,"That portion of E. Laurel Street between N. Orange Avenue and N. Morgan Street in Hillsborough County is designated as ""Officer James Ronco Memorial Highway.""",,CS/CS/SB 78,2020/07/01 05:00:00+00,2020,7,,,,,,,105,,0,86827276-0664-4dcb-bc4d-cc3955abc59c,244.55685764421
106,Orange,75,Robert L. 'Bob' Billingslea Highway,"The portion of C.R. 435/Apopka Vineland Road between S.R. 91/Florida's Turnpike and S.R. 535 in Orange County, and that portion of S.R. 535 between Apopka Vineland Road and the Orange County line, are designated as ""Robert L. 'Bob' Billingslea Highway.""",,CS/CS/SB 78,2020/07/01 05:00:00+00,2020,5,,,,,,,106,,0,27d3fd34-71fc-42c6-b825-ec67cf1c7808,23072.5285241265
109,Lee,12,Coach Jeff Sommer Memorial Highway,"That portion of U.S. 41/S.R. 45/Tamiami Trail between Corkscrew Road and Coconut Road in Lee County is designated as ""Coach Jeff Sommer Memorial Highway.""",,CS/CS/SB 368,2017/07/01 05:00:00+00,2017,1,Tamiami Trail,,,,,,107,,0,bee783d9-649c-42ad-b2fc-13c05ec38b53,4145.90964679733
110,Lee,12,Corporal Joseph R. Bertrand Memorial Highway,"That portion of S.R. 80 between Hickey Creek Road and Carter Lane in Lee County is designated as ""Corporal Joseph R. Bertrand Memorial Highway.""",SR-80,CS/CS/SB 368,2017/07/01 05:00:00+00,2017,1,Palm Beach Boulevard,,,,,,108,,0,02b200ce-429d-4cc9-9c85-d0ad89370c56,461.552580335221
111,Sarasota,17,KMI Kentucky Military Institute Bridge,"Bascule Bridges, numbers 170169 and 170170, on U.S. Business 41/S.R. 45/Tamiami Trail in Sarasota County are designated as ""KMI Kentucky Military Instituted Bridge.""",US-41,"CS/CS/SB 
820",2014/07/01 05:00:00+00,2014,1,Tamiami Trail,,,,,,109,,1,c45d584c-7a1c-4bb6-8344-3a6f6f0c9ba1,384.833510585147
112,Multiple Counties,0,Historic Suwannee River Scenic Parkway,"That portion of U.S. 129/S.R. 51 between I-75 in Hamilton County and I-10 in Suwannee County is designated as ""Historic Suwannee River Scenic Parkway.'",,CS/CS/SB 368,2017/07/01 05:00:00+00,2017,2,,,,,,,110,,1,3a22218f-1b32-46ee-8832-efd1abc053a1,16657.0232058009
114,Levy,34,David W. Moss Memorial Highway,"That portion of U.S. 27A/U.S. 41/S.R. 45/S.R. 121/S.R. 500/ W. Noble Avenue between U.S. 27/U.S. 41/S.R. 45/S.R. 121/N. Main Street and U.S. 41/S.R. 45/S.R. 121/S.W. 7th Street in Levy County is designated as ""David W. Moss Memorial Highway.""",,"CS/CS/SB 
820",2014/07/01 05:00:00+00,2014,2,W. Noble Avenue,,,,,,112,,1,a5fb6c91-8c72-42b4-b6f5-3f76d7aece27,1076.61119012892
115,Madison,35,Joe C. Peavy Highway,"S.R. 53 between U.S. 90/S.R. 10 and the Georgia state line in Madison County is designated as ""Joe C. Peavy Highway.""",,CS/CS/SB 368,2017/07/01 05:00:00+00,2017,2,,,,,,,113,,1,9feafbca-fbb5-4784-9469-b6d99dbf03bf,23227.0596269735
116,Taylor,38,Private First Class Joey Moody Bridge,"Bridge number 380096 on U.S. 221/S.R. 55 over the Econfina River in Taylor County is designated as ""Private First Class Joey Moody Bridge.""",US-221,CS/CS/SB 368,2017/07/01 05:00:00+00,2017,2,,,,,,,114,,1,3bedc46d-1ce8-4dbc-b2fc-186c9644d42e,144.086929187667
