Matched Name,dept_url,url,name,age,tour,badge,cause,weapon,incident_description,bio_section_raw,incident_details_raw
Patrolman Royston E. Walker,https://www.odmp.org/agency/1281-florida-highway-patrol-florida,https://www.odmp.org/officer/17199-patrolman-royston-earl-walker-jr,"Patrolman Royston Earl Walker, Jr.",27,7 months,Not available,Gunfire,Handgun,"ROYSTON EARL WALKER, JR. Patrolman Walker was shot and killed after stopping a vehicle with faulty headlights in Cross City. Patrolman Walker stood on the running board of the suspect's car as he escorted the suspect vehicle to the Dixie County Jail. While en route, the driver shot Patrolman Walker seven times. Patrolman Walker returned fire, killing the suspect. Patrolman Walker died at the scene from his wounds. Patrolman Walker had served with the Florida State Road Department for seven months, and was survived by his wife.",BIO Age 27 Tour 7 months Badge Not available INCIDENT DETAILS Cause Gunfire Weapon Handgun Offender Shot and killed Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs,INCIDENT DETAILS Cause Gunfire Weapon Handgun Offender Shot and killed
Trooper Wilburn A. Kelly,https://www.odmp.org/agency/1281-florida-highway-patrol-florida,https://www.odmp.org/officer/7437-trooper-wilburn-a-kelly,Trooper Wilburn A. Kelly,43,22 years,Not available,Automobile crash,,WILBURN A. KELLY Trooper Wilburn Kelly was killed in an automobile crash when he was struck from behind while on patrol in St. Augustine. Trooper Kelly had served with the Florida Highway Patrol for 22 years. He was survived by his wife and two children.,BIO Age 43 Tour 22 years Badge Not available INCIDENT DETAILS Cause Automobile crash Vehicle Crash Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs,INCIDENT DETAILS Cause Automobile crash
Trooper Ronald Gordon Smith,https://www.odmp.org/agency/1281-florida-highway-patrol-florida,https://www.odmp.org/officer/12484-trooper-ronald-gordon-smith,Trooper Ronald Gordon Smith,28,"4 years, 3 months",Not available,Gunfire,Handgun; .22 caliber,"RONALD GORDON SMITH Trooper Ronald Smith was shot and killed while checking on two suspicious men parked on a dirt road east of U.S. 19, three miles north of Crystal River in Citrus County. One of the men, age 23, shot Trooper Smith four times. The subjects attempted to flee, but two nearby hunters shot and wounded one of them and then captured both. One suspect was an escapee from an Oklahoma prison, and the other was a parolee. The shooter was convicted of first-degree murder and sentenced to death. In 1989 his sentence was commuted to life. As of November 20, 2020, he was still in a Florida Prison. His companion was sentenced to two years for accessory to murder. Trooper Smith was a U.S. Marine Corps veteran. He had served with the Florida Highway Patrol for three months and had previously served with the Tallahassee Police Department. He was survived by his wife and 2-year-old daughter. His father retired from the Tallahassee Police Department.","BIO Age 28 Tour 4 years, 3 months Badge Not available Military Veteran INCIDENT DETAILS Cause Gunfire Weapon Handgun; .22 caliber Offender Sentenced commuted to life Convicted Felon, Escapee, Parolee, Suspicious Vehicle Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs",INCIDENT DETAILS Cause Gunfire Weapon Handgun; .22 caliber Offender Sentenced commuted to life
Trooper Halley Strickland,https://www.odmp.org/agency/1281-florida-highway-patrol-florida,https://www.odmp.org/officer/12907-trooper-halley-c-strickland,Trooper Halley C. Strickland,33,7 years,Not available,Vehicle pursuit,Not available,HALLEY C. STRICKLAND Trooper Strickland was killed in an automobile accident while pursuing a vehicle in Titusville. He swerved to avoid another vehicle and struck a tree. Trooper Strickland had served with the Florida Highway Patrol for 7 years.,BIO Age 33 Tour 7 years Badge Not available INCIDENT DETAILS Cause Vehicle pursuit Weapon Not available Offender Not available Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs,INCIDENT DETAILS Cause Vehicle pursuit Weapon Not available Offender Not available
Trooper Kenneth E. Flynt,https://www.odmp.org/agency/1281-florida-highway-patrol-florida,https://www.odmp.org/officer/4962-trooper-kenneth-e-flynt,Trooper Kenneth E. Flynt,52,19 years,Not available,Gunfire,Gun; Unknown type,"KENNETH E. FLYNT Trooper Kenneth Flynt was shot and killed while attempting to stop a robbery at 508 South Florida Circle in Apollo Beach while off duty. An armed robber attempted to steal a vehicle from a neighbor of Trooper Flynt. The victim ran to Trooper Flynt's home for help, with the suspect chasing her. As Trooper Flynt tried to take action, he was shot and killed. The suspect was convicted of first-degree murder and sentenced to death on May 14, 1976. On March 17, 1977, he was found dead from a drug overdose in his cell at the Florida Penitentiary. Trooper Flynt had served with the Florida Highway Patrol for 19 years. He was survived by his wife and two daughters.","BIO Age 52 Tour 19 years Badge Not available INCIDENT DETAILS Cause Gunfire Weapon Gun; Unknown type Offender Died in prison Off Duty, Robbery Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs",INCIDENT DETAILS Cause Gunfire Weapon Gun; Unknown type Offender Died in prison
Sergeant Tracy Vickers,https://www.odmp.org/agency/1281-florida-highway-patrol-florida,https://www.odmp.org/officer/24235-sergeant-tracy-leslie-vickers,Sergeant Tracy Leslie Vickers,31,4 years,1357,Automobile crash,,"TRACY LESLIE VICKERS Sergeant Tracy Vickers was killed in a vehicle crash on Route 408, near Conway Road, at approximately 5:50 am. His patrol car struck the rear of a truck carrying construction equipment and became trapped underneath it. Sgt. Vickers was a U.S. Navy veteran and had served with the Florida Highway Patrol for four years. He is survived by his fiancée and other family members. He was posthumously promoted to the rank of Sergeant.",BIO Age 31 Tour 4 years Badge 1357 Military Veteran INCIDENT DETAILS Cause Automobile crash Routine Driving Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs,INCIDENT DETAILS Cause Automobile crash
Kimberly Ann Hurd,https://www.odmp.org/agency/1281-florida-highway-patrol-florida,https://www.odmp.org/officer/363-trooper-kimberly-ann-hurd,Trooper Kimberly Ann Hurd,26,6 years,1158,Vehicular assault,Automobile; Alcohol involved,"KIMBERLY ANN HURD Trooper Kimberly Hurd was struck and killed by a drunk driver while talking with the driver of another car she had stopped on I-95 near Sample Road in Broward County. The drunk driver who struck Trooper Hurd, a retired police officer, fled the scene, but a woman and her daughter who were behind him got his license number. He was later apprehended at his home. The 51-year-old driver was convicted of manslaughter and sentenced to 5 years. Trooper Hurd had served with the Florida Highway Patrol for six years. She was known as the ""Queen of DUI arrests."" In the previous three years, she had made 409 DUI arrests, more than any other Broward County officer. She was survived by her husband, parents, and two sisters.","BIO Age 26 Tour 6 years Badge 1158 INCIDENT DETAILS Cause Vehicular assault Weapon Automobile; Alcohol involved Offender Sentenced to 5 years Impaired Driver, Traffic Stop Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs",INCIDENT DETAILS Cause Vehicular assault Weapon Automobile; Alcohol involved Offender Sentenced to 5 years
Trooper Elmer C. Barnett,https://www.odmp.org/agency/1281-florida-highway-patrol-florida,https://www.odmp.org/officer/1511-trooper-elmer-c-barnett,Trooper Elmer C. Barnett,30,5 years,Not available,Struck by vehicle,,ELMER C. BARNETT Trooper Barnett was struck and killed by a vehicle during a traffic stop in Miami. He was standing away from the roadway with the original violator when another vehicle ran off the road and struck him. Trooper Barnett had served with the Florida Highway Patrol for 5 years.,BIO Age 30 Tour 5 years Badge Not available INCIDENT DETAILS Cause Struck by vehicle Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs,INCIDENT DETAILS Cause Struck by vehicle
Trooper James Herbert Fulford Jr.,https://www.odmp.org/agency/1281-florida-highway-patrol-florida,https://www.odmp.org/officer/300-trooper-james-herbert-fulford-jr,"Trooper James Herbert Fulford, Jr.",35,14 years,Not available,Bomb,Explosives; Bomb,"JAMES HERBERT FULFORD, JR. Trooper James Fulford was killed by a bomb while searching a vehicle. One suspect made the bomb, placed it inside a microwave, and gift wrapped it. He then paid a second male to deliver the package to his ex-wife, who had prior knowledge of a murder he had been involved with and had intimate knowledge of an active drug ring he was involved with. The male agreed to deliver the package thinking it only contained drugs. Trooper Fulford pulled over the car driven by a male and one of his associates. Both men were arrested during the traffic stop and taken to jail by two Jefferson County deputies. Shortly thereafter, Trooper Fulford was killed when the bomb exploded while searching the car. An explosive expert later determined that Trooper Fulford was holding the package when it exploded. Trooper Fulford's death prompted a state and federal investigation that broke apart a drug ring and led to the indictment of 28 people. The bomb maker was sentenced to death and was subsequently executed on February 26th, 2014. The male subject driving the vehicle was sentenced to 40 years. In addition, the brother of the bomb-maker was sentenced to life for first-degree murder. Trooper Fulford had served with the Florida Highway Patrol for 14 years. He is survived by his wife and two children. In 2014, the portion of I-10 between the Aucilla and Monticello exits was dedicated the ""Trooper James Herbert Fulford Jr. Memorial Highway.""","BIO Age 35 Tour 14 years Badge Not available INCIDENT DETAILS Cause Bomb Weapon Explosives; Bomb Offender Executed in 2014 Bomb, Traffic Stop Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs",INCIDENT DETAILS Cause Bomb Weapon Explosives; Bomb Offender Executed in 2014
Trooper Lindell J. Gibbons,https://www.odmp.org/agency/1281-florida-highway-patrol-florida,https://www.odmp.org/officer/5404-trooper-lindell-j-gibbons,Trooper Lindell J. Gibbons,38,2 years,Not available,Automobile crash,,"LINDELL J. GIBBONS Trooper Lindell Gibbons was killed in an automobile crash on Interstate 75 and County Road 951 (current-day Collier Boulevard) in Collier County at 4:30 p.m. While attempting to turn around at 4:30 p.m., he was struck by a tractor-trailer, killing him instantly. The driver of the tractor-trailer was not charged. Trooper Gibbons was a United States Air Force Vietnam War veteran and served with the Florida Highway Patrol for 2 years. He previously served as a law enforcement officer in Missouri. He was survived by his wife and two sons.","BIO Age 38 Tour 2 years Badge Not available Military Veteran INCIDENT DETAILS Cause Automobile crash Routine Driving, Vehicle Crash Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs",INCIDENT DETAILS Cause Automobile crash
Trooper Bradley S. Glascock,https://www.odmp.org/agency/1281-florida-highway-patrol-florida,https://www.odmp.org/officer/5487-trooper-bradley-steven-glascock,Trooper Bradley Steven Glascock,24,1 year,Not available,Gunfire,Handgun; .38 caliber,"BRADLEY STEVEN GLASCOCK Trooper Bradley Glascock was shot and killed when he made a traffic stop in Miami on a driver for failing to pay a ten-cent toll on the Dolphin Expressway (Route 836). The trooper and the civilian ""ride-along"", a 20-year-old college freshman, observed a vehicle stop several feet before the toll booth on the 836 Expressway. After Trooper Glascock pulled up behind the car, the driver pulled through the toll booth without paying. Trooper Glascock stopped the vehicle, and as he was getting out, the suspect began backing up. Trooper Glascock backed his vehicle up to avoid a collision. This happened several times, and at that point, Trooper Glascock told his ride-along that he intended to arrest the suspect. Trooper Glascock and the suspect both exited their vehicles and exchanged words. The suspect then fled back to his vehicle, where he retrieved a .38-caliber handgun and shot Trooper Glascock twice, killing him. The suspect then entered his vehicle. The ride-along unlocked the 12-gauge shotgun that was mounted in the patrol car, loaded it, and opened fire at the suspect. The suspect sped away, but not before the ride-along was able to fire four shots, wounding him. The ride-along then radioed for help. Trooper Glascock was transported to the hospital where he was pronounced dead. A massive manhunt ensued. Working with the description that the ride-along provided, along with a partial license plate of the suspect's vehicle, the police were able to identify the suspect. During the investigation, the suspect’s vehicle was recovered along with the 38-caliber Titen revolver used to kill the trooper. Roadblocks were set up all over Miami, and after two days, the suspect turned himself in because he was unable to get out of town. The 31-year-old suspect pled guilty to first-degree murder and was sentenced to life in prison. He was denied parole in 2011 and again in 2017. As of November 23, 2020, he was in prison. Trooper Glascock's murder spurred the state cabinet to buy bullet-resistant vests for all state troopers. Trooper Glascock had served with the Florida Highway Patrol for one year. He was survived by his parents, brother, and sister.","BIO Age 24 Tour 1 year Badge Not available INCIDENT DETAILS Cause Gunfire Weapon Handgun; .38 caliber Offender Sentenced to life Illegal Alien, Traffic Stop Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs",INCIDENT DETAILS Cause Gunfire Weapon Handgun; .38 caliber Offender Sentenced to life
"Sergeant John C. Baxter, Jr.",https://www.odmp.org/agency/1281-florida-highway-patrol-florida,https://www.odmp.org/officer/1604-sergeant-john-c-baxter-jr,"Sergeant John C. Baxter, Jr.",57,25 years,Not available,Aircraft accident,,"JOHN C. BAXTER, JR. Sergeant Baxter was killed in an airplane crash while assisting the search for four armed robbery suspects in Manatee County. Sergeant Baxter had served with the Florida Highway Patrol for 25 years.",BIO Age 57 Tour 25 years Badge Not available INCIDENT DETAILS Cause Aircraft accident Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs,INCIDENT DETAILS Cause Aircraft accident
"Sergeant George A. Brown, III",https://www.odmp.org/agency/1281-florida-highway-patrol-florida,https://www.odmp.org/officer/17293-sergeant-george-a-andy-brown-iii,"Sergeant George A. ""Andy"" Brown, III",55,33 years,271,Vehicular assault,Automobile,"GEORGE A. ""ANDY"" BROWN, III Sergeant George Brown was killed in an automobile accident while attempting to stop a vehicle, that was fleeing the scene of a crime, on County Road 341 in Columbia County. The driver of the vehicle intentionally slammed on his brakes, causing Sergeant Brown to take evasive action. Sergeant Brown's patrol car left the roadway and struck a tree. The driver of the vehicle he was attempting to stop was later arrested and charged with second degree murder. The suspect was convicted of second degree murder in connection with Sergeant Brown's murder and was sentenced to life in prison. Sergeant Brown was a U.S Marine Corps veteran of the Vietnam war and had served with the Florida Highway Patrol for 33 years. He is survived by his son, parents, and sister.",BIO Age 55 Tour 33 years Badge 271 Military Veteran INCIDENT DETAILS Cause Vehicular assault Weapon Automobile Offender Sentenced to life Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs,INCIDENT DETAILS Cause Vehicular assault Weapon Automobile Offender Sentenced to life
Trooper Robert G. Smith,https://www.odmp.org/agency/1281-florida-highway-patrol-florida,https://www.odmp.org/officer/14942-trooper-robert-g-smith,Trooper Robert G. Smith,34,5 years,Not available,Vehicular assault,Automobile; Alcohol involved,"ROBERT G. SMITH Trooper Robbie Smith was killed at approximately 3:00 am when his patrol car was struck from behind by a drunk driver near the Northwest 95th Street exit on Interstate 95. He had just finished a traffic stop on I-95 and was completing paperwork when the crash occurred. Shortly after impact, his cruiser burst into flames, and he burned to death after being trapped inside. The 21-year-old driver who caused the crash was convicted of manslaughter and sentenced to 15 years in Florida State Prison. On August 13, 2010, with less than a year left in prison, he was in a work release program and failed to return to prison at the end of his shift. He was found sitting on a park bench in his urine in a very intoxicated condition. Trooper Smith had served with the Florida Highway Patrol for five years. He is survived by his wife, son, daughter, parents, and brother, who also served in law enforcement. Between 1985 and 1989, Trooper Smith was a pitcher for the Minnesota Twins. In each of the previous four years, he had made over 100 DUI arrests. In 2000 Governor Jeb Bush signed the Trooper Robert Smith bill into law, allowing judges to keep drunk drivers in jail until their trial.","BIO Age 34 Tour 5 years Badge Not available INCIDENT DETAILS Cause Vehicular assault Weapon Automobile; Alcohol involved Offender Sentenced to 15 years Impaired Driver, Traffic Stop Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs",INCIDENT DETAILS Cause Vehicular assault Weapon Automobile; Alcohol involved Offender Sentenced to 15 years
Lieutenant Benedict J. Thomas,https://www.odmp.org/agency/1281-florida-highway-patrol-florida,https://www.odmp.org/officer/13207-lieutenant-benedict-james-thomas,Lieutenant Benedict James Thomas,32,11 years,Not available,Struck by vehicle,,BENEDICT JAMES THOMAS Lieutenant Thomas was struck by a vehicle and killed while investigating an abandoned vehicle on I-75 in Tampa. He was walking back to his patrol car at the time. Lieutenant Thomas had served with the Florida Highway Patrol for 11 years.,BIO Age 32 Tour 11 years Badge Not available INCIDENT DETAILS Cause Struck by vehicle Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs,INCIDENT DETAILS Cause Struck by vehicle
Trooper Edwin J. Gasque,https://www.odmp.org/agency/1281-florida-highway-patrol-florida,https://www.odmp.org/officer/5326-trooper-edwin-j-gasque,Trooper Edwin J. Gasque,30,2 years,Not available,Gunfire,Rifle; .22 caliber,"EDWIN J. GASQUE Trooper Edwin Gasque was shot and killed when he was ambushed while he and his police dog tracked two fugitives in Jacksonville. The suspects were wanted for abducting and shooting at a Duval County sheriff's deputy. Both suspects were captured one week later near Dawson, Georgia. Both were convicted of first degree murder and sentenced to life in prison on June 18, 1962. One died in prison on July 14, 1987, and the second died in prison on June 20, 2012. Trooper Gasque was a U.S. Army veteran and had served with the Florida Highway Patrol for two years. He was survived by his wife and two children.",BIO Age 30 Tour 2 years Badge Not available Military Veteran INCIDENT DETAILS Cause Gunfire Weapon Rifle; .22 caliber Offender Died in prison Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs,INCIDENT DETAILS Cause Gunfire Weapon Rifle; .22 caliber Offender Died in prison
