odmp_officer_id,officer_name,matched_input_name,state,highway_name,odmp_url,target_row_has_odmp,match_confidence,match_reason,source_locations
15192,Deputy Sheriff John Paul Monego,John Paul Monego,California,Officer John Paul Monego Memorial Freeway,https://www.odmp.org/officer/15192-deputy-sheriff-john-paul-monego,no,high,auto score=270,states/california/odmp_ca_officers.csv:25 | openclaw/states/california/odmp_ca_officers.csv:25
15452,Police Officer II Robert Joe Mata,Robert Joe Mata,California,Officer Robert Joe Mata and Officer Roberto C. Sanchez Memorial Highway,https://www.odmp.org/officer/15452-police-officer-ii-robert-joe-mata,no,high,auto score=270,states/california/odmp_ca_officers.csv:27 | openclaw/states/california/odmp_ca_officers.csv:27
15468,Officer Sean Alexander Nava,Sean Nava,California,CHP Officer Sean Nava Memorial Freeway,https://www.odmp.org/officer/15468-officer-sean-alexander-nava,no,high,auto score=200,states/california/odmp_ca_officers.csv:28 | openclaw/states/california/odmp_ca_officers.csv:28
17875,Officer David Marin Romero,David M Romero,California,CHP Officer David M. Romero Memorial Highway,https://www.odmp.org/officer/17875-officer-david-marin-romero,no,high,auto score=200,states/california/odmp_ca_officers.csv:42 | openclaw/states/california/odmp_ca_officers.csv:42
17906,"Deputy Sheriff Daniel Jess Lobo, Jr.",Daniel Jess Lobo,California,"Sheriff’s Deputies Ronald Wayne Ives and Daniel Jess Lobo, Jr., Memorial Highway",https://www.odmp.org/officer/17906-deputy-sheriff-daniel-jess-lobo-jr,no,high,auto score=270,states/california/odmp_ca_officers.csv:43 | openclaw/states/california/odmp_ca_officers.csv:43
18147,Officer Earl Harwood Scott,Earl Scott,California,CHP Officer Earl Scott Memorial Highway,https://www.odmp.org/officer/18147-officer-earl-harwood-scott,no,high,auto score=200,states/california/odmp_ca_officers.csv:45 | openclaw/states/california/odmp_ca_officers.csv:45
18179,Officer John Bailey,John Bailey,California,CHP Officer John Bailey Memorial Freeway,https://www.odmp.org/officer/18179-officer-john-bailey,no,high,auto score=270,states/california/odmp_ca_officers.csv:46 | openclaw/states/california/odmp_ca_officers.csv:46
18965,Officer Douglas Scott Russell,Douglas Scott Russell,California,CHP Officer Douglas “Scott” Russell Memorial Freeway,https://www.odmp.org/officer/18965-officer-douglas-scott-russell,no,high,auto score=270,states/california/odmp_ca_officers.csv:48 | openclaw/states/california/odmp_ca_officers.csv:48
20418,Officer Thomas Philip Coleman,Thomas P Coleman,California,CHP Officer Thomas P. Coleman Memorial Highway,https://www.odmp.org/officer/20418-officer-thomas-philip-coleman,no,high,auto score=200,states/california/odmp_ca_officers.csv:54 | openclaw/states/california/odmp_ca_officers.csv:54
20744,Officer Thomas Richard Adams,Thomas R Adams,California,CHP Officer Thomas R. Adams Memorial Highway,https://www.odmp.org/officer/20744-officer-thomas-richard-adams,no,high,auto score=200,states/california/odmp_ca_officers.csv:55 | openclaw/states/california/odmp_ca_officers.csv:55
21164,Officer Robert James Quirk,Robert J Quirk,California,CHP Officer Robert J. Quirk Memorial Highway,https://www.odmp.org/officer/21164-officer-robert-james-quirk,no,high,auto score=200,states/california/odmp_ca_officers.csv:57 | openclaw/states/california/odmp_ca_officers.csv:57
21763,Sergeant Gilbert Cortez,Gilbert Cortez,California,Sergeant Gilbert Cortez and K-9 Mattie Memorial Highway,https://www.odmp.org/officer/21763-sergeant-gilbert-cortez,no,high,auto score=270,states/california/odmp_ca_officers.csv:61 | openclaw/states/california/odmp_ca_officers.csv:61
21943,Officer Brian Mitchio Law,Brian Law,California,CHP Officers Brian Law and Juan Gonzalez Memorial Highway,https://www.odmp.org/officer/21943-officer-brian-mitchio-law,no,high,auto score=200,states/california/odmp_ca_officers.csv:64 | openclaw/states/california/odmp_ca_officers.csv:64
21944,Officer Juan Jaime Gonzalez,Juan Gonzalez,California,CHP Officers Brian Law and Juan Gonzalez Memorial Highway,https://www.odmp.org/officer/21944-officer-juan-jaime-gonzalez,no,high,auto score=200,states/california/odmp_ca_officers.csv:65 | openclaw/states/california/odmp_ca_officers.csv:65
22068,Police Officer II Roberto Carlos Sanchez,Roberto C Sanchez,California,Officer Robert Joe Mata and Officer Roberto C. Sanchez Memorial Highway,https://www.odmp.org/officer/22068-police-officer-ii-roberto-carlos-sanchez,no,high,auto score=200,states/california/odmp_ca_officers.csv:67 | openclaw/states/california/odmp_ca_officers.csv:67
22255,"Deputy Sheriff Yevhen ""Eugene"" Kostiuchenko",Yevhen Eugene Kostiuchenko,California,"Deputy Sheriff Yevhen ""Eugene"" Kostiuchenko Memorial Highway",https://www.odmp.org/officer/22255-deputy-sheriff-yevhen-eugene-kostiuchenko,no,high,auto score=270,states/california/odmp_ca_officers.csv:69 | openclaw/states/california/odmp_ca_officers.csv:69
22547,Sergeant Scott Paul Lunger,Scott Lunger,California,Police Sergeant Scott Lunger Memorial Highway,https://www.odmp.org/officer/22547-sergeant-scott-paul-lunger,no,high,auto score=200,states/california/odmp_ca_officers.csv:71 | openclaw/states/california/odmp_ca_officers.csv:71
22751,Deputy Sheriff Scott Alfred Ballantyne,Scott Ballantyne,California,Deputy Sheriff Scott Ballantyne and Sheriff Pilot James Chavez Memorial Highway,https://www.odmp.org/officer/22751-deputy-sheriff-scott-alfred-ballantyne,no,high,auto score=200,states/california/odmp_ca_officers.csv:72 | openclaw/states/california/odmp_ca_officers.csv:72
22990,Police Officer Lesley Marie Zerebny,Lesley Zerebny,California,Police Officer Jose “Gil” Vega and Police Officer Lesley Zerebny Memorial Highway,https://www.odmp.org/officer/22990-police-officer-lesley-marie-zerebny,no,high,auto score=200,states/california/odmp_ca_officers.csv:73 | openclaw/states/california/odmp_ca_officers.csv:73
23123,Officer Lucas Forrest Chellew,Lucas F Chellew,California,CHP Officer Lucas F. Chellew Memorial Highway,https://www.odmp.org/officer/23123-officer-lucas-forrest-chellew,no,high,auto score=200,states/california/odmp_ca_officers.csv:77 | openclaw/states/california/odmp_ca_officers.csv:77
23746,Officer Kirk Anthony Griess,Kirk Griess,California,CHP Officer Kirk Griess Memorial Highway,https://www.odmp.org/officer/23746-officer-kirk-anthony-griess,no,high,auto score=200,states/california/odmp_ca_officers.csv:79 | openclaw/states/california/odmp_ca_officers.csv:79
24081,Sergeant Steven Lawrence Licon,Steven L Licon,California,CHP Sergeant Steven L. Licon Memorial Highway,https://www.odmp.org/officer/24081-sergeant-steven-lawrence-licon,no,high,auto score=200,states/california/odmp_ca_officers.csv:82 | openclaw/states/california/odmp_ca_officers.csv:82
24187,"Officer Andre Maurice Moye, Jr.",Andre Maurice Moye,California,"CHP Officer Andre Maurice Moye, Jr. Memorial Freeway",https://www.odmp.org/officer/24187-officer-andre-maurice-moye-jr,no,high,auto score=270,states/california/odmp_ca_officers.csv:83 | openclaw/states/california/odmp_ca_officers.csv:83
475,"Patrolman Anthony B. ""Bud"" Burton",Anthony Burton,Indiana,Officer Anthony Burton and Reserve Officer Lonnie Howard Memorial Highway,https://www.odmp.org/officer/475-patrolman-anthony-b-bud-burton,no,manual,user provided mapping,states/indiana/odmp_indiana_officers.csv:7 | openclaw/states/indiana/odmp_indiana_officers.csv:7
476,Reserve Officer Lonnie Edward Howard,Lonnie Howard,Indiana,Officer Anthony Burton and Reserve Officer Lonnie Howard Memorial Highway,https://www.odmp.org/officer/476-reserve-officer-lonnie-edward-howard,no,manual,user provided mapping,states/indiana/odmp_indiana_officers.csv:8 | openclaw/states/indiana/odmp_indiana_officers.csv:8
13259,Patrolman Neil G. Thompson,Neil Thompson,Indiana,"""Patrolman Neil Thompson Highway""",https://www.odmp.org/officer/13259-patrolman-neil-g-thompson,no,high,auto score=195,states/indiana/odmp_indiana_officers.csv:2 | openclaw/states/indiana/odmp_indiana_officers.csv:2
13720,Patrolman Anthony Wagner,Anthony Wayne,Indiana,Anthony Wayne Parkway,https://www.odmp.org/officer/13720-patrolman-anthony-wagner,no,high,auto score=150,states/indiana/odmp_indiana_officers.csv:3 | openclaw/states/indiana/odmp_indiana_officers.csv:3
15856,"Police Officer Jerrold Joseph ""Jerry"" Wyss",Jerrold J Wyss,Indiana,"""Jerrold J. Wyss Memorial Highway""",https://www.odmp.org/officer/15856-police-officer-jerrold-joseph-jerry-wyss,no,high,auto score=200,states/indiana/odmp_indiana_officers.csv:4 | openclaw/states/indiana/odmp_indiana_officers.csv:4
17068,Trooper Scott Alan Patrick,Scott A Patrick,Indiana,"""Trooper Scott A. Patrick Memorial Highway""",https://www.odmp.org/officer/17068-trooper-scott-alan-patrick,no,high,auto score=200,states/indiana/odmp_indiana_officers.csv:5 | openclaw/states/indiana/odmp_indiana_officers.csv:5
25898,Town Marshal Anthony Wayne Hinshaw,Anthony Wayne,Indiana,Anthony Wayne Parkway,https://www.odmp.org/officer/25898-town-marshal-anthony-wayne-hinshaw,no,high,auto score=150,states/indiana/odmp_indiana_officers.csv:6 | openclaw/states/indiana/odmp_indiana_officers.csv:6
23588,,,Maryland,,https://www.odmp.org/officer/23588-sergeant-mujahid-abdul-mumin-ramzziddin,,low,no reliable match,states/maryland/MDOT_Dedications_View_5446950756783444293.csv:254 | openclaw/states/maryland/MDOT_Dedications_View_5446950756783444293.csv:254
1207,Patrolman James H. Anderson,James H. Anderson,Montana,Highway Patrol Officer James H. Anderson Memorial Highway,https://www.odmp.org/officer/1207-patrolman-james-h-anderson,no,manual,user provided mapping,states/montana/montana_matched_officers.csv:3 | openclaw/states/montana/montana_matched_officers.csv:3
6311,Patrolman Richard E. Hedstrom,Richard E. Hedstrom,Montana,Highway Patrol Officer Richard E. Hedstrom Memorial Highway,https://www.odmp.org/officer/6311-patrolman-richard-e-hedstrom,no,manual,user provided mapping,states/montana/montana_matched_officers.csv:11 | openclaw/states/montana/montana_matched_officers.csv:11
11172,Patrolman Michael M. Ren,Michael M. Ren,Montana,Highway Patrol Officer Michael M. Ren Memorial Highway,https://www.odmp.org/officer/11172-patrolman-michael-m-ren,no,high,auto score=270,states/montana/montana_matched_officers.csv:2 | openclaw/states/montana/montana_matched_officers.csv:2
12739,Patrolman Robert G. Steele,Robert G. Steele,Montana,Highway Patrol Officer Robert G. Steele Memorial Highway,https://www.odmp.org/officer/12739-patrolman-robert-g-steele,no,high,auto score=270,states/montana/montana_matched_officers.csv:4 | openclaw/states/montana/montana_matched_officers.csv:4
16514,Reserve Deputy Deborah Jean Hobbs,Deborah Hobbs,Montana,"Deborah Hobbs,LCSO 15-47 Memorial Highway",https://www.odmp.org/officer/16514-reserve-deputy-deborah-jean-hobbs,no,high,auto score=200,states/montana/montana_matched_officers.csv:5 | openclaw/states/montana/montana_matched_officers.csv:5
19026,Trooper David A. Graham,David Graham,Montana,Highway Patrol Officer David Graham Memorial Highway,https://www.odmp.org/officer/19026-trooper-david-a-graham,no,high,auto score=200,states/montana/montana_matched_officers.csv:6 | openclaw/states/montana/montana_matched_officers.csv:6
20576,Trooper David James DeLaittre,David DeLaittre,Montana,Highway Patrol Officer David DeLaittre Memorial Highway,https://www.odmp.org/officer/20576-trooper-david-james-delaittre,no,high,auto score=200,states/montana/montana_matched_officers.csv:7 | openclaw/states/montana/montana_matched_officers.csv:7
