highway_name,route_no,from_location,to_location,source_url,source_note
Davina Chapman Memorial Highway,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 143; year 2015. Bridge/overpass/interchange/approach/intersection entries excluded.
Frank Hennigan Memorial Drive,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 66; year 2003. Bridge/overpass/interchange/approach/intersection entries excluded.
Cecil B. Tramel Memorial Highway,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 105; year 2009. Bridge/overpass/interchange/approach/intersection entries excluded.
Veterans Memorial Lane,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 142; year 2015. Bridge/overpass/interchange/approach/intersection entries excluded.
"B.B. ""Sixty"" Rayburn Memorial Highway",,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 104; year 2008. Bridge/overpass/interchange/approach/intersection entries excluded.
Horace Lynn Jones Memorial Highway,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 64; year 2003. Bridge/overpass/interchange/approach/intersection entries excluded.
Wilson Anthony 'Boozoo' Chavis Memorial Highway,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 103; year 2008. Bridge/overpass/interchange/approach/intersection entries excluded.
Rodney Guilbeaux Memorial Highway,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 102; year 2008. Bridge/overpass/interchange/approach/intersection entries excluded.
Congressman Jimmy Morrison Highway,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 62; year 2003. Bridge/overpass/interchange/approach/intersection entries excluded.
"Martin Luther King, Jr. Boulevard",,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 139; year 2014. Bridge/overpass/interchange/approach/intersection entries excluded.
Purple Heart Recipients Highway,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 89; year 2007. Bridge/overpass/interchange/approach/intersection entries excluded.
"Staff Sgt Timothy B. Cole, Jr. Memorial Highway",,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 100; year 2008. Bridge/overpass/interchange/approach/intersection entries excluded.
Simon S. Thomas Memorial Highway,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 61; year 2003. Bridge/overpass/interchange/approach/intersection entries excluded.
Hadley J. Castille-Pacaniére Highway,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 137; year 2014. Bridge/overpass/interchange/approach/intersection entries excluded.
Veterans Highway,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 59; year 2001. Bridge/overpass/interchange/approach/intersection entries excluded.
Johnny Wyatt Memorial Highway,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 134; year 2014. Bridge/overpass/interchange/approach/intersection entries excluded.
"Charles I. ""Doc"" Hudson Highway",,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 98; year 2007. Bridge/overpass/interchange/approach/intersection entries excluded.
"A.J. Davis Highway, Captain USAF",,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 43; year 1997. Bridge/overpass/interchange/approach/intersection entries excluded.
Johnny B. Memorial Highway,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 42; year 1997. Bridge/overpass/interchange/approach/intersection entries excluded.
Korean War Veterans Memorial Highway,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 79; year 2005. Bridge/overpass/interchange/approach/intersection entries excluded.
St. Bernard Vet. Memorial Highway,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 40; year 1997. Bridge/overpass/interchange/approach/intersection entries excluded.
Creole Nature Trail All-American Road Route,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 132; year 2014. Bridge/overpass/interchange/approach/intersection entries excluded.
"Martin Luther King, Jr. Drive",,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 133; year 2014. Bridge/overpass/interchange/approach/intersection entries excluded.
Stephen E. Ambrose Memorial Parkway,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 75; year 2004. Bridge/overpass/interchange/approach/intersection entries excluded.
"Joseph D. Waggonner, Jr. Highway",,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 36; year 1997. Bridge/overpass/interchange/approach/intersection entries excluded.
Veterans Memorial Highway 3235,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 95; year 2007. Bridge/overpass/interchange/approach/intersection entries excluded.
Charles I. Hudson Highway,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 72; year 2004. Bridge/overpass/interchange/approach/intersection entries excluded.
Clarence 'Gatemouth' Brown Memorial Highway,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 94; year 2007. Bridge/overpass/interchange/approach/intersection entries excluded.
Purple Heart Highway,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 69; year 2003. Bridge/overpass/interchange/approach/intersection entries excluded.
LA Korean War Veterans Memorial Highway,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 31; year 1995. Bridge/overpass/interchange/approach/intersection entries excluded.
1st Lt. Doug Fournet Memorial Parkway,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 131; year 2013. Bridge/overpass/interchange/approach/intersection entries excluded.
C.E. Buddy Slaydon Memorial Drive,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 67; year 2003. Bridge/overpass/interchange/approach/intersection entries excluded.
Vietnam Veterans Memorial Highway,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 29; year 1993. Bridge/overpass/interchange/approach/intersection entries excluded.
West Carroll Veterans Memorial Highway,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 129; year 2013. Bridge/overpass/interchange/approach/intersection entries excluded.
Staff Sergeant William 'Bill' F. Manuel Memorial Highway,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 93; year 2007. Bridge/overpass/interchange/approach/intersection entries excluded.
"Martin Luther King, Jr. Memorial Expressway",,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 27; year 1991. Bridge/overpass/interchange/approach/intersection entries excluded.
James Baker Drive,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 25; year 1990. Bridge/overpass/interchange/approach/intersection entries excluded.
Clayton Iles Memorial Highway,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 63; year 2003. Bridge/overpass/interchange/approach/intersection entries excluded.
Ronnie Hebert Boulevard,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 22; year 1988. Bridge/overpass/interchange/approach/intersection entries excluded.
John Leblanc Boulevard,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 24; year 1990. Bridge/overpass/interchange/approach/intersection entries excluded.
"Martin Luther King, Jr. Highway",,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 21; year 1988. Bridge/overpass/interchange/approach/intersection entries excluded.
Sam Houston Jones Parkway,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 18; year 1987. Bridge/overpass/interchange/approach/intersection entries excluded.
Doug Fournet Memorial Parkway,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 52; year 2001. Bridge/overpass/interchange/approach/intersection entries excluded.
Oscar Rivette Road,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 16; year 1979. Bridge/overpass/interchange/approach/intersection entries excluded.
Thomas M. Alexander Memorial Highway,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 128; year 2013. Bridge/overpass/interchange/approach/intersection entries excluded.
A.C. Schiro Memorial Highway,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 54; year 2001. Bridge/overpass/interchange/approach/intersection entries excluded.
Nolan's Trace,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 14-15; year 1975. Bridge/overpass/interchange/approach/intersection entries excluded.
Reverend A.L. O'Brien Memorial Highway,,,,https://dotd.la.gov/media/m2rf1o42/memorial-highways.pdf,Louisiana DOTD Memorial Highways map (last updated Dec 2015). Map index 90; year 2007. Bridge/overpass/interchange/approach/intersection entries excluded.
