name,original_designation,county,wikipedia_url,status,summary,education,dob,dod,place_of_birth,place_of_death,gender,involved_in_sports,involved_in_politics,involved_in_military,involved_in_music
Chris Daniels,Sheriff Chris Daniels Memorial Highway,Lake,https://en.wikipedia.org/wiki/Chris_Daniels,Found,"Chris Daniels was an American musician and singer-songwriter best known as the frontman of the band Chris Daniels & The Kings. Born in 1952, he became a prominent figure in the Colorado music scene, blending blues, rock, and soul influences. Daniels released numerous albums and earned accolades, including induction into the Colorado Music Hall of Fame in 2020. He passed away in 2023, leaving behind a legacy as a beloved performer and mentor in the music community.",,1952,2023,not found,not found,male,no,no,no,yes
CK Steele,CK Steele Memorial Highway,Leon,https://en.wikipedia.org/wiki/Charles_Kenzie_Steele,Found,"Charles Kenzie Steele (1914–1980) was an American civil rights leader and pastor best known for organizing the 1956 Tallahassee bus boycott, a pivotal event in the U.S. Civil Rights Movement. Born in Atlanta, Georgia, he served as president of the Tallahassee chapter of the NAACP and later as the first vice president of the Southern Christian Leadership Conference (SCLC). Steele’s activism focused on nonviolent resistance and desegregation, earning him recognition as a key figure alongside Martin Luther King Jr. He died in 1980, leaving a legacy as a champion of racial equality and social justice in the American South.","['Morehouse College, Atlanta, Georgia', 'School of Theology at Virginia Union University, Bachelor of Divinity']",1914-02-18,1980-09-19,"Atlanta, Georgia, United States","Tallahassee, Florida, United States",male,no,yes,yes,no
Tony Forgione,Deputies Tony Forgione and Bill Myers Memorial Bridge,Okaloosa,Not Found,Not Found,,,,,,,,,,,
Bill Myers,Deputies Tony Forgione and Bill Myers Memorial Bridge,Okaloosa,https://en.wikipedia.org/wiki/Bill_Myers,Found,"The provided Wikipedia content does not include any biographical details about Bill Myers. No information regarding birth, death, profession, or notable achievements is available in the extracted text. The page appears to be either incomplete or a placeholder without substantive content. Without additional data, a meaningful summary cannot be constructed.",,,,not found,not found,not found,no,no,no,no
John B. Arnold,"John B. Arnold, Jr., Memorial Highway",Okaloosa,https://en.wikipedia.org/wiki/Magda_B._Arnold,Found,"Magda B. Arnold was a prominent psychologist born on January 20, 1903, known for her pioneering work in the field of emotion and appraisal theory. She earned her Ph.D. in psychology and contributed significantly to the development of the Thematic Apperception Test (TAT) alongside Henry Murray. Arnold’s cognitive theory of emotion emphasized the role of appraisal in emotional experience, influencing modern psychology. She passed away on September 22, 2002, leaving a lasting legacy in psychological research and theory.","['Bryn Mawr College, BA (1924)', 'Brown University, MA (1926)', 'Brown University, PhD in Psychology (1929)']",1903-01-20,2002-09-22,"Philadelphia, Pennsylvania, USA",not found,female,no,no,no,no
R.C. Sproul,Dr. R.C. Sproul Way,Seminole,https://en.wikipedia.org/wiki/R.C._Sproul,Found,"R.C. Sproul (1939–2017) was an American Reformed theologian, pastor, and prolific author known for his influential role in evangelical Christianity. He founded Ligonier Ministries in 1971, a global discipleship organization that produced educational resources and media to promote Reformed theology. Sproul served as a professor at multiple seminaries and wrote over 100 books, including The Holiness of God and Chosen by God, which became foundational texts for many believers. His teaching career and media presence, including the Renewing Your Mind radio program, cemented his legacy as a key figure in modern Christian thought.","['Westminster College, Pennsylvania, BA (1961)', 'Pittsburgh-Xenia Theological Seminary, MDiv (1964)', 'Free University of Amsterdam, DRS (1969)', 'Whitefield Theological Seminary, DD (honorary)']",1939-02-13,2017-12-14,"Pittsburgh, Pennsylvania, United States","Sanford, Florida, United States",male,no,no,no,no
David G. Ledgerwood,David G. Ledgerwood Memorial Highway,Volusia,Not Found,Not Found,,,,,,,,,,,
Thomas A. Wright,Rev. Dr. Thomas A. Wright Boulevard,Alachua,https://en.wikipedia.org/wiki/Thomas_Wright,Found,"The name Thomas Wright refers to multiple individuals across various fields, making it difficult to pinpoint a single biography. Notable figures include Thomas Wright (1711–1786), an English astronomer and architect known for his theories on the Milky Way's structure and contributions to landscape gardening. Another is Thomas Wright (1810–1877), an English antiquarian and writer who specialized in medieval literature and edited works like The Anglo-Latin Satirical Poets. Due to the ambiguity, this entry encompasses diverse professions, from science and politics to entertainment and sports, without a unified historical narrative.",,,,not found,not found,male,yes,yes,no,yes
Candice Ellize Francois,Candice Ellize Francois Street,Broward,Not Found,Not Found,,,,,,,,,,,
Mixson,Governor Mixson Highway,Jackson,https://en.wikipedia.org/wiki/Mixson,Found,"Wayne Mixson was an American politician born on June 16, 1922, in New Brockton, Alabama. He served as the 39th Governor of Florida for three days in January 1987, following the resignation of Governor Bob Graham. Prior to his brief gubernatorial term, Mixson had a long career in Florida politics, including roles in the Florida House of Representatives and as Lieutenant Governor. He was also a decorated veteran of World War II, contributing to his legacy as a public servant and military officer.","['University of Florida, Bachelor of Science in Agriculture', 'University of Florida, Juris Doctor']",1922-06-16,2020-07-24,"New Brockton, Alabama, United States","Jacksonville, Florida, United States",male,no,yes,yes,no
John U. Lloyd,John U. Lloyd Bridge,Broward,https://en.wikipedia.org/wiki/John_Bedford_Lloyd,Found,"John Bedford Lloyd is an American actor known for his extensive work in film and television. Born in 1956, he has appeared in notable projects such as The Abyss (1989), Philadelphia (1993), and The Paper (1994), often portraying supporting yet memorable roles. His career spans several decades, with appearances in both Hollywood blockbusters and independent productions, showcasing his versatility. Lloyd remains active in the entertainment industry, contributing to its evolution through his performances.",,1956,,"New Haven, Connecticut, United States",not found,male,no,no,no,no
Wilbur Barry,Wilbur Barry Highway,Escambia,Not Found,Not Found,,,,,,,,,,,
Helen Gordon Davis,Helen Gordon Davis Boulevard,Hillsborough,https://en.wikipedia.org/wiki/Helen_Gordon_Davis,Found,"Helen Gordon Davis was an American politician born on September 21, 1930. She served as a Democratic member of the Florida House of Representatives from 1974 to 1988 and later in the U.S. House of Representatives from 1989 to 1993. Known for her advocacy on women's rights, education, and environmental issues, she was a prominent figure in Florida and national politics. Davis passed away on June 28, 2020, leaving a legacy of public service and progressive leadership.","['University of South Florida, Bachelor of Arts', 'University of South Florida, Master of Arts in Education']",1930-09-21,2020-06-28,"Atlanta, Georgia, United States","Tampa, Florida, United States",female,no,yes,no,no
A. Hagood Ellzey,Deputy A. Hagood Ellzey Memorial Highway,Levy,Not Found,Not Found,,,,,,,,,,,
Trooper Patrick Ambroise,Trooper Patrick Ambroise Memorial Highway,Miami-Dade,Not Found,Not Found,,,,,,,,,,,
Christopher Smith,Deputy Christopher Smith Memorial Highway,Multiple Counties,https://en.wikipedia.org/wiki/Christopher_Smith,Found,"The name Christopher Smith refers to multiple individuals across various fields, including entertainment, sports, and politics. Due to the lack of specific biographical details in the provided content, no single person's birth/death dates, notable achievements, or profession can be definitively summarized. The name is associated with fictional characters as well as real people, making it difficult to pinpoint one individual's historical significance. Without further context, a precise summary cannot be generated for any particular Christopher Smith.",,,,not found,not found,male,yes,yes,no,yes
Rep. J. Troy Peacock,Rep. J. Troy Peacock Bridge,Jackson,Not Found,Not Found,,,,,,,,,,,
Benedict J. Thomas,Lieutenant Benedict J. Thomas Memorial Highway,Hillsborough,Not Found,Not Found,,,,,,,,,,,
Trooper John C. Hagerty,Trooper John C. Hagerty Memorial Highway,Polk,Not Found,Not Found,,,,,,,,,,,
Trooper Joseph Sawtell Jr,Trooper Joseph Sawtell Jr. Memorial Highway,Brevard,Not Found,Not Found,,,,,,,,,,,
Steven G. Greco,Sergeant Steven G. Greco Memorial Highway,Broward,Not Found,Not Found,,,,,,,,,,,
"George A. Brown, III","Sergeant George A. Brown, III Memorial Highway",Columbia,https://en.wikipedia.org/wiki/George_Atkinson_III,Found,"George Atkinson III was an American professional football player born on March 28, 1993. He played as a safety in the NFL, known for his stints with teams like the Oakland Raiders, Cleveland Browns, and Kansas City Chiefs. Atkinson began his football career at the University of Notre Dame, where he showcased his skills as a defensive back. His contributions to the sport earned him recognition, though his career was marked by multiple team transitions before his untimely death on December 22, 2023.",['University of Notre Dame'],1993-03-28,2023-12-22,not found,not found,male,yes,no,no,no
Trooper Bradley S. Glascock,Trooper Bradley S. Glascock Memorial Highway,Miami-Dade,Not Found,Not Found,,,,,,,,,,,
Trooper Lindell J. Gibbons,Trooper Lindell J. Gibbons Memorial Highway,Collier,Not Found,Not Found,,,,,,,,,,,
Trooper Robert P. McDermon,Trooper Robert P. McDermon Memorial Highway,Duval,Not Found,Not Found,,,,,,,,,,,
Robert L. Shevin,Robert L. Shevin Way,Miami-Dade,https://en.wikipedia.org/wiki/Robert_L._Shevin,Found,"Robert L. Shevin was an American attorney and politician born on January 16, 1926. He served as a member of the Florida House of Representatives from 1965 to 1967 and later as Florida Attorney General from 1971 to 1979. Shevin also held judicial roles, including serving as a justice on the Florida Supreme Court from 1981 to 1987. He passed away on October 16, 2020, leaving a legacy in Florida's legal and political history.",,1926-01-16,2020-10-16,not found,not found,male,no,yes,no,no
Cleo L. Tomlinson,"Trooper Merle J. Cook, Trooper Robert L. Pruitt, Trooper Cleo L. Tomlinson, Jr. Memorial Highway",St. Johns,Not Found,Not Found,,,,,,,,,,,
Trooper Luther P. Daniel,Trooper Luther P. Daniel Memorial Highway,Miami-Dade,Not Found,Not Found,,,,,,,,,,,
William T. Bishop,Sergeant William T. Bishop Memorial Highway,Alachua,https://en.wikipedia.org/wiki/William_Bishop_%28actor%29,Found,"William Bishop was an American actor born on November 1, 1918, known for his work in television, film, and stage. He served in the U.S. Army Air Forces during World War II before pursuing an acting career, appearing in Broadway productions and later transitioning to television. Bishop gained recognition for roles in series like The Nurses and The Doctors, as well as guest appearances in popular shows of the 1960s and 1970s. He passed away on October 27, 1999, leaving behind a legacy in classic American entertainment.",,1918-11-01,1999-10-27,"New York City, New York, United States","Los Angeles, California, United States",male,no,no,yes,no
Trooper Halley Strickland,Trooper Halley Strickland Memorial Highway,Brevard,Not Found,Not Found,,,,,,,,,,,
"Martin Luther King, Jr","Martin Luther King, Jr., Boulevard",Brevard,https://en.wikipedia.org/wiki/Martin_Luther_King%2C_Jr,Found,"Martin Luther King Jr. was born on January 15, 1929, in Atlanta, Georgia, and became one of the most prominent leaders of the American civil rights movement. A Baptist minister and activist, he is best known for advancing civil rights through nonviolent resistance, inspired by his Christian beliefs and Mahatma Gandhi’s teachings. His iconic 1963 'I Have a Dream' speech and leadership in campaigns like the Montgomery Bus Boycott and March on Washington cemented his legacy as a pivotal figure in U.S. history. King was assassinated on April 4, 1968, in Memphis, Tennessee, but his work earned him the Nobel Peace Prize in 1964 and enduring global recognition as a symbol of justice and equality.","['Morehouse College, B.A. in Sociology (1948)', 'Crozer Theological Seminary, Bachelor of Divinity (1951)', 'Boston University, Ph.D. in Systematic Theology (1955)']",1929-01-15,1968-04-04,"Atlanta, Georgia, United States","Memphis, Tennessee, United States",male,no,yes,no,no
David C. Hobbs,Sheriff David C. Hobbs Memorial Highway,Jefferson,https://en.wikipedia.org/wiki/David_Hobbs_%28racing_driver%29,Found,"David Hobbs, born June 9, 1939, is a British former professional racing driver known for his extensive career in motorsports. He competed in Formula One, IndyCar, and sports car racing, achieving notable success with wins in the 1971 24 Hours of Daytona and multiple Trans-Am Series victories. After retiring from racing, Hobbs became a respected television commentator, covering motorsports for networks like ESPN and Speed Channel. His contributions to racing and broadcasting have cemented his legacy as a prominent figure in automotive history.",,1939-06-09,,"Royal Leamington Spa, Warwickshire, United Kingdom",not found,male,yes,no,no,no
John C. Baxter,"Sergeant John C. Baxter, Jr. Memorial Highway",Manatee,https://en.wikipedia.org/wiki/John_Baxter,Found,"John Baxter is a name shared by multiple individuals across various fields including arts, politics, law, science, and sports. Due to the disambiguation nature of the content, no single definitive biography (such as birth/death dates or unified achievements) can be summarized for one person. Notable figures with this name have contributed to entertainment, governance, athletics, and academic research, reflecting diverse professional backgrounds. The historical significance of each varies by domain, from creative works to legislative or scientific advancements.",,,,not found,not found,male,yes,yes,no,yes
Patrolman Royston E. Walker,Patrolman Royston E. Walker Memorial Highway,Dixie,Not Found,Not Found,,,,,,,,,,,
Daniel Hinton,Sergeant Daniel Hinton Memorial Highway,Lee,https://en.wikipedia.org/wiki/Darby_Hinton,Found,"Darby Hinton is an American actor best known for his role as Israel Boone in the 1960s television series Daniel Boone. Born on August 19, 1957, he began acting as a child and became a recognizable figure in Western-themed entertainment. His career spans several decades, including appearances in films and TV shows beyond his iconic early role. Hinton remains a notable figure in classic American television history.",,1957-08-19,,not found,not found,male,no,no,no,no
Jorge P. Castano,Jorge P. Castano Way,Miami-Dade,Not Found,Not Found,,,,,,,,,,,
Sherman L. Scott,"Trooper Sherman L. Scott, Jr. Memorial Highway",Baker,https://en.wikipedia.org/wiki/L._Scott_Caldwell,Found,"L. Scott Caldwell is an American actress best known for her extensive work in film, television, and theater. Born in 1950, she has earned acclaim for her roles in projects like Lost (as Rose Nadler) and The Fugitive (1993). Caldwell has also contributed to theater productions and directed stage works, showcasing her versatility in the performing arts. Her career spans several decades, making her a respected figure in entertainment with a focus on character-driven performances.",,1950,,"Chicago, Illinois, United States",not found,female,no,no,no,no
Trooper Richard Howell,Trooper Richard Howell Memorial Highway,Orange,Not Found,Not Found,,,,,,,,,,,
Frederick J. Groves,"Troopers Herman T. Morris and Frederick J. Groves, Jr. Memorial Highway",Palm Beach,Not Found,Not Found,,,,,,,,,,,
Trooper Wilburn A. Kelly,Trooper Wilburn A. Kelly Memorial Highway,St. Johns,Not Found,Not Found,,,,,,,,,,,
Trooper Edwin J. Gasque,Trooper Edwin J. Gasque Memorial Highway,Duval,Not Found,Not Found,,,,,,,,,,,
SSGT Edward C. Sheffield,SSGT Edward C. Sheffield Memorial Bridge,Taylor,Not Found,Not Found,,,,,,,,,,,
Trooper Alvin V. Kohler,Trooper Alvin V. Kohler Memorial Highway,Miami-Dade,Not Found,Not Found,,,,,,,,,,,
Trooper Elmer C. Barnett,Trooper Elmer C. Barnett Memorial Highway,Miami-Dade,Not Found,Not Found,,,,,,,,,,,
Trooper Chelsea Richard,Trooper Chelsea Richard Memorial Highway,Marion,Not Found,Not Found,,,,,,,,,,,
Trooper Milan D. Hendrix,Trooper Milan D. Hendrix Memorial Highway,Escambia,Not Found,Not Found,,,,,,,,,,,
Officer Lance Christian Whitaker,Officer Lance Christian Whitaker Highway,Duval,Not Found,Not Found,,,,,,,,,,,
A.B. Michael,A.B. Michael Bridges,Indian River,https://en.wikipedia.org/wiki/Michael_B._Jordan,Found,"Michael B. Jordan is an American actor and producer born on February 9, 1987, in Santa Ana, California. He rose to prominence for his roles in films like Fruitvale Station (2013), Creed (2015), and Black Panther (2018), earning critical acclaim and multiple awards. Known for his collaborations with director Ryan Coogler, Jordan has become one of Hollywood’s leading actors, also producing projects through his company, Outlier Society. His work spans drama, action, and superhero genres, solidifying his influence in modern cinema and advocacy for diversity in filmmaking.","['Newark Arts High School', 'No formal college degree listed']",1987-02-09,,"Santa Ana, California, United States",not found,male,yes,no,no,no
Archibald Johns Thomas,Archibald Johns Thomas Bridge,Bradford,https://en.wikipedia.org/wiki/Archibald_Thomas_Robertson,Found,"Archibald Thomas Robertson (1863–1934) was a prominent American Baptist scholar, theologian, and educator. He is best known for his extensive work in New Testament Greek and his influential Word Pictures in the New Testament, a six-volume commentary. Robertson served as a professor at the Southern Baptist Theological Seminary in Louisville, Kentucky, for over 40 years, shaping generations of biblical scholars. His contributions to biblical studies and Greek linguistics remain widely respected in theological academia.","['Wake Forest College, BA', 'Southern Baptist Theological Seminary, Th.M.', 'University of Berlin, postgraduate studies']",1863-11-06,1934-09-24,"Chatham County, North Carolina, USA","Louisville, Kentucky, USA",male,no,no,no,no
Austin D. Gay,Austin D. Gay Memorial Highway,Columbia,Not Found,Not Found,,,,,,,,,,,
Chief Lynne Nungesser,Deputy Chief Lynne Nungesser Memorial Highway,Brevard,Not Found,Not Found,,,,,,,,,,,
Donald Ray Cook,Deputy Donald Ray Cook Memorial Highway,Escambia,https://en.wikipedia.org/wiki/USS_Donald_Cook,Found,"The provided content describes the USS Donald Cook, a U.S. Navy guided-missile destroyer named in honor of Marine Colonel Donald Gilbert Cook (1934–1967), who posthumously received the Medal of Honor for his bravery as a POW during the Vietnam War. Born in Brooklyn, New York, Cook served in the Marine Corps and was captured in 1964, enduring harsh conditions while refusing early release to protect fellow prisoners. His sacrifice and leadership under extreme duress became a symbol of military integrity and resilience. The USS Donald Cook (DDG-75), commissioned in 1998, continues his legacy as part of the Arleigh Burke-class destroyers, actively deployed in global operations including NATO missions and Black Sea patrols.",,1934-08-09,1967-12-08,"Brooklyn, New York, United States","Vinh, North Vietnam (present-day Vietnam)",male,no,no,yes,no
Matt Miller,Deputy Matt Miller Memorial Boulevard,Seminole,https://en.wikipedia.org/wiki/Matt_Miller,Found,"Matthew Miller is a name associated with multiple individuals across different fields. In sports, one notable Matt Miller is a former American football defensive end who played for the San Francisco 49ers and Denver Broncos in the NFL. Another Matt Miller is recognized in arts and entertainment, though specific achievements are not detailed in the provided content. The available information does not include birth, death, or detailed biographical data for any specific individual named Matthew Miller.",,,,not found,not found,male,yes,no,no,no
David Anthony Abella,Deputy Sheriff David Anthony Abella Memorial Highway,Hillsborough,Not Found,Not Found,,,,,,,,,,,
Harriet Tubman,Harriet Tubman Highway/U.S. 1/S.R. 5,Miami-Dade,https://en.wikipedia.org/wiki/Harriet_Tubman,Found,"Harriet Tubman was born into slavery around 1822 in Dorchester County, Maryland, and died on March 10, 1913, in Auburn, New York. She became one of the most prominent abolitionists and conductors of the Underground Railroad, leading over 70 enslaved people to freedom through a network of safe houses and secret routes. Nicknamed 'Moses,' she also served as a scout, spy, and nurse for the Union Army during the American Civil War, advocating for emancipation and women's suffrage. Tubman’s courage and leadership made her an enduring symbol of resistance against slavery and a key figure in American history.",,1822,1913-03-10,"Dorchester County, Maryland, United States","Auburn, New York, United States",female,no,yes,yes,no
J.D. Turner,J.D. Turner Highway,Multiple Counties,https://en.wikipedia.org/wiki/J._M._W._Turner,Found,"Joseph Mallord William Turner (1775–1851) was an English Romantic painter, printmaker, and watercolorist known for his expressive colorizations, imaginative landscapes, and turbulent marine scenes. Born in London, he entered the Royal Academy of Arts at age 14 and became one of Britain’s most celebrated artists, often called 'the painter of light' for his innovative use of luminosity. His career spanned over six decades, producing over 550 oil paintings and 2,000 watercolors, including iconic works like The Fighting Temeraire and The Slave Ship. Turner’s influence extended beyond his lifetime, shaping modern art movements like Impressionism and leaving a lasting legacy as a pioneer of atmospheric and emotional landscape painting.","['Royal Academy of Arts (admitted 1789, enrolled 1790)']",1775-04-23,1851-12-19,"Covent Garden, London, England","Chelsea, London, England",male,no,no,no,no
John B. Coxwell,John B. Coxwell Memorial Highway,Duval,Not Found,Not Found,,,,,,,,,,,
John C. Gainous,John C. Gainous Memorial Highway,Gulf,Not Found,Not Found,,,,,,,,,,,
Joshua S. Montaad,Joshua S. Montaad Memorial Highway,Taylor,Not Found,Not Found,,,,,,,,,,,
Master Police Officer Lois Marrero,Master Police Officer Lois Marrero Memorial Highway,Hillsborough,Not Found,Not Found,,,,,,,,,,,
Phoebe Jonchuck,Phoebe Jonchuck Memorial Bridge,Pinellas,Not Found,Not Found,,,,,,,,,,,
Purple Heart,Purple Heart Memorial Highway,Multiple Counties,https://en.wikipedia.org/wiki/Purple_Heart,Found,"The Purple Heart is a United States military decoration awarded to those wounded or killed while serving. Established by General George Washington in 1782 as the Badge of Military Merit, it was revived in 1932 to honor combat-injured service members. It is the oldest military award still given to U.S. military personnel today. The medal features a purple heart-shaped design with a profile of Washington and is presented by the President’s name.",,,,not found,not found,not found,no,no,yes,no
Rosa Maria Plasencia,Rosa Maria Plasencia Way,Miami-Dade,Not Found,Not Found,,,,,,,,,,,
"Slaughter, Read, Ramirez, Lindsey","Slaughter, Read, Ramirez, Lindsey Memorial Highway",Gilchrist,Not Found,Not Found,,,,,,,,,,,
Trooper Joseph Bullock,Trooper Joseph Bullock Memorial Highway,Martin,Not Found,Not Found,,,,,,,,,,,
Wesley L. Silas,Wesley L. Silas Memorial Highway,Suwannee,Not Found,Not Found,,,,,,,,,,,
Willis V. Rowan,Willis V. Rowan Memorial Highway,Gulf,Not Found,Not Found,,,,,,,,,,,
Olympian Theresa Manuel,Olympian Theresa Manuel Way,Hillsborough,https://en.wikipedia.org/wiki/Theresa_Manuel,Found,"Theresa Manuel is a notable figure primarily recognized for her contributions to athletics and coaching. Born in the 20th century, she pursued a career as an athlete before transitioning into coaching, where she made a significant impact. Her professional journey includes achievements in sports, though specific details like birth/death dates and locations are not widely documented. Manuel’s legacy is tied to her dedication to fostering athletic talent and development in her field.",,,,not found,not found,female,yes,no,no,no
Patrolman Leroy Bender,Patrolman Leroy Bender Memorial Highway,Seminole,Not Found,Not Found,,,,,,,,,,,
Officer James Ronco,Officer James Ronco Memorial Highway,Hillsborough,Not Found,Not Found,,,,,,,,,,,
Coach Jeff Sommer,Coach Jeff Sommer Memorial Highway,Lee,Not Found,Not Found,,,,,,,,,,,
Corporal Joseph R. Bertrand,Corporal Joseph R. Bertrand Memorial Highway,Lee,Not Found,Not Found,,,,,,,,,,,
