name,wikipedia_url,Does_Sam_Think_is_real,match_confidence,original_designation,OBJECTID,status,validated,validation_notes,summary,education,dob,dod,place_of_birth,place_of_death,gender,involved_in_sports,involved_in_politics,involved_in_military,involved_in_music
Robert L. F. Sikes,https://en.wikipedia.org/wiki/Bob_Sikes,yes,75,,,Found,TRUE,seq=11.9; human:+40; fl:+10; us:+5,"Bob Sikes was an American politician born on August 14, 1906, who served as a Democratic member of the U.S. House of Representatives from Florida for over four decades (1941–1944 and 1945–1979). He temporarily left Congress to serve in the U.S. Army during World War II, where he attained the rank of lieutenant colonel. Known for his conservative stance, Sikes was later reprimanded by the House in 1976 for financial misconduct involving improper use of campaign funds. He died on September 29, 1994, leaving a complex legacy as one of Florida’s longest-serving congressmen and a figure marked by both political influence and controversy.",,1906-08-14,1994-09-29,"Isola, Mississippi, United States","Crestview, Florida, United States",male,no,yes,yes,no
Danny Wuerffel,https://en.wikipedia.org/wiki/Danny_Wuerffel,yes,75,,,Found,TRUE,seq=20.0; human:+40; fl:+10; us:+5,"Danny Wuerffel was born on May 27, 1974, in Pensacola, Florida, and is a former American football quarterback best known for his collegiate career at the University of Florida. He won the Heisman Trophy in 1996 and led the Florida Gators to their first national championship that same year under coach Steve Spurrier. Wuerffel played professionally in the NFL and NFL Europe before transitioning to coaching and philanthropic work, founding the Desire Street Ministries. His legacy endures as one of the most decorated quarterbacks in college football history, celebrated for both his athletic achievements and community service efforts.","[""University of Florida, Bachelor's Degree in Public Relations (1997)"", 'Fort Walton Beach High School']",1974-05-27,,"Pensacola, Florida, United States",not found,male,yes,no,no,no
Ernest Kouwen‐Hoven,https://en.wikipedia.org/wiki/Ernest_Kouwen-Hoven,yes,75,,,Found,TRUE,seq=18.9; human:+40; fl:+10; us:+5,"Ernest Kouwen-Hoven was a Dutch fencer who competed in the early 20th century. He participated in the 1908 Summer Olympics in London, representing the Netherlands in individual épée and foil events. Though his exact birth and death dates are not widely documented, his contributions to fencing mark him as a notable athlete in Dutch sports history. Kouwen-Hoven's Olympic appearance remains his most recognized achievement in competitive fencing.",,,,not found,not found,male,yes,no,no,no
Hamilton Disston,https://en.wikipedia.org/wiki/Hamilton_Disston,yes,75,,,Found,TRUE,seq=20.0; human:+40; fl:+10; us:+5,"Hamilton Disston was an American industrialist and real estate developer born on August 23, 1844, in Philadelphia, Pennsylvania. He inherited and expanded his family’s saw manufacturing business, the Keystone Saw Works, becoming one of the largest saw producers in the world. His most notable achievement was the Disston Land Purchase in 1881, where he bought 4 million acres of Florida swampland, draining and developing it to spur the state’s growth and railroad expansion. Disston died by suicide on April 30, 1896, following financial setbacks and personal disappointments, leaving a complex legacy in Florida’s development history.",,1844-08-23,1896-04-30,"Philadelphia, Pennsylvania, United States","Philadelphia, Pennsylvania, United States",male,no,yes,no,no
Douglas Stenstrom,https://en.wikipedia.org/wiki/Douglas_Stenstrom,yes,75,,,Found,TRUE,seq=20.0; human:+40; fl:+10; us:+5,"Douglas Stenstrom was a notable figure whose biographical details are sparsely documented in available sources. No specific birth or death dates, professions, or notable achievements are provided in the referenced content. The lack of information makes it difficult to ascertain his historical significance or contributions. Further research would be required to provide a comprehensive overview of his life and work.",,,,not found,not found,male,no,no,no,no
Anne Ackerman,https://en.wikipedia.org/wiki/Annie_Ackerman,yes,75,,,Found,TRUE,seq=19.3; human:+40; fl:+10; us:+5,"Annie Ackerman was an American political activist and community leader known for her influential work in Florida during the early to mid-20th century. Born in 1880, she became a prominent figure in local politics, advocating for civic improvements and women's rights. Ackerman's efforts contributed significantly to the development of Miami Beach and its political landscape. She passed away in 1961, leaving a legacy as one of Florida's notable early female leaders.",,1880-01-01,1961-01-01,not found,"Miami Beach, Florida, United States",female,no,yes,no,no
Athalie Range,https://en.wikipedia.org/wiki/M._Athalie_Range,yes,75,,,Found,TRUE,seq=17.9; human:+40; fl:+10; us:+5,"M. Athalie Range was a pioneering African American civil rights activist and politician born on August 15, 1915, in Key West, Florida. She became the first Black woman to serve on the Miami City Commission in 1965, breaking racial and gender barriers in local government. Range was also a prominent educator and community organizer, advocating for school desegregation and improved public services in Miami’s Black neighborhoods. She passed away on May 14, 2006, leaving a legacy as a trailblazer in Florida’s political and social justice history.","[""Florida Agricultural and Mechanical University (FAMU), Bachelor's Degree"", 'Additional studies in education and community leadership']",1915-08-15,2006-05-14,"Key West, Florida, United States","Miami, Florida, United States",female,no,yes,no,no
Carrie P. Meek,https://en.wikipedia.org/wiki/Carrie_Meek,yes,75,,,Found,TRUE,seq=17.6; human:+40; fl:+10; us:+5,"Carrie Meek was born on April 29, 1926, in Tallahassee, Florida, and became a pioneering figure in American politics as the first Black Floridian elected to the U.S. Congress since Reconstruction. A dedicated educator, she taught at institutions like Florida A&M University and Miami-Dade Community College before transitioning to public service. Meek served in the Florida Legislature (1979–1982) and later in the U.S. House of Representatives (1993–2003), where she championed civil rights, education, and economic development for marginalized communities. She passed away on November 28, 2021, leaving a legacy as a trailblazer for African American women in politics and a tireless advocate for social justice.","['Florida A&M University, Bachelor of Science', 'University of Michigan, Master of Science in Physical Education and Public Health']",1926-04-29,2021-11-28,"Tallahassee, Florida, United States","Miami, Florida, United States",female,no,yes,no,no
Elaine Gordon,https://en.wikipedia.org/wiki/Elaine_Gordon,yes,75,,,Found,TRUE,seq=20.0; human:+40; fl:+10; us:+5,"Elaine Gordon was a notable American politician who served in the Florida House of Representatives from 1992 to 2000. Born in 1943, she became the first woman to represent her district and was recognized for her advocacy in education and healthcare reform. Gordon was also a strong proponent of environmental conservation and women's rights during her tenure. Her political career left a lasting impact on Florida's legislative landscape, particularly in Miami-Dade County.",,1943-01-01,,not found,not found,female,no,yes,no,no
Gwen Cherry,https://en.wikipedia.org/wiki/Gwen_Cherry,yes,75,,,Found,TRUE,seq=20.0; human:+40; fl:+10; us:+5,"Gwen Cherry was an American politician born on January 23, 1923, in Miami, Florida. She became the first Black woman elected to the Florida Legislature in 1970, serving in the House of Representatives until 1972. Cherry was also a civil rights activist and educator, advocating for racial equality and social justice throughout her career. She passed away on February 16, 1979, leaving a legacy as a trailblazer in Florida politics and civil rights history.","[""Florida Agricultural and Mechanical University (FAMU), Bachelor's Degree"", ""Florida State University, Master's Degree in Education""]",1923-01-23,1979-02-16,"Miami, Florida, United States","Miami, Florida, United States",female,no,yes,no,no
Julia Tuttle,https://en.wikipedia.org/wiki/Julia_Tuttle,yes,75,,,Found,TRUE,seq=20.0; human:+40; fl:+10; us:+5,"Julia Tuttle (1849–1898) was an American businesswoman and landowner known as the 'Mother of Miami' for her pivotal role in founding the city. Born in Cleveland, Ohio, she moved to South Florida in 1891, where she convinced railroad tycoon Henry Flagler to extend his railway to the area, spurring Miami's development. Tuttle owned significant landholdings along the Miami River, which she donated to facilitate the city's growth. She died in 1898, shortly after Miami was officially incorporated, leaving a lasting legacy in Florida's history.",,1849-01-01,1898-09-14,"Cleveland, Ohio, United States","Miami, Florida, United States",female,no,no,no,no
Manolo Reyes,https://en.wikipedia.org/wiki/Manolo_Reyes,yes,75,,,Found,TRUE,seq=20.0; human:+40; fl:+10; us:+5,"Manolo Reyes was a prominent Spanish-language news anchor known for his work in the United States media market. Born in Spain, he became a respected journalist, particularly in the Hispanic community, through his roles at major networks like Univision. Reyes was also recognized for his extensive community work, earning awards for his contributions to civic engagement and advocacy. He passed away in 2021, leaving behind a legacy as a pioneering figure in Spanish-language broadcasting in America.",,,2021-01-01,Spain,not found,male,no,no,no,no
Dante B. Fascell,https://en.wikipedia.org/wiki/Dante_Fascell,yes,75,,,Found,TRUE,seq=17.9; human:+40; fl:+10; us:+5,"Dante Bruno Fascell was born on March 9, 1917, and died on November 2, 1998. He was a prominent American politician who served as a Democratic member of the U.S. House of Representatives from Florida for nearly 40 years (1955–1993). Known for his work on foreign policy, he chaired the House Foreign Affairs Committee and played a key role in shaping Cold War-era legislation. Fascell's career was marked by his advocacy for human rights and his influence in international relations during a pivotal period in U.S. history.","['University of Miami, LL.B. (1938)', 'University of Florida, B.A. (1937)']",1917-03-09,1998-11-02,"West Palm Beach, Florida, United States","Miami, Florida, United States",male,no,yes,yes,no
George Crady,https://en.wikipedia.org/wiki/George_Crady,yes,75,,,Found,TRUE,seq=20.0; human:+40; fl:+10; us:+5,"George Crady was an American politician who served in the Florida Legislature during the mid-20th century. Known for his contributions to state governance, he held positions in both the Florida House of Representatives and the Florida Senate. His career included advocacy for local and regional issues, though specific legislative achievements remain less documented. Crady's political tenure reflects his engagement in Florida's civic development during his era.",,,,not found,not found,male,no,yes,no,no
Dan McCarty,https://en.wikipedia.org/wiki/Daniel_T._McCarty,yes,74.7,,,Found,TRUE,seq=15.7; human:+40; fl:+10; us:+5,"Daniel T. McCarty was born on December 24, 1912, in Fort Pierce, Florida, and died in office on September 9, 1953. He served as the 31st Governor of Florida from 1953 until his death, succeeding Fuller Warren after a contentious election. A Democrat, McCarty was known for his progressive policies, including support for education reform and civil rights during the early 1950s. His untimely death at age 40 cut short a promising political career, leaving a legacy as one of Florida’s youngest governors and a champion of racial integration in public schools.","['University of Florida', 'Bachelor of Science in Agriculture, 1936', 'University of Florida College of Law', 'LL.B. (Bachelor of Laws), 1939']",1912-12-24,1953-09-09,"Fort Pierce, Florida, United States","Tallahassee, Florida, United States",male,no,yes,yes,no
Irlo Bronson,https://en.wikipedia.org/wiki/Irlo_Bronson_Sr.,yes,74.1,,,Found,TRUE,seq=17.1; last-mismatch:-4; human:+40; fl:+10; us:+5,"Irlo Bronson Sr. was an American businessman and politician born on December 25, 1889. He is best known for his role in the development of Kissimmee, Florida, where he served as mayor and contributed significantly to the city’s growth. Bronson was also a prominent citrus grower and land developer, shaping Central Florida’s economic landscape during the early-to-mid 20th century. He passed away on July 12, 1967, leaving a legacy in local governance and regional development.",,1889-12-25,1967-07-12,not found,"Kissimmee, Florida, United States",male,no,yes,no,no
Senator Sherman Winn,https://en.wikipedia.org/wiki/Sherman_S._Winn,yes,72.7,,,Found,TRUE,seq=13.7; human:+40; fl:+10; us:+5,"Sherman S. Winn was an American figure whose biographical details are sparsely documented in available sources. No specific birth or death dates, notable achievements, or professional roles are clearly outlined in the provided content. The lack of detailed information makes it difficult to ascertain his historical significance or primary contributions. Further research would be required to provide a comprehensive overview of his life and work.",,,,not found,not found,male,no,no,no,no
R. Stanley Adams,https://en.wikipedia.org/wiki/Frank_Adams_%28Florida_politician%29,yes,72.3,,,Found,TRUE,seq=13.3; human:+40; fl:+10; us:+5,"Frank Adams was a Florida politician who served in the Florida House of Representatives during the early 20th century. Born in 1871, he became known for his advocacy in local governance and legislative contributions to the state. Adams was a member of the Democratic Party and played a role in shaping Florida's political landscape during his tenure. His exact death date and many personal details remain undocumented in widely available sources.",,1871-01-01,,not found,not found,male,no,yes,no,no
Governor Mixson,https://en.wikipedia.org/wiki/Wayne_Mixson,yes,70.9,,,Found,TRUE,seq=11.9; human:+40; fl:+10; us:+5,"Wayne Mixson was born on June 16, 1922, in New Brockton, Alabama, and passed away on July 10, 2020. He was an American politician who served as the 39th Governor of Florida for three days in January 1987, following the resignation of Governor Bob Graham. Prior to this, Mixson held roles as a state legislator in the Florida House of Representatives (1967–1972) and as Lieutenant Governor of Florida (1979–1987). Known for his agricultural advocacy, he was also a prominent leader in the Florida Farm Bureau and a World War II veteran in the U.S. Army Air Forces.","['University of Florida, Bachelor of Science in Agriculture (1949)', 'University of Florida, Juris Doctor (1951)']",1922-06-16,2020-07-10,"New Brockton, Alabama, United States","Jacksonville, Florida, United States",male,no,yes,yes,no
Verle Allyn Pope,https://en.wikipedia.org/wiki/Verle_A._Pope,yes,70,,,Found,TRUE,seq=16.6; human:+40; fl:+10,"Verle A. Pope was an American politician born on March 25, 1930, in Utah, USA. He served as a member of the Utah State Senate from 1977 to 1994, representing the Republican Party. Pope was known for his conservative stance and contributions to Utah's legislative policies during his tenure. He passed away on October 11, 2015, leaving behind a legacy in Utah's political history.",,1930-03-25,2015-10-11,"Provo, Utah, United States","Provo, Utah, United States",male,no,yes,no,no
Campbell Thornal,https://en.wikipedia.org/wiki/B._Campbell_Thornal,yes,70,,,Found,TRUE,seq=18.3; human:+40; fl:+10,"B. Campbell Thornal was a notable figure whose specific birth and death dates are not documented in available sources. He is primarily recognized for his contributions, though the exact nature of his achievements remains unclear due to limited biographical information. His profession and historical significance are not well-detailed in public records. Further research would be required to fully understand his life and impact.",,,,not found,not found,male,no,no,no,no
John F. Cosgrove,https://en.wikipedia.org/wiki/John_F._Cosgrove,yes,70,,,Found,TRUE,seq=20.0; human:+40; fl:+10,"John F. Cosgrove was an American politician and lawyer. He served as a member of the New York State Assembly, representing the 1st district from 1907 to 1912. Cosgrove was also involved in local government and civic activities in Suffolk County, New York. His contributions primarily focused on legislative and community development during the early 20th century.",,,,not found,not found,male,no,yes,no,no
Representative Bernie C. Papy,https://en.wikipedia.org/wiki/Bernie_Papy,yes,70,,,Found,TRUE,seq=11.0; human:+40; fl:+10; us:+5,"Bernie Papy was a notable figure whose life details are sparsely documented in available sources. No specific birth or death dates, professions, or notable achievements are widely recorded about him. The lack of comprehensive information makes it difficult to ascertain his historical significance or contributions. Further research would be required to provide a complete biographical overview.",,,,not found,not found,male,no,no,no,no
Father Gerard Jean‐Juste,https://en.wikipedia.org/wiki/G%C3%A9rard_Jean-Juste,yes,68.6,,,Found,TRUE,seq=14.6; human:+40; fl:+10,"Gérard Jean-Juste was a Haitian Roman Catholic priest and prominent political activist born on February 7, 1946. Known for his advocacy for democracy and human rights, he became a vocal opponent of Haiti's interim government under Gérard Latortue in the early 2000s. Jean-Juste was imprisoned multiple times for his activism, gaining international attention for his struggles while battling leukemia. He passed away on May 27, 2009, leaving a legacy as a symbol of resistance and social justice in Haiti.","['Seminary studies (Roman Catholic priesthood)', 'University of Port-au-Prince (theology)']",1946-02-07,2009-05-27,"Cavaillon, Sud, Haiti","Miami, Florida, United States",male,no,yes,no,no
Bob Graham/Sunshine Skyway,https://en.wikipedia.org/wiki/Bob_Graham,yes,68.1,,,Found,TRUE,seq=11.1; last-mismatch:-4; human:+40; fl:+10; us:+5,"Bob Graham was born on November 9, 1936, in Coral Gables, Florida, and is a prominent American politician. He served as the 38th Governor of Florida from 1979 to 1987 and later as a U.S. Senator from Florida from 1987 to 2005. Known for his 'workdays' initiative, where he immersed himself in various jobs to understand constituents' lives, Graham also ran for the Democratic nomination in the 2004 presidential election. His political career spanned over three decades, leaving a lasting impact on Florida's governance and national policy discussions.","['University of Florida, Bachelor of Science in Political Science (1959)', 'Harvard Law School, Juris Doctor (1962)']",1936-11-09,,"Coral Gables, Florida, United States",not found,male,no,yes,no,no
CK Steele,https://en.wikipedia.org/wiki/Charles_Kenzie_Steele,yes,66,,,Found,TRUE,seq=12.0; human:+40; fl:+10,"Charles Kenzie Steele (1914–1980) was an American civil rights leader and pastor who played a pivotal role in the Tallahassee bus boycott of 1956. As president of the Tallahassee chapter of the NAACP and a close associate of Martin Luther King Jr., he helped organize nonviolent protests against racial segregation. Steele also served as the first vice president of the Southern Christian Leadership Conference (SCLC), advocating for equality and justice. His leadership and activism left a lasting impact on the Civil Rights Movement in the United States.","['Morehouse College, Bachelor of Arts', 'School of Theology at Boston University, Master of Divinity']",1914-01-01,1980-09-19,"Bluefield, West Virginia, United States","Tallahassee, Florida, United States",male,no,yes,no,no
Harriet Tubman,https://en.wikipedia.org/wiki/Harriet_Tubman,yes,55,,,Found,TRUE,seq=20.0; human:+40; fl-miss:-10; us:+5,"Harriet Tubman was an American abolitionist and political activist born into slavery around 1822 in Dorchester County, Maryland. She escaped slavery in 1849 and subsequently made about thirteen missions to rescue approximately seventy enslaved people using the Underground Railroad, earning the nickname 'Moses.' During the American Civil War, she served as an armed scout and spy for the Union Army, becoming the first woman to lead an armed expedition. Tubman died on March 10, 1913, in Auburn, New York, leaving a legacy as one of the most courageous figures in the fight against slavery and for civil rights.",,1822-01-01,1913-03-10,"Dorchester County, Maryland, United States","Auburn, New York, United States",female,no,yes,yes,no
Kennedy Space Center,https://en.wikipedia.org/wiki/Colin_Woodell,yes,55,,,Found,TRUE,seq=1.2; last-mismatch:-4; human:+40; fl:+10; us:+5,"Colin Woodell is an American actor born on December 20, 1991, known for his roles in film and television. He gained recognition for his performance as Winslow Fegley in The Maze Runner sequel Death Cure (2018) and as Ryan in the horror film Unfriended: Dark Web (2018). Woodell also starred as Tommy Miller in the Netflix series The Society (2019) and appeared in X-Men: The New Mutants (2020). His work spans action, horror, and drama genres, establishing him as a versatile emerging talent in Hollywood.","['University of Dayton', 'Bachelor of Fine Arts in Acting']",1991-12-20,,"San Francisco, California, United States of America",not found,male,no,no,no,no
Jim Mandich,https://en.wikipedia.org/wiki/Jim_Mandich,yes,55,,,Found,TRUE,seq=20.0; human:+40; fl-miss:-10; us:+5,"Jim Mandich was an American professional football player born on July 30, 1948, and passed away on April 26, 2011. He played as a tight end in the NFL, most notably for the Miami Dolphins during their back-to-back Super Bowl victories in 1972 and 1973, including the historic undefeated 1972 season. Prior to his NFL career, he played college football at the University of Michigan, where he earned All-American honors. Mandich later became a sports radio host in Miami, leaving a lasting legacy in both football and broadcasting.",['University of Michigan'],1948-07-30,2011-04-26,"Cleveland, Ohio, United States","Miami, Florida, United States",male,yes,no,no,no
Christa McAuliffe,https://en.wikipedia.org/wiki/Christa_McAuliffe,yes,55,,,Found,TRUE,seq=20.0; human:+40; fl-miss:-10; us:+5,"Christa McAuliffe was born on September 2, 1948, in Boston, Massachusetts, and became a high school social studies teacher. She was selected from over 11,000 applicants to participate in NASA's Teacher in Space Project, aiming to be the first civilian educator to fly in space. McAuliffe tragically died on January 28, 1986, during the Space Shuttle Challenger disaster, which exploded 73 seconds after liftoff. Her legacy endures as a symbol of educational inspiration and the risks of space exploration, honored through scholarships, schools, and planetary features named after her.","['Framingham State College, Bachelor of Arts in Education and History (1970)', 'Bowie State University, Master of Arts in Education (1978)']",1948-09-02,1986-01-28,"Boston, Massachusetts, United States","Cape Canaveral, Florida, United States",female,no,no,no,no
Betty Pino,https://en.wikipedia.org/wiki/Betty_Pino,yes,50,,,Found,TRUE,seq=20.0; human:+40; fl-miss:-10,"Betty Pino was a notable figure whose life details remain largely undocumented in widely available sources. She is primarily recognized posthumously, with limited public records about her birth, career, or major achievements. The exact nature of her profession or contributions is unclear, though references suggest she may have had regional or cultural significance. Her death is recorded, but specific dates and biographical context are sparse in accessible references.",,,,not found,not found,female,no,no,no,no
St. Elmo W. Acosta,https://en.wikipedia.org/wiki/St._Elmo_W._Acosta,yes,50,,,Found,TRUE,seq=20.0; human:+40; fl-miss:-10,"St. Elmo W. Acosta was a notable figure whose life details are sparsely documented in available sources. His birth and death dates remain unverified, limiting historical context about his timeline. There is no clear record of his profession or notable achievements, making his historical significance ambiguous. The lack of detailed biographical information makes it difficult to assess his impact or contributions.",,,,not found,not found,male,no,no,no,no
Merrill P. Barber,https://en.wikipedia.org/wiki/Merrill_P._Barber,yes,50,,,Found,TRUE,seq=20.0; human:+40; fl-miss:-10,"Merrill P. Barber was an American politician and businessman best known for his contributions to the state of Arizona. Born in 1859, he played a significant role in the early development and governance of the territory. Barber served as a member of the Arizona Territorial Legislature and was involved in various civic and economic initiatives. His legacy includes efforts to promote infrastructure and education in the region during the late 19th and early 20th centuries.",,1859-01-01,,not found,not found,male,no,yes,no,no
Carlos Arboleya,https://en.wikipedia.org/wiki/Carlos_Arboleya,yes,50,,,Found,TRUE,seq=20.0; human:+40; fl-miss:-10,"Carlos Arboleya was a Cuban cricketer known for representing the Cuban national team during the early 20th century. He played a key role in Cuba's limited Test cricket history, participating in matches against international opponents. Though details about his personal life are scarce, his contributions remain notable in Cuban sports history. Arboleya is remembered as one of the few Cuban athletes to compete at the Test cricket level during his era.",,,,not found,not found,male,yes,no,no,no
Jean‐Jacques Dessalines,https://en.wikipedia.org/wiki/Jean-Jacques_Dessalines,yes,50,,,Found,TRUE,seq=19.1; human:+40; fl-miss:-10,"Jean-Jacques Dessalines was born around 1758 in Saint-Domingue (modern-day Haiti) and died on 1806-10-17. He was a key leader in the Haitian Revolution, which successfully ended slavery and French colonial rule in Haiti. Dessalines declared Haiti's independence on January 1, 1804, and became its first ruler, initially as Governor-General and later as Emperor Jacques I. His leadership established Haiti as the first Black-led republic in the world, marking a pivotal moment in global history and anti-colonial struggles.",,1758-01-01,1806-10-17,"Saint-Domingue, Haiti","Port-au-Prince, Haiti",male,no,yes,yes,no
Ramon Puig,https://en.wikipedia.org/wiki/Ram%C3%B3n_Puig,yes,50,,,Found,TRUE,seq=18.0; human:+40; fl-miss:-10,"Ramón Puig was a notable figure whose specific life details are not well-documented in the provided content. No birth or death dates, profession, or major achievements are explicitly mentioned in the available information. The Wikipedia page lacks substantial biographical data, making it difficult to ascertain his historical significance or contributions. Further research would be required to provide a comprehensive summary of his life and work.",,,,not found,not found,male,no,no,no,no
Saint Marcellin Champagnat,https://en.wikipedia.org/wiki/Marcellin_Champagnat,yes,50,,,Found,TRUE,seq=17.4; human:+40; fl-miss:-10,"Marcellin Champagnat was a French Catholic priest born on May 20, 1789, in Le Rosey, France. He is best known for founding the Marist Brothers, a religious congregation dedicated to educating underprivileged youth, particularly in rural areas. Champagnat emphasized practical education combined with spiritual formation, leaving a lasting impact on Catholic education worldwide. He died on June 6, 1840, in Saint-Chamond, France, and was later canonized as a saint by the Catholic Church in 1999.","['Seminary of Saint-Irénée, Lyon', 'Seminary of Verrières']",1789-05-20,1840-06-06,"Le Rosey, Loire, France","Saint-Chamond, Loire, France",male,no,no,no,no
Raeburn C. Horne,https://en.wikipedia.org/wiki/Raeburn_C._Horne,yes,45,,,Found,TRUE,seq=20.0; human:+40; fl:+10; roman:-25,"Raeburn C. Horne was an American figure whose specific life details are minimally documented in available sources. No notable achievements, profession, or historical significance are clearly outlined in the provided content. Birth and death dates remain unverified due to lack of information. Further research would be required to accurately summarize his life and contributions.",,,,not found,not found,male,no,no,no,no
