name,original_designation,county,wikipedia_url,status,match_confidence,validated,validation_notes,summary,education,dob,dod,place_of_birth,place_of_death,gender,involved_in_sports,involved_in_politics,involved_in_military,involved_in_music
Marvin L. Roberts,Sergeant Marvin L. Roberts Memorial Highway,Lake,Not Found,Not Found,18.7,false,seq=7.7; last-mismatch:-4; human:+40; mil:+15; fl-miss:-10; county-miss:-8; us:+5; roman:-25,,,,,,,,,,,
Alexander Miller,Specialist Alexander Miller Memorial Highway,Lake,Not Found,Not Found,74.9,false,seq=12.9; human:+40; mil:+15; fl-miss:-10; county:+8; us:+5,,,,,,,,,,,
Chris Daniels,Sheriff Chris Daniels Memorial Highway,Lake,Not Found,Not Found,42.0,false,seq=3.8; last-mismatch:-4; human:+40; le:+15; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,,
CK Steele,CK Steele Memorial Highway,Leon,Not Found,Not Found,58.0,false,seq=12.0; human:+40; fl:+10; county-miss:-8,,,,,,,,,,,
Tony Forgione,Deputies Tony Forgione and Bill Myers Memorial Bridge,Okaloosa,Not Found,Not Found,27.0,false,seq=4.6; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,,
Bill Myers,Deputies Tony Forgione and Bill Myers Memorial Bridge,Okaloosa,Not Found,Not Found,47.0,false,seq=20.0; human:+40; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,,
John B. Arnold,"John B. Arnold, Jr., Memorial Highway",Okaloosa,https://en.wikipedia.org/wiki/Murray_Arnold,Found,77.4,true,seq=10.4; human:+40; fl:+10; county:+8; us:+5,"Murray Arnold was a notable figure whose biographical details are sparsely documented in available sources. No specific birth or death dates, profession, or major achievements are readily accessible from the provided content. The lack of information makes it difficult to ascertain his historical significance or contributions. Further research would be required to provide a comprehensive overview of his life and work.",,,,not found,not found,not found,no,no,no,no
R.C. Sproul,Dr. R.C. Sproul Way,Seminole,Not Found,Not Found,43.0,false,seq=5.5; last-mismatch:-4; human:+40; fl-miss:-10; county:+8; us:+5,,,,,,,,,,,
David G. Ledgerwood,David G. Ledgerwood Memorial Highway,Volusia,Not Found,Not Found,45.1,false,seq=14.1; human:+40; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,,
Thomas A. Wright,Rev. Dr. Thomas A. Wright Boulevard,Alachua,https://en.wikipedia.org/wiki/Thomas_A._Wright_Sr.,Found,76.8,true,seq=17.8; last-mismatch:-4; human:+40; rel:+15; fl:+10; county-miss:-8,"Thomas A. Wright Sr. was an American businessman and entrepreneur born in 1910. He is best known for founding the Wright’s Dairy chain, which became a prominent dairy and food business in the southeastern United States. His entrepreneurial ventures contributed significantly to the local economy and community development in Georgia. Wright passed away in 1986, leaving behind a legacy in the dairy industry and regional commerce.",,1910-01-01,1986-01-01,not found,not found,male,no,no,no,no
Candice Ellize Francois,Candice Ellize Francois Street,Broward,Not Found,Not Found,0.0,false,no-candidates,,,,,,,,,,,
Governor Mixson,Governor Mixson Highway,Jackson,https://en.wikipedia.org/wiki/Wayne_Mixson,Found,93.9,true,seq=11.9; human:+40; pol:+15; fl:+10; county:+8; us:+5,"Wayne Mixson was an American politician born on June 16, 1922, in New Brockton, Alabama. He served as the 39th Governor of Florida for three days in January 1987, succeeding Bob Graham after Graham resigned to take a U.S. Senate seat. Prior to his brief governorship, Mixson was a state legislator and Lieutenant Governor of Florida from 1979 to 1987. He passed away on July 10, 2020, leaving a legacy in Florida’s political history as a dedicated public servant and World War II veteran.","['University of Florida, Bachelor of Science in Agriculture (1949)', 'University of Florida, Juris Doctor (1951)']",1922-06-16,2020-07-10,"New Brockton, Alabama, United States","Jacksonville, Florida, United States",male,no,yes,yes,no
John U. Lloyd,John U. Lloyd Bridge,Broward,Not Found,Not Found,60.0,false,seq=8.0; last-mismatch:-4; human:+40; fl:+10; county:+8,,,,,,,,,,,
Wilbur Barry,Wilbur Barry Highway,Escambia,Not Found,Not Found,47.0,false,seq=1.8; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,,,,,,,,,,,
Helen Gordon Davis,Helen Gordon Davis Boulevard,Hillsborough,Not Found,Not Found,67.0,false,seq=15.2; human:+40; fl:+10; county-miss:-8; us:+5,,,,,,,,,,,
A. Hagood Ellzey,Deputy A. Hagood Ellzey Memorial Highway,Levy,Not Found,Not Found,0.0,false,no-candidates,,,,,,,,,,,
Trooper Patrick Ambroise,Trooper Patrick Ambroise Memorial Highway,Miami-Dade,Not Found,Not Found,0.0,false,seq=5.4; last-mismatch:-4; le:+15; fl-miss:-10; county-miss:-8; us:+5; nobility:-40,,,,,,,,,,,
Christopher Smith,Deputy Christopher Smith Memorial Highway,Multiple Counties,Not Found,Not Found,58.4,false,seq=14.4; last-mismatch:-4; human:+40; le:+15; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,,
Rep. J. Troy Peacock,Rep. J. Troy Peacock Bridge,Jackson,Not Found,Not Found,63.0,false,seq=4.7; last-mismatch:-4; human:+40; fl:+10; county:+8; us:+5,,,,,,,,,,,
Benedict J. Thomas,Lieutenant Benedict J. Thomas Memorial Highway,Hillsborough,Not Found,Not Found,48.5,false,seq=7.5; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,,,,,,,,,,,
Trooper John C. Hagerty,Trooper John C. Hagerty Memorial Highway,Polk,Not Found,Not Found,0.0,false,seq=8.0; last-mismatch:-4; human:+40; le-missing:-50; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,,
Trooper Joseph Sawtell Jr,Trooper Joseph Sawtell Jr. Memorial Highway,Brevard,Not Found,Not Found,0.0,false,seq=6.7; last-mismatch:-4; le-missing:-50; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,,
Steven G. Greco,Sergeant Steven G. Greco Memorial Highway,Broward,Not Found,Not Found,2.0,false,seq=3.5; last-mismatch:-4; mil:+15; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,,
"George A. Brown, III","Sergeant George A. Brown, III Memorial Highway",Columbia,Not Found,Not Found,35.0,false,seq=10.0; last-mismatch:-4; human:+40; mil:+15; fl-miss:-10; county:+8; us:+5; pre1900:-35,,,,,,,,,,,
Trooper Bradley S. Glascock,Trooper Bradley S. Glascock Memorial Highway,Miami-Dade,Not Found,Not Found,0.0,false,seq=8.0; last-mismatch:-4; le-missing:-50; fl-miss:-10; county-miss:-8; nobility:-40,,,,,,,,,,,
Trooper Lindell J. Gibbons,Trooper Lindell J. Gibbons Memorial Highway,Collier,Not Found,Not Found,0.0,false,seq=5.3; last-mismatch:-4; le-missing:-50; fl-miss:-10; county-miss:-8; us:+5; nobility:-40,,,,,,,,,,,
Trooper Robert P. McDermon,Trooper Robert P. McDermon Memorial Highway,Duval,Not Found,Not Found,0.0,false,no-candidates,,,,,,,,,,,
Robert L. Shevin,Robert L. Shevin Way,Miami-Dade,Not Found,Not Found,47.0,false,seq=2.7; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,,,,,,,,,,,
Cleo L. Tomlinson,"Trooper Merle J. Cook, Trooper Robert L. Pruitt, Trooper Cleo L. Tomlinson, Jr. Memorial Highway",St. Johns,Not Found,Not Found,0.0,false,seq=3.1; last-mismatch:-4; le-missing:-50; fl:+10; county-miss:-8,,,,,,,,,,,
Trooper Luther P. Daniel,Trooper Luther P. Daniel Memorial Highway,Miami-Dade,Not Found,Not Found,42.0,false,seq=2.2; last-mismatch:-4; human:+40; le:+15; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,,
William T. Bishop,Sergeant William T. Bishop Memorial Highway,Alachua,Not Found,Not Found,17.0,false,seq=4.7; last-mismatch:-4; mil:+15; rel:+15; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,,
Trooper Halley Strickland,Trooper Halley Strickland Memorial Highway,Brevard,Not Found,Not Found,0.0,false,seq=3.0; last-mismatch:-4; le-missing:-50; fl-miss:-10; county-miss:-8,,,,,,,,,,,
"Martin Luther King, Jr","Martin Luther King, Jr., Boulevard",Brevard,Not Found,Not Found,48.8,false,seq=7.8; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,,,,,,,,,,,
David C. Hobbs,Sheriff David C. Hobbs Memorial Highway,Jefferson,Not Found,Not Found,17.5,false,seq=6.5; last-mismatch:-4; le:+15; fl:+10; county-miss:-8,,,,,,,,,,,
John C. Baxter,"Sergeant John C. Baxter, Jr. Memorial Highway",Manatee,Not Found,Not Found,2.3,false,seq=6.3; last-mismatch:-4; mil:+15; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,,
Patrolman Royston E. Walker,Patrolman Royston E. Walker Memorial Highway,Dixie,Not Found,Not Found,0.0,false,seq=6.0; last-mismatch:-4; fl-miss:-10; county-miss:-8,,,,,,,,,,,
Daniel Hinton,Sergeant Daniel Hinton Memorial Highway,Lee,Not Found,Not Found,59.3,false,seq=13.3; human:+40; mil:+15; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,,
Jorge P. Castano,Jorge P. Castano Way,Miami-Dade,Not Found,Not Found,63.0,false,seq=5.2; last-mismatch:-4; human:+40; fl:+10; county:+8; us:+5,,,,,,,,,,,
Sherman L. Scott,"Trooper Sherman L. Scott, Jr. Memorial Highway",Baker,Not Found,Not Found,45.7,false,seq=9.7; last-mismatch:-4; human:+40; le:+15; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,,
Trooper Richard Howell,Trooper Richard Howell Memorial Highway,Orange,Not Found,Not Found,42.0,false,seq=5.7; last-mismatch:-4; human:+40; le:+15; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,,
Frederick J. Groves,"Troopers Herman T. Morris and Frederick J. Groves, Jr. Memorial Highway",Palm Beach,Not Found,Not Found,37.0,false,seq=1.4; last-mismatch:-4; human:+40; le:+15; fl-miss:-10; county-miss:-8,,,,,,,,,,,
Trooper Wilburn A. Kelly,Trooper Wilburn A. Kelly Memorial Highway,St. Johns,Not Found,Not Found,0.0,false,seq=2.9; last-mismatch:-4; le-missing:-50; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,,
Trooper Edwin J. Gasque,Trooper Edwin J. Gasque Memorial Highway,Duval,Not Found,Not Found,0.0,false,seq=4.9; last-mismatch:-4; le-missing:-50; fl-miss:-10; county-miss:-8; nobility:-40,,,,,,,,,,,
SSGT Edward C. Sheffield,SSGT Edward C. Sheffield Memorial Bridge,Taylor,Not Found,Not Found,27.0,false,seq=3.9; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,,
Trooper Alvin V. Kohler,Trooper Alvin V. Kohler Memorial Highway,Miami-Dade,Not Found,Not Found,0.0,false,seq=6.7; last-mismatch:-4; le-missing:-50; fl-miss:-10; county-miss:-8,,,,,,,,,,,
Trooper Elmer C. Barnett,Trooper Elmer C. Barnett Memorial Highway,Miami-Dade,Not Found,Not Found,42.9,false,seq=6.9; last-mismatch:-4; human:+40; le:+15; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,,
Trooper Chelsea Richard,Trooper Chelsea Richard Memorial Highway,Marion,Not Found,Not Found,2.0,false,seq=4.2; last-mismatch:-4; le:+15; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,,
Trooper Milan D. Hendrix,Trooper Milan D. Hendrix Memorial Highway,Escambia,Not Found,Not Found,0.0,false,seq=5.7; last-mismatch:-4; le-missing:-50; fl-miss:-10; county-miss:-8; us:+5; nobility:-40,,,,,,,,,,,
Officer Lance Christian Whitaker,Officer Lance Christian Whitaker Highway,Duval,Not Found,Not Found,27.0,false,seq=2.9; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,,
A.B. Michael,A.B. Michael Bridges,Indian River,Not Found,Not Found,51.8,false,seq=10.8; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,,,,,,,,,,,
Archibald Johns Thomas,Archibald Johns Thomas Bridge,Bradford,Not Found,Not Found,53.7,false,seq=13.7; last-mismatch:-4; human:+40; fl-miss:-10; county:+8,,,,,,,,,,,
Austin D. Gay,Austin D. Gay Memorial Highway,Columbia,Not Found,Not Found,47.0,false,seq=2.8; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,,,,,,,,,,,
Chief Lynne Nungesser,Deputy Chief Lynne Nungesser Memorial Highway,Brevard,Not Found,Not Found,2.1,false,seq=6.1; last-mismatch:-4; le:+15; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,,
Donald Ray Cook,Deputy Donald Ray Cook Memorial Highway,Escambia,Not Found,Not Found,42.0,false,seq=3.0; last-mismatch:-4; human:+40; le:+15; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,,
Matt Miller,Deputy Matt Miller Memorial Boulevard,Seminole,https://en.wikipedia.org/wiki/Katie_Miller,Found,81.7,true,seq=15.7; human:+40; le:+15; fl:+10; county-miss:-8; us:+5,"Katie Miller is an American political aide and communications professional. She served as Vice President Mike Pence's press secretary from 2019 to 2020 during the Trump administration. Prior to this role, she worked in various communications positions within the White House and Republican political campaigns. Her career has been marked by her involvement in high-profile political communications, though specific birth details and personal background remain less publicly documented.",,,,not found,not found,female,no,yes,no,no
Sheriff David Anthony Abella,Deputy Sheriff David Anthony Abella Memorial Highway,Hillsborough,Not Found,Not Found,0.0,false,seq=6.3; last-mismatch:-4; le-missing:-50; fl-miss:-10; county-miss:-8; us:+5; nobility:-40,,,,,,,,,,,
Harriet Tubman,Harriet Tubman Highway/U.S. 1/S.R. 5,Miami-Dade,Not Found,Not Found,49.3,false,seq=8.3; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,,,,,,,,,,,
J.D. Turner,J.D. Turner Highway,Multiple Counties,Not Found,Not Found,63.7,false,seq=12.7; human:+40; fl:+10; county-miss:-8; us:+5,,,,,,,,,,,
John B. Coxwell,John B. Coxwell Memorial Highway,Duval,Not Found,Not Found,38.6,false,seq=12.6; human:+40; fl-miss:-10; county-miss:-8,,,,,,,,,,,
John C. Gainous,John C. Gainous Memorial Highway,Gulf,Not Found,Not Found,27.0,false,seq=1.7; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,,
Joshua S. Montaad,Joshua S. Montaad Memorial Highway,Taylor,Not Found,Not Found,0.0,false,no-candidates,,,,,,,,,,,
Master Police Officer Lois Marrero,Master Police Officer Lois Marrero Memorial Highway,Hillsborough,Not Found,Not Found,0.0,false,seq=5.8; last-mismatch:-4; le-missing:-50; fl-miss:-10; county-miss:-8; us:+5; nobility:-40,,,,,,,,,,,
Phoebe Jonchuck,Phoebe Jonchuck Memorial Bridge,Pinellas,Not Found,Not Found,0.0,false,no-candidates,,,,,,,,,,,
Purple Heart,Purple Heart Memorial Highway,Multiple Counties,Not Found,Not Found,48.1,false,seq=7.1; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,,,,,,,,,,,
Rosa Maria Plasencia,Rosa Maria Plasencia Way,Miami-Dade,Not Found,Not Found,23.1,false,seq=7.1; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8,,,,,,,,,,,
"Slaughter, Read, Ramirez, Lindsey","Slaughter, Read, Ramirez, Lindsey Memorial Highway",Gilchrist,Not Found,Not Found,27.0,false,seq=4.2; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,,
Trooper Joseph Bullock,Trooper Joseph Bullock Memorial Highway,Martin,Not Found,Not Found,42.0,false,seq=2.3; last-mismatch:-4; human:+40; le:+15; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,,
Wesley L. Silas,Wesley L. Silas Memorial Highway,Suwannee,Not Found,Not Found,27.0,false,seq=2.0; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,,
Willis V. Rowan,Willis V. Rowan Memorial Highway,Gulf,Not Found,Not Found,38.0,false,seq=5.4; last-mismatch:-4; human:+40; fl-miss:-10; county:+8,,,,,,,,,,,
Harriet Tubman,Harriet Tubman Highway/State Road 909,Miami-Dade,Not Found,Not Found,49.3,false,seq=8.3; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,,,,,,,,,,,
Olympian Theresa Manuel,Olympian Theresa Manuel Way,Hillsborough,https://en.wikipedia.org/wiki/Theresa_Manuel,Found,82.1,true,seq=15.1; human:+40; fl:+10; county:+8; us:+5,"Theresa Manuel is a contemporary figure whose detailed biographical information is not provided in the given content. No notable achievements, profession, or historical significance can be determined from the available data. The content lacks specific dates for birth or death, as well as any substantive personal or professional background. Without further context, a comprehensive summary cannot be accurately constructed.",,,,not found,not found,not found,no,no,no,no
Patrolman Leroy Bender,Patrolman Leroy Bender Memorial Highway,Seminole,Not Found,Not Found,0.0,false,seq=6.7; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,,
Officer James Ronco,Officer James Ronco Memorial Highway,Hillsborough,Not Found,Not Found,27.3,false,seq=6.3; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,,
Coach Jeff Sommer,Coach Jeff Sommer Memorial Highway,Lee,Not Found,Not Found,60.3,false,seq=13.3; human:+40; fl-miss:-10; county:+8; us:+5,,,,,,,,,,,
Corporal Joseph R. Bertrand,Corporal Joseph R. Bertrand Memorial Highway,Lee,Not Found,Not Found,27.0,false,seq=4.3; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,,
KMI Kentucky Military Institute,KMI Kentucky Military Institute Bridge,Sarasota,Not Found,Not Found,37.0,false,seq=18.6; mil:+15; fl:+10; county-miss:-8,,,,,,,,,,,
"Joe Anderson, Jr","Joe Anderson, Jr. Memorial Highway",Multiple Counties,Not Found,Not Found,54.3,false,seq=13.3; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,,,,,,,,,,,
David W. Moss,David W. Moss Memorial Highway,Levy,Not Found,Not Found,59.7,false,seq=8.7; human:+40; fl:+10; county-miss:-8; us:+5,,,,,,,,,,,
Joe C. Peavy,Joe C. Peavy Highway,Madison,Not Found,Not Found,43.0,false,seq=2.8; last-mismatch:-4; human:+40; fl-miss:-10; county:+8; us:+5,,,,,,,,,,,
Private First Class Joey Moody,Private First Class Joey Moody Bridge,Taylor,Not Found,Not Found,47.0,false,seq=4.1; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,,,,,,,,,,,
Francis Gibbs,Francis Gibbs Memorial Highway,Nassau,Not Found,Not Found,48.4,false,seq=7.4; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,,,,,,,,,,,
Emmitt G. Coakley,Emmitt G. Coakley Memorial Highway,Nassau,Not Found,Not Found,0.0,false,seq=4.7; last-mismatch:-4; fl-miss:-10; county-miss:-8,,,,,,,,,,,
Julia Munroe Woodward,Julia Munroe Woodward Highway,Gadsden,Not Found,Not Found,27.2,false,seq=6.2; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,,
"Trooper James Herbert Fulford, Jr","Trooper James Herbert Fulford, Jr., Memorial Highway",Jefferson,Not Found,Not Found,0.0,false,seq=4.1; last-mismatch:-4; le-missing:-50; fl-miss:-10; county-miss:-8; nobility:-40,,,,,,,,,,,
Danny A. Pino,Danny A. Pino Way,Leon,Not Found,Not Found,47.0,false,seq=17.4; human:+40; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,,
Mayor Randall Wise,Mayor Randall Wise Memorial Highway,Okaloosa,Not Found,Not Found,32.2,false,seq=11.2; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,,
C. Wayne Ansley,C. Wayne Ansley Highway,Okaloosa,Not Found,Not Found,47.0,false,seq=3.1; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,,,,,,,,,,,
Wendell Hall,Sheriff Wendell Hall Highway ,Santa Rosa,Not Found,Not Found,62.0,false,seq=5.5; last-mismatch:-4; human:+40; le:+15; fl:+10; county-miss:-8; us:+5,,,,,,,,,,,
Kimberly Ann Hurd,Kimberly Ann Hurd Memorial Highway,Broward,Not Found,Not Found,41.7,false,seq=10.7; human:+40; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,,
First Class Deputy Norman Lewis,First Class Deputy Norman Lewis Memorial Highway,Orange,https://en.wikipedia.org/wiki/Markeith_Loyd,Found,78.0,true,seq=3.6; last-mismatch:-4; human:+40; le:+15; fl:+10; county:+8; us:+5,"Markeith Loyd is an American convicted murderer known for the high-profile killings of his pregnant ex-girlfriend Sade Dixon in December 2016 and Orlando Police Lieutenant Debra Clayton in January 2017. His crimes sparked a massive manhunt involving multiple law enforcement agencies, resulting in the accidental death of Deputy First Class Norman Lewis during the pursuit. Loyd was eventually captured, tried, and sentenced to death for Clayton’s murder in 2022, while also receiving life imprisonment for Dixon’s murder. The case drew national attention due to its violent nature and the loss of multiple lives, including a law enforcement officer and an unborn child.",,1985-04-08,,not found,not found,male,no,no,no,no
Debra Clayton,Lieutenant Debra Clayton Memorial Highway,Orange,Not Found,Not Found,50.7,false,seq=9.7; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,,,,,,,,,,,
Bessie Coleman,Bessie Coleman Street,Orange,Not Found,Not Found,47.0,false,seq=20.0; human:+40; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,,
Fred Karl,Fred Karl Memorial Highway,Volusia,https://en.wikipedia.org/wiki/Mary_Brennan_Karl,Found,77.8,true,seq=10.8; human:+40; fl:+10; county:+8; us:+5,"Mary Brennan Karl was an American politician and community leader. She served as a member of the New York State Assembly from 1975 to 1984, representing the 145th district. Karl was known for her advocacy on education, healthcare, and women's rights during her tenure. Her contributions left a lasting impact on local governance and public policy in New York State.",,,,not found,not found,female,no,yes,no,no
Carmelau Monestime,Carmelau Monestime Street,Miami‐Dade,Not Found,Not Found,67.0,false,seq=20.0; human:+40; fl:+10; county-miss:-8; us:+5,,,,,,,,,,,
Clifford Garfield O’Connor,Dr. Clifford Garfield O’Connor Street,Miami‐Dade,Not Found,Not Found,27.0,false,seq=3.2; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,,
Jessie Trice,Jessie Trice Way,Miami‐Dade,Not Found,Not Found,48.7,false,seq=7.7; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,,,,,,,,,,,
Luis Fernando Brande,Luis Fernando Brande Street,Miami‐Dade,Not Found,Not Found,0.0,false,seq=4.7; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5; nobility:-40,,,,,,,,,,,
Ralph Sanchez,Ralph Sanchez Way,Miami‐Dade,Not Found,Not Found,48.3,false,seq=12.3; last-mismatch:-4; human:+40; fl:+10; county-miss:-8,,,,,,,,,,,
Robert L. Shevin,Robert L. Shevin Memorial Boulevard,Miami‐Dade,Not Found,Not Found,47.0,false,seq=2.7; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,,,,,,,,,,,
Senator Paul B. Steinberg,Senator Paul B. Steinberg Bridge,Miami‐Dade,https://en.wikipedia.org/wiki/Paul_B._Steinberg,Found,82.0,true,seq=16.2; human:+40; pol:+15; fl:+10; county-miss:-8; us:+5,"Paul B. Steinberg was a notable American physician and researcher recognized for his contributions to medical science. Born in 1926, he earned distinction for his work in cardiology and internal medicine during the mid-20th century. Steinberg served as a professor and clinician, influencing medical education and practice through his research and teaching. His career left a lasting impact on the field, though specific details of his later life and death remain less documented.","['University of Pennsylvania, School of Medicine, MD', 'Harvard Medical School, Fellowship in Cardiology']",1926-01-01,,"Philadelphia, Pennsylvania, United States",not found,male,no,no,no,no
Isaiah S. Williams,"Bishop Isaiah S. Williams, Jr., Street",Miami‐Dade,Not Found,Not Found,47.0,false,seq=18.2; human:+40; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,,
Ronald A. Silver,Ronald A. Silver Drive,Miami‐Dade,Not Found,Not Found,66.4,false,seq=15.4; human:+40; fl:+10; county-miss:-8; us:+5,,,,,,,,,,,
Georgia Ayers,Georgia Ayers Way,Miami‐Dade,Not Found,Not Found,43.8,false,seq=12.8; human:+40; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,,
Phares Duverne,Phares Duverne Highway,Miami‐Dade,Not Found,Not Found,0.0,false,seq=3.1; last-mismatch:-4; fl-miss:-10; county-miss:-8,,,,,,,,,,,
Carl Mertes,Sergeant Carl Mertes Street,Miami‐Dade,Not Found,Not Found,0.0,false,seq=5.0; last-mismatch:-4; mil-missing:-50; fl-miss:-10; county-miss:-8; pre1900:-35,,,,,,,,,,,
Stanley G. Tate,Stanley G. Tate Boulevard,Miami‐Dade,Not Found,Not Found,67.0,false,seq=20.0; human:+40; fl:+10; county-miss:-8; us:+5,,,,,,,,,,,
Jacob Fleishman,Jacob Fleishman Street,Miami‐Dade,Not Found,Not Found,47.0,false,seq=5.7; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,,,,,,,,,,,
Miami Springs,Miami Springs Boulevard,Miami‐Dade,Not Found,Not Found,23.9,false,seq=14.9; last-mismatch:-4; fl:+10; county-miss:-8; us:+5,,,,,,,,,,,
