name,original_designation,county,wikipedia_url,status,summary,education,dob,dod,place_of_birth,place_of_death,gender,involved_in_sports,involved_in_politics,involved_in_military,involved_in_music
Paul Smith,Sergeant Paul Smith Memorial Highway,Hillsborough,https://en.wikipedia.org/wiki/Paul_Smith,Found,"The name Paul Smith refers to multiple individuals across various fields including arts, military, music, sports, and academia. Notable figures include a British fashion designer known for his eponymous brand, as well as athletes in football, cricket, and American football. Others with this name have contributed to film, television, science, and military service, showcasing diverse achievements. Due to the shared name, specific birth/death dates or singular historical significance cannot be generalized without further context.",,,,not found,not found,male,yes,no,yes,yes
Marvin L. Roberts,Sergeant Marvin L. Roberts Memorial Highway,Lake,https://en.wikipedia.org/wiki/Marvin_L._Cohen,Found,"Marvin L. Cohen was a Canadian-American theoretical physicist born on March 3, 1935, known for his groundbreaking work in condensed matter physics. He was a professor at the University of California, Berkeley, and made significant contributions to the understanding of electronic properties of materials, particularly semiconductors and superconductors. Cohen received numerous accolades, including the National Medal of Science (2001) and the Buckley Prize (1979), for his pioneering research. He passed away on September 10, 2022, leaving behind a lasting legacy in the field of physics and materials science.","['McGill University, Bachelor of Science (1956)', 'University of Chicago, Master of Science (1958)', 'University of Chicago, Doctor of Philosophy in Physics (1964)']",1935-03-03,2022-09-10,"Montreal, Quebec, Canada","Berkeley, California, United States",male,no,no,no,no
Alexander Miller,Specialist Alexander Miller Memorial Highway,Lake,https://en.wikipedia.org/wiki/Alexander_Miller,Found,"Alexander Miller was a notable figure whose specific biographical details are not provided in the available content. No birth or death dates, profession, or notable achievements are mentioned in the extracted information. The Wikipedia page lacks substantial content, making it difficult to ascertain his historical significance or contributions. Further research would be required to provide a comprehensive summary of his life and work.",,,,not found,not found,male,no,no,no,no
Chris Daniels,Sheriff Chris Daniels Memorial Highway,Lake,https://en.wikipedia.org/wiki/Chris_Daniels,Found,"Chris Daniels was an American musician best known as the lead singer and guitarist for the band Chris Daniels & The Kings. Born in 1952, he became a prominent figure in the Denver music scene, blending blues, rock, and soul influences. Daniels released numerous albums and was recognized for his contributions to the local and national music industry. He passed away in 2023, leaving behind a legacy as a celebrated performer and educator.","['University of Colorado Boulder, BA in Sociology', 'University of Denver, MA in Sociology']",1952-01-01,2023-01-01,"Denver, Colorado, USA","Denver, Colorado, USA",male,no,no,no,yes
CK Steele,CK Steele Memorial Highway,Leon,https://en.wikipedia.org/wiki/Charles_Kenzie_Steele,Found,"Charles Kenzie Steele (1914–1980) was a prominent American civil rights leader and pastor who played a key role in the Tallahassee bus boycott of 1956. As president of the Tallahassee chapter of the NAACP and a close associate of Martin Luther King Jr., he advocated for racial equality through nonviolent protest. Steele also served as the first president of the Southern Christian Leadership Conference (SCLC) in Florida, furthering his activism. His leadership significantly contributed to the broader Civil Rights Movement in the United States.","['Morehouse College, Atlanta, Georgia', 'Bachelor of Arts in Sociology', 'Gammon Theological Seminary', 'Master of Divinity']",1914-01-01,1980-09-19,"Bluefield, West Virginia, United States","Tallahassee, Florida, United States",male,no,yes,yes,no
Tony Forgione,Deputies Tony Forgione and Bill Myers Memorial Bridge,Okaloosa,Not Found,Not Found,,,,,,,,,,,
Bill Myers,Deputies Tony Forgione and Bill Myers Memorial Bridge,Okaloosa,https://en.wikipedia.org/wiki/Bill_Myers,Found,"Bill Myers is an American author best known for his contributions to Christian literature, particularly in children's and young adult fiction. Born in 1953, he has written over 100 books, including popular series like The Bloodhound Gang and McGee and Me! which were adapted into a Focus on the Family radio drama. Myers' works often blend adventure, humor, and spiritual themes, earning him a dedicated readership in Christian communities. His career spans several decades, making him a notable figure in contemporary religious publishing.",,1953-01-01,,not found,not found,male,no,no,no,no
John B. Arnold,"John B. Arnold, Jr., Memorial Highway",Okaloosa,https://en.wikipedia.org/wiki/Magda_B._Arnold,Found,"Magda B. Arnold was a pioneering psychologist born in 1903, best known for her influential work in emotion theory and cognitive appraisal. She developed a groundbreaking cognitive theory of emotion that emphasized the role of appraisal in emotional responses. Arnold also contributed to psychological assessment tools, including adaptations of the Thematic Apperception Test (TAT). She passed away in 2002, leaving a lasting legacy in the fields of psychology and neuroscience.","['Bryn Mawr College, BA in Psychology', 'Brown University, MA in Psychology', 'Brown University, PhD in Psychology (1929)']",1903-01-01,2002-01-01,"Philadelphia, Pennsylvania, United States",not found,female,no,no,no,no
R.C. Sproul,Dr. R.C. Sproul Way,Seminole,https://en.wikipedia.org/wiki/R.C._Sproul,Found,"R.C. Sproul (1939–2017) was an American theologian, pastor, and author renowned for his contributions to Reformed theology and Christian apologetics. Born in Pittsburgh, Pennsylvania, he founded Ligonier Ministries in 1971, which became a global platform for biblical teaching through radio, books, and conferences. Sproul authored over 100 books, including The Holiness of God and the Crucial Questions series, and served as a professor at institutions like Reformed Theological Seminary. His work significantly influenced evangelical Christianity, emphasizing God's sovereignty and the authority of Scripture until his death in Altamonte Springs, Florida at age 78.","['Westminster College, BA (1961)', 'Pittsburgh-Xenia Theological Seminary, MDiv (1964)', 'Free University of Amsterdam, DRS (1969)', 'Whitefield Theological Seminary, DD (honorary)']",1939-02-13,2017-12-14,"Pittsburgh, Pennsylvania, United States","Altamonte Springs, Florida, United States",male,no,no,no,no
David G. Ledgerwood,David G. Ledgerwood Memorial Highway,Volusia,Not Found,Not Found,,,,,,,,,,,
Thomas A. Wright,Rev. Dr. Thomas A. Wright Boulevard,Alachua,https://en.wikipedia.org/wiki/Thomas_Wright,Found,"The provided content does not include specific biographical details about any individual named Thomas Wright, as it only shows a Wikipedia navigation structure without actual article text. Multiple people share this name across fields like entertainment, politics, science, and sports, but no birth/death dates, professions, or achievements are visible in the given snippet. Without concrete information, no definitive summary can be constructed about a particular Thomas Wright. The content suggests this is a disambiguation page for various individuals with the same name.",,,,not found,not found,not found,no,no,no,no
Candice Ellize Francois,Candice Ellize Francois Street,Broward,Not Found,Not Found,,,,,,,,,,,
Mixson,Governor Mixson Highway,Jackson,https://en.wikipedia.org/wiki/Mixson,Found,"Wayne Mixson was an American politician born on June 16, 1922, in New Brockton, Alabama. He served as the 39th Governor of Florida for three days in 1987, succeeding Bob Graham after his resignation. Mixson was a prominent figure in Florida politics, also holding roles in the Florida House of Representatives and as Lieutenant Governor. He passed away on July 10, 2020, leaving a legacy in Florida's political history.","['University of Florida, Bachelor of Science in Agriculture', 'University of Florida, Juris Doctor']",1922-06-16,2020-07-10,"New Brockton, Alabama, United States","Jacksonville, Florida, United States",male,no,yes,yes,no
John U. Lloyd,John U. Lloyd Bridge,Broward,https://en.wikipedia.org/wiki/John_Bedford_Lloyd,Found,"John Bedford Lloyd is an American actor known for his extensive work in film and television. Born in 1956, he has appeared in notable projects such as The Abyss (1989), Philadelphia (1993), and The Paper (1994), often portraying authoritative or professional roles. His career spans several decades, with appearances in both major Hollywood productions and television series like Law & Order. Lloyd remains active in the entertainment industry, contributing to its development through his versatile performances.",,1956-01-01,,"New Haven, Connecticut, United States of America",not found,male,no,no,no,no
Wilbur Barry,Wilbur Barry Highway,Escambia,Not Found,Not Found,,,,,,,,,,,
Helen Gordon Davis,Helen Gordon Davis Boulevard,Hillsborough,https://en.wikipedia.org/wiki/Helen_Gordon_Davis,Found,"Helen Gordon Davis was an American politician born on November 21, 1930. She served as a Democratic member of the Florida House of Representatives from 1974 to 1986 and later in the U.S. House of Representatives from 1989 to 1993, representing Florida's 11th district. Known for her advocacy on women's rights, education, and environmental issues, she was a prominent figure in Florida politics during her career. Davis passed away on June 28, 2020, leaving a legacy of public service and progressive leadership.","['University of South Florida, Bachelor of Arts', 'University of South Florida, Master of Arts in Education']",1930-11-21,2020-06-28,"Atlanta, Georgia, United States","Tampa, Florida, United States",female,no,yes,no,no
A. Hagood Ellzey,Deputy A. Hagood Ellzey Memorial Highway,Levy,Not Found,Not Found,,,,,,,,,,,
Trooper Patrick Ambroise,Trooper Patrick Ambroise Memorial Highway,Miami-Dade,Not Found,Not Found,,,,,,,,,,,
Christopher Smith,Deputy Christopher Smith Memorial Highway,Multiple Counties,https://en.wikipedia.org/wiki/Christopher_Smith,Found,"Christopher Smith is a name shared by multiple individuals across various fields including entertainment, sports, and politics. The provided content does not specify a single person, making it impossible to summarize a unique biography with birth/death dates or notable achievements. Some may be athletes, politicians, or fictional characters, but no distinct profession or historical significance can be confirmed without further details. The name is common and lacks a singular biographical focus in the given data.",,,,not found,not found,male,no,no,no,no
Rep. J. Troy Peacock,Rep. J. Troy Peacock Bridge,Jackson,Not Found,Not Found,,,,,,,,,,,
Benedict J. Thomas,Lieutenant Benedict J. Thomas Memorial Highway,Hillsborough,Not Found,Not Found,,,,,,,,,,,
Trooper John C. Hagerty,Trooper John C. Hagerty Memorial Highway,Polk,Not Found,Not Found,,,,,,,,,,,
Trooper Joseph Sawtell Jr,Trooper Joseph Sawtell Jr. Memorial Highway,Brevard,Not Found,Not Found,,,,,,,,,,,
Steven G. Greco,Sergeant Steven G. Greco Memorial Highway,Broward,Not Found,Not Found,,,,,,,,,,,
"George A. Brown, III","Sergeant George A. Brown, III Memorial Highway",Columbia,https://en.wikipedia.org/wiki/George_Atkinson_III,Found,"George Atkinson III was an American professional football player born on January 28, 1993. He played as a safety in the NFL, known for his stints with teams like the Oakland Raiders, Cleveland Browns, and Kansas City Chiefs. Atkinson began his collegiate career at the University of Notre Dame, where he showcased his athletic prowess before transitioning to the professional league. His career, though marked by multiple team changes, highlighted his dedication and skill in American football until his untimely death on December 22, 2023.","['University of Notre Dame', ""Bachelor's Degree (assumed, not explicitly stated)""]",1993-01-28,2023-12-22,"Oakland, California, United States of America",not found,male,yes,no,no,no
Trooper Bradley S. Glascock,Trooper Bradley S. Glascock Memorial Highway,Miami-Dade,Not Found,Not Found,,,,,,,,,,,
Trooper Lindell J. Gibbons,Trooper Lindell J. Gibbons Memorial Highway,Collier,Not Found,Not Found,,,,,,,,,,,
Trooper Robert P. McDermon,Trooper Robert P. McDermon Memorial Highway,Duval,Not Found,Not Found,,,,,,,,,,,
Robert L. Shevin,Robert L. Shevin Way,Miami-Dade,https://en.wikipedia.org/wiki/Robert_L._Shevin,Found,"Robert L. Shevin was an American attorney and politician born on January 16, 1926. He served as a member of the Florida House of Representatives from 1965 to 1967 and later as Florida Attorney General from 1971 to 1979. Shevin was also a justice on the Florida Supreme Court from 1979 to 1987, leaving a significant mark on the state's legal and political landscape. He passed away on October 16, 2022, at the age of 96.","['University of Florida, Bachelor of Arts', 'University of Florida College of Law, Juris Doctor']",1926-01-16,2022-10-16,"New York City, New York, United States","Tallahassee, Florida, United States",male,no,yes,yes,no
Cleo L. Tomlinson,"Trooper Merle J. Cook, Trooper Robert L. Pruitt, Trooper Cleo L. Tomlinson, Jr. Memorial Highway",St. Johns,Not Found,Not Found,,,,,,,,,,,
Trooper Luther P. Daniel,Trooper Luther P. Daniel Memorial Highway,Miami-Dade,Not Found,Not Found,,,,,,,,,,,
William T. Bishop,Sergeant William T. Bishop Memorial Highway,Alachua,https://en.wikipedia.org/wiki/William_Bishop_%28actor%29,Found,"William Bishop was an American actor born on November 1, 1918, best known for his work in television and film during the mid-20th century. He served in the U.S. Army Air Forces during World War II before transitioning to a career in acting, appearing in numerous Broadway productions and TV series. Bishop gained recognition for roles in shows like The Nurses and The Doctors, as well as films such as The Asphalt Jungle (1950). He passed away on October 30, 1999, leaving behind a legacy as a versatile character actor in classic Hollywood and television.",,1918-11-01,1999-10-30,"New York City, New York, USA","Pasadena, California, USA",male,no,no,yes,no
Trooper Halley Strickland,Trooper Halley Strickland Memorial Highway,Brevard,Not Found,Not Found,,,,,,,,,,,
"Martin Luther King, Jr","Martin Luther King, Jr., Boulevard",Brevard,https://en.wikipedia.org/wiki/Martin_Luther_King%2C_Jr,Found,"Martin Luther King Jr. was born on January 15, 1929, in Atlanta, Georgia, and became one of the most prominent leaders in the American civil rights movement. A Baptist minister and activist, he is best known for advancing civil rights through nonviolent resistance, inspired by his Christian beliefs and Mahatma Gandhi’s teachings. His iconic 1963 'I Have a Dream' speech and leadership in campaigns like the Montgomery Bus Boycott and March on Washington cemented his legacy as a pivotal figure in U.S. history. King was assassinated on April 4, 1968, in Memphis, Tennessee, but his work earned him the Nobel Peace Prize in 1964 and enduring global recognition as a symbol of justice and equality.","['Morehouse College, B.A. in Sociology (1948)', 'Crozer Theological Seminary, Bachelor of Divinity (1951)', 'Boston University, Ph.D. in Systematic Theology (1955)']",1929-01-15,1968-04-04,"Atlanta, Georgia, United States","Memphis, Tennessee, United States",male,no,yes,no,no
David C. Hobbs,Sheriff David C. Hobbs Memorial Highway,Jefferson,https://en.wikipedia.org/wiki/David_Hobbs_%28racing_driver%29,Found,"David Hobbs, born June 9, 1939, is a British former professional racing driver known for his extensive career in motorsports. He competed in Formula One, sports cars, and IndyCar, achieving notable success including wins at the 24 Hours of Daytona and Sebring 12 Hours. After retiring from racing, Hobbs became a respected television commentator, covering motorsports for networks like ESPN and Speed Channel. His contributions to racing as both a driver and broadcaster have cemented his legacy in the automotive world.",,1939-06-09,,"Royal Leamington Spa, Warwickshire, United Kingdom",not found,male,yes,no,no,no
John C. Baxter,"Sergeant John C. Baxter, Jr. Memorial Highway",Manatee,https://en.wikipedia.org/wiki/John_Baxter,Found,"John Baxter is a name shared by multiple individuals across various fields including arts, politics, science, and sports. Notable figures include an Australian film critic and author known for works on cinema, as well as a Scottish footballer who played professionally in the early 20th century. Another John Baxter was a politician involved in local governance, while others contributed to scientific research or military service. The name spans diverse professions, making it historically significant in multiple contexts without a single defining legacy.",,,,not found,not found,male,yes,yes,yes,no
Patrolman Royston E. Walker,Patrolman Royston E. Walker Memorial Highway,Dixie,Not Found,Not Found,,,,,,,,,,,
Daniel Hinton,Sergeant Daniel Hinton Memorial Highway,Lee,https://en.wikipedia.org/wiki/Darby_Hinton,Found,"Darby Hinton is an American actor best known for his role as Israel Boone in the 1960s television series Daniel Boone. Born in 1957, he began acting as a child and became a recognizable figure in Hollywood during the late 20th century. His career spans film and television, with appearances in projects like The Waltons and The Rockford Files. Hinton remains a notable figure in classic American television history.",,1957-01-01,,not found,not found,male,no,no,no,no
Jorge P. Castano,Jorge P. Castano Way,Miami-Dade,Not Found,Not Found,,,,,,,,,,,
Sherman L. Scott,"Trooper Sherman L. Scott, Jr. Memorial Highway",Baker,https://en.wikipedia.org/wiki/L._Scott_Caldwell,Found,"L. Scott Caldwell is an American actress born in 1950, best known for her extensive work in film, television, and theater. She gained prominence for her role as Rose Henderson in the ABC drama Lost (2004–2010), earning critical acclaim and a Screen Actors Guild Award nomination. Caldwell has also appeared in notable films like The Fugitive (1993) and The Net (1995), alongside a prolific stage career, including Broadway productions. Her contributions span over four decades, establishing her as a respected figure in American entertainment with a focus on dramatic and character-driven roles.","['University of Illinois at Urbana–Champaign', 'Bachelor of Fine Arts in Theater', 'New York University, Tisch School of the Arts', 'Master of Fine Arts in Acting']",1950-04-17,,"Chicago, Illinois, United States",not found,female,no,no,no,no
Trooper Richard Howell,Trooper Richard Howell Memorial Highway,Orange,Not Found,Not Found,,,,,,,,,,,
Frederick J. Groves,"Troopers Herman T. Morris and Frederick J. Groves, Jr. Memorial Highway",Palm Beach,Not Found,Not Found,,,,,,,,,,,
Trooper Wilburn A. Kelly,Trooper Wilburn A. Kelly Memorial Highway,St. Johns,Not Found,Not Found,,,,,,,,,,,
Trooper Edwin J. Gasque,Trooper Edwin J. Gasque Memorial Highway,Duval,Not Found,Not Found,,,,,,,,,,,
SSGT Edward C. Sheffield,SSGT Edward C. Sheffield Memorial Bridge,Taylor,Not Found,Not Found,,,,,,,,,,,
Trooper Alvin V. Kohler,Trooper Alvin V. Kohler Memorial Highway,Miami-Dade,Not Found,Not Found,,,,,,,,,,,
Trooper Elmer C. Barnett,Trooper Elmer C. Barnett Memorial Highway,Miami-Dade,Not Found,Not Found,,,,,,,,,,,
Trooper Chelsea Richard,Trooper Chelsea Richard Memorial Highway,Marion,Not Found,Not Found,,,,,,,,,,,
Trooper Milan D. Hendrix,Trooper Milan D. Hendrix Memorial Highway,Escambia,Not Found,Not Found,,,,,,,,,,,
Officer Lance Christian Whitaker,Officer Lance Christian Whitaker Highway,Duval,Not Found,Not Found,,,,,,,,,,,
A.B. Michael,A.B. Michael Bridges,Indian River,https://en.wikipedia.org/wiki/Michael_B._Jordan,Found,"Michael B. Jordan is an American actor born on February 9, 1987, in Santa Ana, California. He rose to prominence for his roles in films like Fruitvale Station (2013), Creed (2015), and Black Panther (2018), earning critical acclaim and multiple awards. Known for his collaborations with director Ryan Coogler, Jordan has become one of Hollywood’s leading actors and a producer through his company, Outlier Society. Beyond acting, he has ventured into sports ownership, co-owning the London-based basketball team London City Royals since 2023.",['Newark Arts High School'],1987-02-09,,"Santa Ana, California, United States",not found,male,yes,no,no,no
Archibald Johns Thomas,Archibald Johns Thomas Bridge,Bradford,https://en.wikipedia.org/wiki/Archibald_Thomas_Robertson,Found,"Archibald Thomas Robertson (1863–1934) was an American Baptist minister, scholar, and educator renowned for his expertise in New Testament Greek. He served as a professor at the Southern Baptist Theological Seminary in Louisville, Kentucky, for over 50 years, shaping generations of theologians. Robertson authored numerous influential works, including his magnum opus A Grammar of the Greek New Testament in the Light of Historical Research. His scholarship remains foundational in biblical studies, particularly in Greek exegesis and textual criticism.","['Wake Forest College, BA', 'Southern Baptist Theological Seminary, Th.M.', 'University of Berlin (studies in New Testament Greek)']",1863-11-06,1934-09-24,"Pittsylvania County, Virginia, USA","Louisville, Kentucky, USA",male,no,no,no,no
Austin D. Gay,Austin D. Gay Memorial Highway,Columbia,Not Found,Not Found,,,,,,,,,,,
Chief Lynne Nungesser,Deputy Chief Lynne Nungesser Memorial Highway,Brevard,Not Found,Not Found,,,,,,,,,,,
Donald Ray Cook,Deputy Donald Ray Cook Memorial Highway,Escambia,https://en.wikipedia.org/wiki/USS_Donald_Cook,Found,"The provided content describes the USS Donald Cook, a U.S. Navy guided-missile destroyer named in honor of Colonel Donald G. Cook (1934–1967), a Marine Corps officer and prisoner of war in Vietnam. Cook was posthumously awarded the Medal of Honor for his extraordinary heroism and leadership while imprisoned, refusing release to remain with his fellow captives. Commissioned in 1998, the USS Donald Cook (DDG-75) is an Arleigh Burke-class destroyer known for its advanced combat systems and participation in NATO operations. The ship's service history includes deployments in the Black Sea, Mediterranean, and Persian Gulf, reflecting its role in modern naval warfare and deterrence missions.",,,,not found,not found,not found,no,no,yes,no
Matt Miller,Deputy Matt Miller Memorial Boulevard,Seminole,https://en.wikipedia.org/wiki/Matt_Miller,Found,"Matthew Miller is a name associated with multiple individuals across different fields including sports and entertainment. In sports, one notable Matt Miller is a former American football defensive end who played college football at Texas A&M. Another Matt Miller is known for his contributions to arts and entertainment, though specific details about his birth, death, or major achievements are not widely documented. The name also appears in other contexts, but no single individual stands out with universally recognized historical significance under this name.",,,,not found,not found,male,yes,no,no,no
David Anthony Abella,Deputy Sheriff David Anthony Abella Memorial Highway,Hillsborough,Not Found,Not Found,,,,,,,,,,,
Harriet Tubman,Harriet Tubman Highway/U.S. 1/S.R. 5,Miami-Dade,https://en.wikipedia.org/wiki/Harriet_Tubman,Found,"Harriet Tubman was an American abolitionist and political activist born into slavery around 1822 in Dorchester County, Maryland. She escaped slavery in 1849 and subsequently made about thirteen missions to rescue approximately seventy enslaved people using the Underground Railroad, earning the nickname 'Moses.' During the American Civil War, she served as an armed scout and spy for the Union Army, becoming the first woman to lead an armed expedition. Tubman died on March 10, 1913, in Auburn, New York, leaving a legacy as one of the most courageous figures in the fight against slavery and for civil rights.",,1822-01-01,1913-03-10,"Dorchester County, Maryland, United States","Auburn, New York, United States",female,no,yes,yes,no
J.D. Turner,J.D. Turner Highway,Multiple Counties,https://en.wikipedia.org/wiki/J._M._W._Turner,Found,"Joseph Mallord William Turner, commonly known as J.M.W. Turner, was born on April 23, 1775, and died on December 19, 1851. He was an English Romantic painter, printmaker, and watercolorist renowned for his expressive colorizations, imaginative landscapes, and turbulent marine scenes. Turner is often regarded as the artist who elevated landscape painting to a status rivaling historical painting, with works like The Fighting Temeraire and Rain, Steam and Speed becoming iconic. His innovative techniques and influence on later movements, including Impressionism, cemented his legacy as one of Britain’s greatest artists.","['Royal Academy of Arts, London']",1775-04-23,1851-12-19,"Covent Garden, London, England","Chelsea, London, England",male,no,no,no,no
John B. Coxwell,John B. Coxwell Memorial Highway,Duval,Not Found,Not Found,,,,,,,,,,,
John C. Gainous,John C. Gainous Memorial Highway,Gulf,Not Found,Not Found,,,,,,,,,,,
Joshua S. Montaad,Joshua S. Montaad Memorial Highway,Taylor,Not Found,Not Found,,,,,,,,,,,
Master Police Officer Lois Marrero,Master Police Officer Lois Marrero Memorial Highway,Hillsborough,Not Found,Not Found,,,,,,,,,,,
Phoebe Jonchuck,Phoebe Jonchuck Memorial Bridge,Pinellas,Not Found,Not Found,,,,,,,,,,,
Purple Heart,Purple Heart Memorial Highway,Multiple Counties,https://en.wikipedia.org/wiki/Purple_Heart,Found,"The Purple Heart is a United States military decoration awarded to those wounded or killed while serving. Established by General George Washington in 1782 as the Badge of Military Merit, it was revived in 1932 to honor combat injuries or meritorious actions. It is the oldest military award still given to U.S. service members today. The medal features a purple heart-shaped design with a profile of Washington and is presented to recipients with a formal citation.",,,,not found,not found,not found,no,no,yes,no
Rosa Maria Plasencia,Rosa Maria Plasencia Way,Miami-Dade,Not Found,Not Found,,,,,,,,,,,
"Slaughter, Read, Ramirez, Lindsey","Slaughter, Read, Ramirez, Lindsey Memorial Highway",Gilchrist,Not Found,Not Found,,,,,,,,,,,
Trooper Joseph Bullock,Trooper Joseph Bullock Memorial Highway,Martin,Not Found,Not Found,,,,,,,,,,,
Wesley L. Silas,Wesley L. Silas Memorial Highway,Suwannee,Not Found,Not Found,,,,,,,,,,,
Willis V. Rowan,Willis V. Rowan Memorial Highway,Gulf,Not Found,Not Found,,,,,,,,,,,
Olympian Theresa Manuel,Olympian Theresa Manuel Way,Hillsborough,https://en.wikipedia.org/wiki/Theresa_Manuel,Found,"Theresa Manuel is a notable figure primarily recognized for her contributions to athletics and coaching. Born in the Philippines, she gained prominence as a track and field athlete before transitioning into a coaching career. Manuel has been influential in developing athletes, particularly in her home country, though specific details about her birth and death dates remain publicly undocumented. Her legacy is tied to her dedication to sports and mentorship within the athletic community.",,,,not found,not found,female,yes,no,no,no
Patrolman Leroy Bender,Patrolman Leroy Bender Memorial Highway,Seminole,Not Found,Not Found,,,,,,,,,,,
