name,original_designation,county,wikipedia_url,status,match_confidence,validated,validation_notes,summary,education,dob,dod,place_of_birth,place_of_death,gender,involved_in_sports,involved_in_politics,involved_in_military,involved_in_music
Paul Smith,Sergeant Paul Smith Memorial Highway,Hillsborough,https://en.wikipedia.org/wiki/David_Smith_%28Florida_politician%29,Found,39.3,true,seq=13.3; mil:+15; fl:+10; county-miss:-8; us:+5,"David Smith is a Florida-based politician known for his service in the Florida House of Representatives. Born in 1971, he has been actively involved in state-level legislative work, focusing on policy areas such as education and economic development. Smith earned recognition for his bipartisan efforts and advocacy for local community issues during his tenure. His political career reflects a commitment to public service and governance in Florida.",,1971-01-01,,not found,not found,male,no,yes,no,no
Marvin L. Roberts,Sergeant Marvin L. Roberts Memorial Highway,Lake,https://en.wikipedia.org/wiki/Marvin_Opler,Found,28.8,true,seq=13.8; last-mismatch:-4; mil:+15; fl-miss:-10; county:+8,"Marvin Opler was an American anthropologist and social psychiatrist born in 1914, known for his ethnographic work among Native American tribes and Japanese-American communities. He conducted influential research on the psychological impacts of Japanese-American internment during World War II, contributing to both anthropology and social psychiatry. Opler earned his Ph.D. from the University of Chicago and later taught at institutions like Cornell University and the University of Oklahoma. He passed away in 1981, leaving a legacy in applied anthropology and cross-cultural mental health studies.","['University of Chicago, Ph.D. in Anthropology', 'Cornell University, Faculty Position', 'University of Oklahoma, Faculty Position']",1914-01-01,1981-01-01,"Buffalo, New York, United States",not found,male,no,no,no,no
Alexander Miller,Specialist Alexander Miller Memorial Highway,Lake,Not Found,Not Found,4.0,false,seq=8.0; last-mismatch:-4; mil:+15; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,,
Chris Daniels,Sheriff Chris Daniels Memorial Highway,Lake,Not Found,Not Found,14.3,false,seq=13.3; le:+15; fl-miss:-10; county-miss:-8,,,,,,,,,,,
CK Steele,CK Steele Memorial Highway,Leon,https://en.wikipedia.org/wiki/Charles_Kenzie_Steele,Found,58.0,true,seq=12.0; human:+40; fl:+10; county-miss:-8,"Charles Kenzie Steele was a prominent American civil rights leader born on January 18, 1914, in Atlanta, Georgia. He served as the president of the Southern Christian Leadership Conference (SCLC) from 1963 to 1967, succeeding Dr. Martin Luther King Jr. in this role. Steele was a key figure in organizing nonviolent protests and advocating for racial equality during the Civil Rights Movement. He passed away on September 19, 1980, leaving behind a legacy of activism and leadership in the fight for justice and equality.","['Morehouse College, Atlanta, Georgia', 'Bachelor of Arts in Sociology', 'Howard University School of Divinity, Washington, D.C.']",1914-01-18,1980-09-19,"Atlanta, Georgia, United States","Tallahassee, Florida, United States",male,no,yes,no,no
Tony Forgione,Deputies Tony Forgione and Bill Myers Memorial Bridge,Okaloosa,https://en.wikipedia.org/wiki/Donny_Osmond,Found,32.2,true,seq=11.2; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5,"Donny Osmond is an American singer, dancer, actor, and television host born on December 9, 1957. He rose to fame as a child star in the 1960s alongside his brothers in The Osmonds, a family music group that achieved global success. Throughout his career, he has released numerous hit singles like 'Puppy Love' and 'Go Away Little Girl,' while also starring in Broadway productions such as Joseph and the Amazing Technicolor Dreamcoat. Osmond remains a prominent figure in entertainment, known for his versatility across music, television, and theater over six decades.",,1957-12-09,,"Ogden, Utah, United States",not found,male,no,no,no,yes
Bill Myers,Deputies Tony Forgione and Bill Myers Memorial Bridge,Okaloosa,Not Found,Not Found,19.3,false,seq=13.3; fl:+10; county-miss:-8,,,,,,,,,,,
John B. Arnold,"John B. Arnold, Jr., Memorial Highway",Okaloosa,Not Found,Not Found,19.7,false,seq=7.7; last-mismatch:-4; fl:+10; county:+8,,,,,,,,,,,
R.C. Sproul,Dr. R.C. Sproul Way,Seminole,https://en.wikipedia.org/wiki/Bruce_Waltke,Found,48.0,true,seq=7.0; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Bruce K. Waltke is an American biblical scholar and theologian born on June 30, 1930, known for his expertise in Old Testament studies. He served as a professor at institutions like Dallas Theological Seminary, Regent College, and Reformed Theological Seminary, contributing significantly to evangelical scholarship. Waltke authored influential works such as An Old Testament Theology and co-authored An Introduction to Biblical Hebrew Syntax. His academic career and publications have made him a prominent figure in conservative biblical interpretation and Hebrew language studies.","['Houghton College, BA', 'Dallas Theological Seminary, ThM', 'Dallas Theological Seminary, ThD', 'Harvard University, PhD in Near Eastern Languages and Literature']",1930-06-30,,not found,not found,male,no,no,no,no
David G. Ledgerwood,David G. Ledgerwood Memorial Highway,Volusia,https://en.wikipedia.org/wiki/Judy_Ledgerwood,Found,45.1,true,seq=14.1; human:+40; fl-miss:-10; county-miss:-8; us:+5,"Judy Ledgerwood is an American contemporary artist known for her vibrant, large-scale abstract paintings and chromatic installations. Born in 1959, she explores color theory, geometric patterns, and feminist themes in her work, gaining recognition in the 1990s art scene. Ledgerwood has exhibited internationally, with works held in major collections like the Art Institute of Chicago and the Museum of Contemporary Art, Los Angeles. Her contributions bridge painting, sculpture, and public art, influencing modern abstract practices.","['The School of the Art Institute of Chicago', 'Bachelor of Fine Arts, 1982', 'Yale University School of Art', 'Master of Fine Arts, 1986']",1959-01-01,,"Evanston, Illinois, United States",not found,female,no,no,no,no
Thomas A. Wright,Rev. Dr. Thomas A. Wright Boulevard,Alachua,https://en.wikipedia.org/wiki/Thomas_A._Wright_Sr.,Found,36.8,true,seq=17.8; last-mismatch:-4; rel:+15; fl:+10; county-miss:-8,"Thomas A. Wright Sr. was an American religious leader and military veteran born in 1908. He served in the U.S. military during World War II, contributing to his community's development post-service. Wright later became a prominent minister, focusing on religious education and ministry work. His legacy includes mentorship and leadership within his local church and broader community until his passing in 1993.","['Elementary education (specific institution not listed)', 'Religious education (institution not specified)']",1908-01-01,1993-01-01,not found,not found,male,no,no,yes,no
Candice Ellize Francois,Candice Ellize Francois Street,Broward,Not Found,Not Found,0.0,false,no-candidates,,,,,,,,,,,
Governor Mixson,Governor Mixson Highway,Jackson,https://en.wikipedia.org/wiki/Wayne_Mixson,Found,77.9,true,seq=11.9; human:+40; pol:+15; fl:+10; county-miss:-8; us:+5,"Wayne Mixson was born on June 16, 1922, in New Brockton, Alabama, and passed away on July 31, 2020. He was an American politician who served as the 39th Governor of Florida for three days in 1987, succeeding Bob Graham after his resignation. Prior to this, Mixson had a long career in the Florida State Legislature, including roles in both the House of Representatives and the Senate. He was also a prominent figure in the Florida Farm Bureau and a veteran of World War II, contributing to his legacy in public service and agriculture.","['University of Florida, Bachelor of Science in Agriculture (1949)', 'University of Florida, Juris Doctor (1951)']",1922-06-16,2020-07-31,"New Brockton, Alabama, United States","Tallahassee, Florida, United States",male,no,yes,yes,no
John U. Lloyd,John U. Lloyd Bridge,Broward,https://en.wikipedia.org/wiki/John_O%27Hurley,Found,72.3,true,seq=12.3; last-mismatch:-4; human:+40; fl:+10; county:+8,"John O'Hurley is an American actor, comedian, and television personality born on October 9, 1954. He is best known for his role as J. Peterman on the NBC sitcom Seinfeld and as the host of Family Feud from 2006 to 2010. O'Hurley has also appeared in Broadway productions, including Chicago, and authored several books. His career spans television, theater, and voice acting, making him a versatile entertainer in the industry.","['Providence College', 'Bachelor of Arts in Theater', 'New York University (NYU), Tisch School of the Arts']",1954-10-09,,"Kittery, Maine, United States",not found,male,no,no,no,yes
Wilbur Barry,Wilbur Barry Highway,Escambia,https://en.wikipedia.org/wiki/Dan_Mullen,Found,47.0,true,seq=1.8; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Dan Mullen is an American football coach born on April 27, 1972, known for his successful career in collegiate coaching. He served as the head coach for the Mississippi State Bulldogs (2009–2017) and the Florida Gators (2018–2021), achieving multiple bowl game victories and conference accolades. Mullen began his coaching journey as a graduate assistant at Syracuse before rising through the ranks at institutions like Notre Dame and Utah. His innovative offensive strategies and player development, particularly with quarterbacks like Dak Prescott and Tim Tebow, cemented his reputation as a top-tier coach in college football.","['Trinity High School (PA)', ""Ursinus College, Bachelor's in Political Science"", ""Syracuse University, Master's in Education""]",1972-04-27,,"Drexel Hill, Pennsylvania, United States",not found,male,yes,no,no,no
Helen Gordon Davis,Helen Gordon Davis Boulevard,Hillsborough,Not Found,Not Found,18.7,false,seq=9.7; last-mismatch:-4; fl:+10; county-miss:-8; us:+5,,,,,,,,,,,
A. Hagood Ellzey,Deputy A. Hagood Ellzey Memorial Highway,Levy,Not Found,Not Found,0.0,false,no-candidates,,,,,,,,,,,
Trooper Patrick Ambroise,Trooper Patrick Ambroise Memorial Highway,Miami-Dade,Not Found,Not Found,0.0,false,seq=5.4; last-mismatch:-4; le:+15; fl-miss:-10; county-miss:-8; us:+5; nobility:-40,,,,,,,,,,,
Christopher Smith,Deputy Christopher Smith Memorial Highway,Multiple Counties,Not Found,Not Found,13.4,false,seq=12.4; le:+15; fl-miss:-10; county-miss:-8,,,,,,,,,,,
Rep. J. Troy Peacock,Rep. J. Troy Peacock Bridge,Jackson,https://en.wikipedia.org/wiki/Wankard_Pooser,Found,42.0,true,seq=4.7; last-mismatch:-4; human:+40; fl:+10; county-miss:-8,"Wankard Pooser was a historical figure with limited available biographical details. No specific birth or death dates are documented in the provided content. There is no clear record of notable achievements, profession, or historical significance for this individual. The lack of information makes it difficult to assess their impact or contributions.",,,,not found,not found,not found,no,no,no,no
Benedict J. Thomas,Lieutenant Benedict J. Thomas Memorial Highway,Hillsborough,Not Found,Not Found,7.0,false,seq=3.2; last-mismatch:-4; fl:+10; county-miss:-8; us:+5,,,,,,,,,,,
Trooper John C. Hagerty,Trooper John C. Hagerty Memorial Highway,Polk,Not Found,Not Found,2.0,false,seq=3.5; last-mismatch:-4; le:+15; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,,
Trooper Joseph Sawtell Jr,Trooper Joseph Sawtell Jr. Memorial Highway,Brevard,Not Found,Not Found,0.0,false,seq=6.9; last-mismatch:-4; le-missing:-50; fl-miss:-10; county-miss:-8; nobility:-40,,,,,,,,,,,
Steven G. Greco,Sergeant Steven G. Greco Memorial Highway,Broward,Not Found,Not Found,2.5,false,seq=6.5; last-mismatch:-4; mil:+15; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,,
"George A. Brown, III","Sergeant George A. Brown, III Memorial Highway",Columbia,Not Found,Not Found,2.0,false,seq=4.0; last-mismatch:-4; mil:+15; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,,
Trooper Bradley S. Glascock,Trooper Bradley S. Glascock Memorial Highway,Miami-Dade,Not Found,Not Found,0.0,false,seq=8.0; last-mismatch:-4; le-missing:-50; fl-miss:-10; county-miss:-8; nobility:-40,,,,,,,,,,,
Trooper Lindell J. Gibbons,Trooper Lindell J. Gibbons Memorial Highway,Collier,Not Found,Not Found,0.0,false,seq=5.3; last-mismatch:-4; le-missing:-50; fl-miss:-10; county-miss:-8; us:+5; nobility:-40,,,,,,,,,,,
Trooper Robert P. McDermon,Trooper Robert P. McDermon Memorial Highway,Duval,Not Found,Not Found,0.0,false,no-candidates,,,,,,,,,,,
Robert L. Shevin,Robert L. Shevin Way,Miami-Dade,https://en.wikipedia.org/wiki/Bob_Graham,Found,55.2,true,seq=6.2; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Bob Graham was born on November 9, 1936, in Coral Gables, Florida, and is an American politician best known for his long career in public service. He served as the 38th Governor of Florida from 1979 to 1987 and later as a U.S. Senator from Florida from 1987 to 2005, becoming a prominent figure in the Democratic Party. Graham was recognized for his innovative 'workdays' program, where he spent time working in various jobs to better understand constituents' lives. His political legacy includes contributions to education, environmental policy, and national security during his tenure in office.","['University of Florida, B.S. in Political Science', 'Harvard Law School, LL.B.']",1936-11-09,,"Coral Gables, Florida, United States",not found,male,no,yes,no,no
Cleo L. Tomlinson,"Trooper Merle J. Cook, Trooper Robert L. Pruitt, Trooper Cleo L. Tomlinson, Jr. Memorial Highway",St. Johns,Not Found,Not Found,2.5,false,seq=6.5; last-mismatch:-4; le:+15; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,,
Trooper Luther P. Daniel,Trooper Luther P. Daniel Memorial Highway,Miami-Dade,Not Found,Not Found,0.0,false,seq=8.7; last-mismatch:-4; le-missing:-50; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,,
William T. Bishop,Sergeant William T. Bishop Memorial Highway,Alachua,Not Found,Not Found,2.0,false,seq=2.9; last-mismatch:-4; mil:+15; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,,
Trooper Halley Strickland,Trooper Halley Strickland Memorial Highway,Brevard,Not Found,Not Found,0.0,false,seq=3.0; last-mismatch:-4; le-missing:-50; fl-miss:-10; county-miss:-8,,,,,,,,,,,
"Martin Luther King, Jr","Martin Luther King, Jr., Boulevard",Brevard,Not Found,Not Found,19.8,false,seq=15.8; last-mismatch:-4; fl:+10; county-miss:-8,,,,,,,,,,,
David C. Hobbs,Sheriff David C. Hobbs Memorial Highway,Jefferson,Not Found,Not Found,0.0,false,seq=17.6; le-missing:-50; fl-miss:-10; county-miss:-8,,,,,,,,,,,
John C. Baxter,"Sergeant John C. Baxter, Jr. Memorial Highway",Manatee,Not Found,Not Found,0.0,false,seq=10.8; mil-missing:-50; fl-miss:-10; county-miss:-8; pre1900:-35,,,,,,,,,,,
Patrolman Royston E. Walker,Patrolman Royston E. Walker Memorial Highway,Dixie,Not Found,Not Found,0.0,false,seq=6.0; last-mismatch:-4; fl-miss:-10; county-miss:-8,,,,,,,,,,,
Daniel Hinton,Sergeant Daniel Hinton Memorial Highway,Lee,Not Found,Not Found,14.4,false,seq=7.4; last-mismatch:-4; mil:+15; fl-miss:-10; county:+8,,,,,,,,,,,
Jorge P. Castano,Jorge P. Castano Way,Miami-Dade,https://en.wikipedia.org/wiki/Adri%C3%A1n_Gonz%C3%A1lez,Found,47.0,true,seq=2.6; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Adrián González is a Mexican-American former professional baseball first baseman born on May 8, 1982. He played 15 seasons in Major League Baseball (MLB), primarily for the San Diego Padres, Boston Red Sox, and Los Angeles Dodgers, earning five All-Star selections and four Gold Glove Awards. Known for his powerful left-handed hitting and defensive skills, he became one of the most consistent first basemen of his era. González retired in 2018 after a career that included over 2,000 hits, 300 home runs, and a reputation as a leader both on and off the field.","['Eastlake High School (Chula Vista, California)', 'Notre Dame High School (Sherman Oaks, California)']",1982-05-08,,"San Diego, California, United States",not found,male,yes,no,no,no
Sherman L. Scott,"Trooper Sherman L. Scott, Jr. Memorial Highway",Baker,Not Found,Not Found,5.7,false,seq=9.7; last-mismatch:-4; le:+15; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,,
Trooper Richard Howell,Trooper Richard Howell Memorial Highway,Orange,Not Found,Not Found,0.0,false,seq=5.7; last-mismatch:-4; le-missing:-50; fl-miss:-10; county-miss:-8,,,,,,,,,,,
Frederick J. Groves,"Troopers Herman T. Morris and Frederick J. Groves, Jr. Memorial Highway",Palm Beach,Not Found,Not Found,2.0,false,seq=5.7; last-mismatch:-4; le:+15; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,,
Trooper Wilburn A. Kelly,Trooper Wilburn A. Kelly Memorial Highway,St. Johns,Not Found,Not Found,0.0,false,seq=2.9; last-mismatch:-4; le-missing:-50; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,,
Trooper Edwin J. Gasque,Trooper Edwin J. Gasque Memorial Highway,Duval,Not Found,Not Found,0.0,false,seq=4.9; last-mismatch:-4; le-missing:-50; fl-miss:-10; county-miss:-8; nobility:-40,,,,,,,,,,,
SSGT Edward C. Sheffield,SSGT Edward C. Sheffield Memorial Bridge,Taylor,https://en.wikipedia.org/wiki/Charles_Lindbergh,Found,27.0,true,seq=3.9; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5,"Charles Lindbergh (1902–1974) was an American aviator who became a global icon after completing the first solo nonstop transatlantic flight in 1927 aboard the Spirit of St. Louis. Born in Detroit, Michigan, he revolutionized aviation and inspired widespread public enthusiasm for air travel during the early 20th century. Beyond his pioneering flight, Lindbergh served as a military officer, aviation consultant, and later became a controversial figure due to his isolationist views before World War II. His legacy endures as one of the most influential pilots in history, though his personal life, including the tragic kidnapping of his son, also drew significant attention.","['University of Wisconsin–Madison, College of Engineering (dropped out)', 'United States Army Air Service Flight Training']",1902-02-04,1974-08-26,"Detroit, Michigan, United States","Kipahulu, Maui, Hawaii, United States",male,no,yes,yes,no
Trooper Alvin V. Kohler,Trooper Alvin V. Kohler Memorial Highway,Miami-Dade,Not Found,Not Found,0.0,false,seq=6.7; last-mismatch:-4; le-missing:-50; fl-miss:-10; county-miss:-8,,,,,,,,,,,
Trooper Elmer C. Barnett,Trooper Elmer C. Barnett Memorial Highway,Miami-Dade,https://en.wikipedia.org/wiki/Jon_Corzine,Found,42.9,true,seq=6.9; last-mismatch:-4; human:+40; le:+15; fl-miss:-10; county-miss:-8; us:+5,"Jon Corzine was born on January 1, 1947, in Central Illinois, USA. He is best known for his career as a financier, serving as CEO of Goldman Sachs from 1994 to 1999, where he played a key role in transforming the firm into a public company. Corzine later transitioned into politics, serving as a U.S. Senator from New Jersey (2001–2006) and as the 54th Governor of New Jersey (2006–2010). His tenure in finance and politics was marked by both significant achievements and controversies, including the collapse of MF Global under his leadership in 2011.","['University of Illinois at Urbana–Champaign, Bachelor of Arts (1969)', 'University of Chicago Booth School of Business, Master of Business Administration (1973)']",1947-01-01,,"Taylorville, Illinois, United States",not found,male,no,yes,no,no
Trooper Chelsea Richard,Trooper Chelsea Richard Memorial Highway,Marion,Not Found,Not Found,0.0,false,seq=6.1; last-mismatch:-4; le-missing:-50; fl-miss:-10; county-miss:-8; nobility:-40,,,,,,,,,,,
Trooper Milan D. Hendrix,Trooper Milan D. Hendrix Memorial Highway,Escambia,Not Found,Not Found,0.0,false,seq=5.7; last-mismatch:-4; le-missing:-50; fl-miss:-10; county-miss:-8; us:+5; nobility:-40,,,,,,,,,,,
Officer Lance Christian Whitaker,Officer Lance Christian Whitaker Highway,Duval,https://en.wikipedia.org/wiki/Kasim_Reed,Found,27.0,true,seq=2.9; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5,"Kasim Reed is an American politician and attorney born on June 10, 1969. He served as the 59th Mayor of Atlanta, Georgia, from 2010 to 2018, where he focused on economic development and infrastructure improvements. Reed earned his law degree from Howard University and began his career as a lawyer before transitioning into public service. His tenure as mayor was marked by efforts to revitalize downtown Atlanta and address urban challenges, solidifying his role as a prominent figure in Georgia politics.","['Howard University, Bachelor of Arts', 'Howard University School of Law, Juris Doctor']",1969-06-10,,"Plainfield, New Jersey, United States",not found,male,no,yes,no,no
A.B. Michael,A.B. Michael Bridges,Indian River,Not Found,Not Found,12.7,false,seq=11.7; last-mismatch:-4; fl:+10; county-miss:-8; us:+5,,,,,,,,,,,
Archibald Johns Thomas,Archibald Johns Thomas Bridge,Bradford,Not Found,Not Found,13.7,false,seq=13.7; last-mismatch:-4; fl-miss:-10; county:+8,,,,,,,,,,,
Austin D. Gay,Austin D. Gay Memorial Highway,Columbia,https://en.wikipedia.org/wiki/Jane_Castor,Found,47.0,true,seq=5.0; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Jane Castor is an American politician and former law enforcement officer born on October 11, 1959. She served as the first female Chief of Police for the Tampa Police Department from 2009 to 2015, earning recognition for her leadership. In 2019, she became the 59th Mayor of Tampa, Florida, focusing on policies like climate change and public safety. Castor is notable for her progressive approach to urban governance and her trailblazing career in law enforcement and politics.","['University of Tampa, Bachelor of Arts in Criminology', 'University of South Florida, Master of Arts in Criminology']",1959-10-11,,"Tampa, Florida, United States",not found,female,no,yes,no,no
Chief Lynne Nungesser,Deputy Chief Lynne Nungesser Memorial Highway,Brevard,Not Found,Not Found,2.1,false,seq=6.1; last-mismatch:-4; le:+15; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,,
Donald Ray Cook,Deputy Donald Ray Cook Memorial Highway,Escambia,Not Found,Not Found,13.0,false,seq=2.4; last-mismatch:-4; le:+15; fl-miss:-10; county:+8,,,,,,,,,,,
Matt Miller,Deputy Matt Miller Memorial Boulevard,Seminole,Not Found,Not Found,22.0,false,seq=1.7; last-mismatch:-4; le:+15; fl:+10; county-miss:-8; us:+5,,,,,,,,,,,
Sheriff David Anthony Abella,Deputy Sheriff David Anthony Abella Memorial Highway,Hillsborough,Not Found,Not Found,0.0,false,seq=6.3; last-mismatch:-4; le-missing:-50; fl-miss:-10; county-miss:-8; us:+5; nobility:-40,,,,,,,,,,,
Harriet Tubman,Harriet Tubman Highway/U.S. 1/S.R. 5,Miami-Dade,https://en.wikipedia.org/wiki/Harriet_Tubman,Found,47.0,true,seq=20.0; human:+40; fl-miss:-10; county-miss:-8; us:+5,"Harriet Tubman was born into slavery around 1822 in Dorchester County, Maryland, and died on March 10, 1913. She became a renowned abolitionist and political activist, best known for leading enslaved people to freedom via the Underground Railroad as a 'conductor.' Tubman also served as a scout, spy, and nurse for the Union Army during the American Civil War, making her a key figure in U.S. military history. Her bravery and leadership cemented her legacy as one of the most influential figures in the fight against slavery and for civil rights.",,1822-01-01,1913-03-10,"Dorchester County, Maryland, United States","Auburn, New York, United States",female,no,yes,yes,no
J.D. Turner,J.D. Turner Highway,Multiple Counties,https://en.wikipedia.org/wiki/Trea_Turner,Found,58.7,true,seq=12.7; human:+40; fl:+10; county-miss:-8,"Trea Vance Turner is an American professional baseball shortstop born on June 30, 1993. Known for his speed and defensive skills, he has played in Major League Baseball (MLB) for teams like the Washington Nationals and Los Angeles Dodgers. Turner was a key player in the Nationals' 2019 World Series championship and has earned accolades including All-Star selections and a batting title. His career highlights include leading the National League in stolen bases multiple times and being recognized as one of the game's top shortstops.","['North Carolina State University', 'Park Vista Community High School']",1993-06-30,,"Boynton Beach, Florida, United States",not found,male,yes,no,no,no
John B. Coxwell,John B. Coxwell Memorial Highway,Duval,https://en.wikipedia.org/wiki/Henry_Tracey_Coxwell,Found,38.6,true,seq=12.6; human:+40; fl-miss:-10; county-miss:-8,"Henry Tracey Coxwell (1819–1900) was a pioneering British aeronaut and professional balloonist. He is best known for his historic 1862 balloon ascent with scientist James Glaisher, reaching an estimated altitude of 37,000 feet, which set records for high-altitude exploration. Coxwell's expertise in balloon navigation and his contributions to meteorological research made him a key figure in early aviation history. Born in England, he died in 1900 after a career marked by daring flights and scientific collaboration.",,1819-01-01,1900-01-01,not found,not found,male,no,no,no,no
John C. Gainous,John C. Gainous Memorial Highway,Gulf,Not Found,Not Found,22.0,false,seq=4.1; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8,,,,,,,,,,,
Joshua S. Montaad,Joshua S. Montaad Memorial Highway,Taylor,Not Found,Not Found,0.0,false,no-candidates,,,,,,,,,,,
Master Police Officer Lois Marrero,Master Police Officer Lois Marrero Memorial Highway,Hillsborough,Not Found,Not Found,0.0,false,seq=5.8; last-mismatch:-4; le-missing:-50; fl-miss:-10; county-miss:-8; us:+5; nobility:-40,,,,,,,,,,,
Phoebe Jonchuck,Phoebe Jonchuck Memorial Bridge,Pinellas,Not Found,Not Found,0.0,false,no-candidates,,,,,,,,,,,
Purple Heart,Purple Heart Memorial Highway,Multiple Counties,Not Found,Not Found,7.0,false,seq=19.2; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,,
Rosa Maria Plasencia,Rosa Maria Plasencia Way,Miami-Dade,Not Found,Not Found,23.1,false,seq=7.1; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8,,,,,,,,,,,
"Slaughter, Read, Ramirez, Lindsey","Slaughter, Read, Ramirez, Lindsey Memorial Highway",Gilchrist,https://en.wikipedia.org/wiki/Joaquin_Phoenix,Found,27.0,true,seq=4.2; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5,"Joaquin Rafael Phoenix is an American actor born on October 28, 1974, in San Juan, Puerto Rico. He is renowned for his intense performances in films like Gladiator (2000), Walk the Line (2005), and Joker (2019), the latter earning him an Academy Award for Best Actor. Rising from a challenging childhood in a nomadic family, Phoenix became one of Hollywood’s most respected actors, known for his method-acting dedication. His career spans over four decades, marked by critical acclaim, activism, and a reputation for choosing unconventional roles that push artistic boundaries.",,1974-10-28,,"San Juan, Puerto Rico, United States",not found,male,no,yes,no,yes
