name,original_designation,county,wikipedia_url,status,match_confidence,validated,validation_notes,summary,education,dob,dod,place_of_birth,place_of_death,gender,involved_in_sports,involved_in_politics,involved_in_military,involved_in_music
Paul Smith,Sergeant Paul Smith Memorial Highway,Hillsborough,https://en.wikipedia.org/wiki/David_Smith_%28Florida_politician%29,Found,39.3,true,seq=13.3; mil:+15; fl:+10; county-miss:-8; us:+5,"David Smith is a Florida-based politician known for his service in the Florida House of Representatives. He also had a notable military career, contributing to his public service background. Details about his birth and death dates are not widely documented in the provided content. His political and military involvement marks his significance in Florida's public sector history.",,,,not found,not found,male,no,yes,yes,no
Marvin L. Roberts,Sergeant Marvin L. Roberts Memorial Highway,Lake,https://en.wikipedia.org/wiki/Marvin_Opler,Found,28.8,true,seq=13.8; last-mismatch:-4; mil:+15; fl-miss:-10; county:+8,"Marvin Opler (1914–1981) was an American anthropologist and social psychiatrist known for his ethnographic work and contributions to understanding cultural dynamics. He conducted significant research on Japanese-American internment camps during World War II, documenting the psychological and social impacts on detainees. Opler also pioneered the field of social psychiatry, integrating anthropology with mental health studies to address cultural influences on behavior. His work remains influential in both anthropology and psychiatric research, bridging gaps between cultural studies and clinical practice.","['University of Buffalo, Bachelor of Arts (BA)', 'University of Chicago, Doctor of Philosophy (PhD) in Anthropology']",1914-01-01,1981-01-01,"Buffalo, New York, United States",not found,male,no,no,no,no
Alexander Miller,Specialist Alexander Miller Memorial Highway,Lake,https://en.wikipedia.org/wiki/Billy_Mitchell,Found,4.0,true,seq=8.0; last-mismatch:-4; mil:+15; fl-miss:-10; county-miss:-8; us:+5,"William 'Billy' Mitchell was born on December 29, 1879, and died on February 19, 1936. He was a United States Army general who became a pioneering advocate for air power and military aviation. Mitchell is best known for demonstrating the capability of aircraft to sink battleships during Project B in 1921, challenging traditional naval warfare doctrines. His outspoken advocacy for an independent air force led to his court-martial in 1925, though he was later posthumously honored for his visionary contributions to modern aerial combat.","['George Washington University, no degree (attended)', 'Columbian College (now George Washington University), law studies']",1879-12-29,1936-02-19,"Nice, Alpes-Maritimes, France","New York City, New York, United States",male,no,no,yes,no
Chris Daniels,Sheriff Chris Daniels Memorial Highway,Lake,https://en.wikipedia.org/wiki/Ben_Daniels_%28pioneer%29,Found,14.3,true,seq=13.3; le:+15; fl-miss:-10; county-miss:-8,"Ben Daniels was an American pioneer, lawman, and military figure born in 1852. He gained prominence as a law enforcement officer in Dodge City, Kansas, and later served as a United States Marshal for the Territory of Arizona. Daniels was also a member of the Rough Riders during the Spanish-American War and played a role in the Gray County War. His career spanned frontier law enforcement, military service, and political appointments, marking him as a notable figure in late 19th-century American history.",,1852-01-01,,not found,not found,male,no,yes,yes,no
CK Steele,CK Steele Memorial Highway,Leon,https://en.wikipedia.org/wiki/Charles_Kenzie_Steele,Found,58.0,true,seq=12.0; human:+40; fl:+10; county-miss:-8,"Charles Kenzie Steele (1914–1980) was a prominent American civil rights leader and pastor who played a key role in the Tallahassee bus boycott of 1956. As president of the Tallahassee chapter of the NAACP and a close associate of Martin Luther King Jr., he advocated for racial equality through nonviolent protest. Steele also served as the first African American elected to the Tallahassee City Commission in 1965, marking a historic political milestone. His leadership in the civil rights movement left a lasting legacy in Florida and beyond.","['Morehouse College, Bachelor of Arts', 'Gamble Theological Seminary, Bachelor of Divinity']",1914-01-01,1980-09-19,"Bluefield, West Virginia, United States","Tallahassee, Florida, United States",male,no,yes,no,no
Tony Forgione,Deputies Tony Forgione and Bill Myers Memorial Bridge,Okaloosa,https://en.wikipedia.org/wiki/Donny_Osmond,Found,32.2,true,seq=11.2; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5,"Donny Osmond was born on December 9, 1957, in Ogden, Utah, USA, and is a renowned American singer, dancer, actor, and television personality. He rose to fame as a child star in the 1960s alongside his brothers as part of The Osmonds, later becoming a teen idol with solo hits like 'Puppy Love' and 'Go Away Little Girl.' Over his decades-long career, he achieved success in music, Broadway (e.g., Joseph and the Amazing Technicolor Dreamcoat), and television, including hosting Donny & Marie with his sister Marie Osmond. Osmond remains a cultural icon, recognized for his versatility and enduring contributions to entertainment across multiple generations.",,1957-12-09,,"Ogden, Utah, United States",not found,male,no,no,no,yes
Bill Myers,Deputies Tony Forgione and Bill Myers Memorial Bridge,Okaloosa,https://en.wikipedia.org/wiki/Brett_Myers,Found,19.3,true,seq=13.3; fl:+10; county-miss:-8,"Brett Myers was born on August 17, 1980, in Jacksonville, Florida, and is a former professional baseball pitcher. He played 12 seasons in Major League Baseball (MLB), primarily for the Philadelphia Phillies, where he became known for his versatility as both a starter and closer. Myers was a key contributor to the Phillies' 2008 World Series championship team, recording a 4.55 ERA over his career with 1,323 strikeouts. After retiring in 2014, he left a legacy as one of the Phillies' most durable pitchers of the 2000s era.",,1980-08-17,,"Jacksonville, Florida, United States",not found,male,yes,no,no,no
John B. Arnold,"John B. Arnold, Jr., Memorial Highway",Okaloosa,https://en.wikipedia.org/wiki/Grandison_Gardner,Found,19.7,true,seq=7.7; last-mismatch:-4; fl:+10; county:+8,"Grandison Gardner was an American military officer born on March 29, 1918, in New York City, USA. He served as a pilot in the United States Army Air Forces during World War II and was notably involved in Operation Aphrodite, a dangerous mission using radio-controlled B-17 bombers packed with explosives. Gardner survived a crash during this operation in 1944, earning recognition for his bravery and service. He passed away on October 12, 2000, leaving behind a legacy tied to aviation and military innovation.","['United States Military Academy (West Point), Bachelor of Science, 1940']",1918-03-29,2000-10-12,"New York City, New York, USA",not found,male,no,no,yes,no
R.C. Sproul,Dr. R.C. Sproul Way,Seminole,https://en.wikipedia.org/wiki/Bruce_Waltke,Found,48.0,true,seq=7.0; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Bruce K. Waltke (born 1930) is an American biblical scholar and Old Testament professor known for his expertise in Hebrew exegesis and wisdom literature. He authored influential works like An Old Testament Theology and co-wrote An Introduction to Biblical Hebrew Syntax, shaping modern evangelical scholarship. Waltke taught at institutions such as Dallas Theological Seminary, Regent College, and Reformed Theological Seminary over his decades-long academic career. His contributions to biblical interpretation and theological education have cemented his legacy as a leading conservative evangelical theologian of the 20th and 21st centuries.","['Dallas Theological Seminary, Th.M. (Master of Theology)', 'Dallas Theological Seminary, Th.D. (Doctor of Theology)', 'Harvard University, Postgraduate Studies (Hebrew and Semitic Languages)']",1930-01-01,,not found,not found,male,no,no,no,no
David G. Ledgerwood,David G. Ledgerwood Memorial Highway,Volusia,https://en.wikipedia.org/wiki/Judy_Ledgerwood,Found,45.1,true,seq=14.1; human:+40; fl-miss:-10; county-miss:-8; us:+5,"Judy Ledgerwood is a contemporary American artist known for her vibrant abstract paintings and large-scale installations. Born in 1959, she gained recognition for her exploration of color, pattern, and spatial relationships, evolving through distinct phases including landscape-inspired works and circular motifs. Her art is featured in major collections such as the Metropolitan Museum of Art and the Art Institute of Chicago. Ledgerwood has also created site-specific wall paintings and contributed to the discourse on abstraction in modern art.","['The School of the Art Institute of Chicago, BFA', 'The School of the Art Institute of Chicago, MFA']",1959-01-01,,not found,not found,female,no,no,no,no
Thomas A. Wright,Rev. Dr. Thomas A. Wright Boulevard,Alachua,https://en.wikipedia.org/wiki/Thomas_A._Wright_Sr.,Found,36.8,true,seq=17.8; last-mismatch:-4; rel:+15; fl:+10; county-miss:-8,"Thomas A. Wright Sr. was an African American religious leader, educator, and military veteran born in 1898. He served in the U.S. military during World War I and later became a prominent minister and activist in the Church of God in Christ (COGIC). Wright was also known for his contributions to religious education and community leadership, particularly in the early-to-mid 20th century. His legacy includes advocacy for civil rights and spiritual mentorship within his religious community.","['Elementary education (specific institution not listed)', 'Religious education (Church of God in Christ)']",1898-01-01,,not found,not found,male,no,no,yes,no
Candice Ellize Francois,Candice Ellize Francois Street,Broward,Not Found,Not Found,0.0,false,no-candidates,,,,,,,,,,,
Governor Mixson,Governor Mixson Highway,Jackson,https://en.wikipedia.org/wiki/Wayne_Mixson,Found,77.9,true,seq=11.9; human:+40; pol:+15; fl:+10; county-miss:-8; us:+5,"Wayne Mixson was born on June 16, 1922, in New Brockton, Alabama, and passed away on July 10, 2020. He was an American politician who served as the 39th Governor of Florida for three days in January 1987, following the resignation of Governor Bob Graham. Prior to his brief gubernatorial term, Mixson had a long career in the Florida State Legislature, including roles in both the House of Representatives and the Senate. He was also a prominent figure in Florida’s agricultural community, notably through his involvement with the Florida Farm Bureau and his service in the U.S. Navy during World War II.","['University of Florida, Bachelor of Science in Agriculture (1949)', 'University of Florida, Juris Doctor (1951)']",1922-06-16,2020-07-10,"New Brockton, Alabama, United States","Tallahassee, Florida, United States",male,no,yes,yes,no
John U. Lloyd,John U. Lloyd Bridge,Broward,https://en.wikipedia.org/wiki/John_O%27Hurley,Found,72.3,true,seq=12.3; last-mismatch:-4; human:+40; fl:+10; county:+8,"John O'Hurley is an American actor, voice artist, and television personality born on October 9, 1954. He is best known for his role as J. Peterman on the hit sitcom Seinfeld (1995–1998), which earned him widespread recognition. O'Hurley also gained fame as a contestant on Dancing with the Stars (2005), finishing as the runner-up, and later hosted game shows like Family Feud and To Tell the Truth. Beyond acting, he has contributed to voice work in animated series and films, establishing himself as a versatile entertainer in television and media.",,1954-10-09,,"Kittery, Maine, United States",not found,male,no,no,no,no
Wilbur Barry,Wilbur Barry Highway,Escambia,https://en.wikipedia.org/wiki/Dan_Mullen,Found,47.0,true,seq=1.8; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Dan Mullen is an American football coach born April 27, 1972, known for his successful career as a head coach in college football. He gained prominence as the head coach of the Mississippi State Bulldogs (2009–2017) and the Florida Gators (2018–2021), leading teams to multiple bowl game victories and SEC Championship contention. Mullen also played quarterback at Ursinus College and began his coaching career as an assistant at various programs, including Notre Dame and Utah. His innovative offensive strategies and player development, particularly with quarterbacks like Dak Prescott and Tim Tebow, cemented his reputation as a top-tier coach in collegiate athletics.","[""Ursinus College, Bachelor's Degree"", 'University of Notre Dame (graduate assistant)']",1972-04-27,,"Drexel Hill, Pennsylvania, United States",not found,male,yes,no,no,no
Helen Gordon Davis,Helen Gordon Davis Boulevard,Hillsborough,https://en.wikipedia.org/wiki/Helen_Aguirre_Ferr%C3%A9,Found,18.7,true,seq=9.7; last-mismatch:-4; fl:+10; county-miss:-8; us:+5,"Helen Aguirre Ferré is a political strategist and communications expert known for her work in Republican politics. She gained prominence for her early criticism of Donald Trump during his 2016 presidential campaign while serving as the Director of Hispanic Communications for the Republican National Committee (RNC). Later, she joined the Trump administration as the White House Director of Media Affairs in 2017, where she played a key role in shaping the administration’s messaging. Her career reflects a significant influence in U.S. political communications, particularly in bridging conservative policies with Hispanic communities.","['University of Miami, Bachelor of Arts in Political Science and Communications', 'Georgetown University, Master of Arts in Government']",,,not found,not found,female,no,yes,no,no
A. Hagood Ellzey,Deputy A. Hagood Ellzey Memorial Highway,Levy,Not Found,Not Found,0.0,false,no-candidates,,,,,,,,,,,
Trooper Patrick Ambroise,Trooper Patrick Ambroise Memorial Highway,Miami-Dade,https://en.wikipedia.org/wiki/List_of_U.S._police_officers_killed_in_2010,Found,0.0,true,seq=5.4; last-mismatch:-4; le:+15; fl-miss:-10; county-miss:-8; us:+5; nobility:-40,"This content references a Wikipedia list documenting U.S. police officers who died in the line of duty during the year 2010. The page catalogs incidents involving law enforcement fatalities, including causes such as gunfire, vehicle accidents, and other duty-related events. It serves as a historical record of sacrifices made by officers across various states and agencies. No individual biographical details are provided in the shared excerpt.",,,,not found,not found,not found,no,yes,no,no
Christopher Smith,Deputy Christopher Smith Memorial Highway,Multiple Counties,https://en.wikipedia.org/wiki/Laurie_Smith,Found,13.4,true,seq=12.4; le:+15; fl-miss:-10; county-miss:-8,"Laurie Smith is an American law enforcement professional who served as the Sheriff of Santa Clara County, California, from 1998 to 2022. Beginning her career in 1973 as a deputy sheriff, she rose through the ranks to become the county's first female sheriff, overseeing one of the largest sheriff's offices in the state. Her tenure included notable reforms and controversies, particularly around jail conditions and inmate welfare. Smith's leadership marked a significant period in the county's law enforcement history, though her later years faced scrutiny over management practices.",,,,not found,not found,female,no,yes,no,no
Rep. J. Troy Peacock,Rep. J. Troy Peacock Bridge,Jackson,https://en.wikipedia.org/wiki/Wankard_Pooser,Found,42.0,true,seq=4.7; last-mismatch:-4; human:+40; fl:+10; county-miss:-8,"Wankard Pooser is a historical figure with limited available biographical information. No specific birth or death dates, notable achievements, profession, or historical significance are documented in the provided content. The name appears in Wikipedia but lacks detailed context or background. Further research would be required to determine their life events or contributions.",,,,not found,not found,not found,no,no,no,no
Benedict J. Thomas,Lieutenant Benedict J. Thomas Memorial Highway,Hillsborough,https://en.wikipedia.org/wiki/Plantation%2C_Florida,Found,7.0,true,seq=3.2; last-mismatch:-4; fl:+10; county-miss:-8; us:+5,"The provided content describes Plantation, Florida, a city rather than an individual, so no biographical details about a person are available. Plantation was developed through land drainage projects starting in the late 19th century and saw initial growth between 1931 and 1952. It is a planned suburban community in Broward County, known for its residential and commercial areas. The content does not pertain to a person’s life, achievements, or historical significance.",,,,not found,not found,not found,no,no,no,no
Trooper John C. Hagerty,Trooper John C. Hagerty Memorial Highway,Polk,https://en.wikipedia.org/wiki/AMC_Javelin,Found,2.0,true,seq=3.5; last-mismatch:-4; le:+15; fl-miss:-10; county-miss:-8; us:+5,"The AMC Javelin was a two-door pony car produced by American Motors Corporation (AMC) from 1967 to 1974. It was designed to compete with other muscle cars of the era like the Ford Mustang and Chevrolet Camaro, featuring bold styling and performance-oriented options. The Javelin achieved notable success in motorsports, including Trans-Am racing, where it secured multiple victories in the late 1960s and early 1970s. Though discontinued in 1974 due to changing market demands, it remains a cult classic among American automotive enthusiasts for its unique design and racing heritage.",,,,not found,not found,not found,yes,no,no,no
Trooper Joseph Sawtell Jr,Trooper Joseph Sawtell Jr. Memorial Highway,Brevard,https://en.wikipedia.org/wiki/List_of_film_director%E2%80%93composer_collaborations,Found,0.0,true,seq=6.9; last-mismatch:-4; le-missing:-50; fl-miss:-10; county-miss:-8; nobility:-40,"The provided content does not contain biographical information about a specific individual. It appears to be a Wikipedia navigation sidebar and header for a page titled 'List of film director–composer collaborations.' No details about birth, death, profession, or achievements of any person are included. The page likely lists collaborations between film directors and composers but does not focus on a single individual. Therefore, no biographical summary can be generated from this content.",,,,not found,not found,not found,no,no,no,no
Steven G. Greco,Sergeant Steven G. Greco Memorial Highway,Broward,https://en.wikipedia.org/wiki/United_States_in_World_War_I,Found,2.5,true,seq=6.5; last-mismatch:-4; mil:+15; fl-miss:-10; county-miss:-8; us:+5,"The provided content does not contain biographical information about an individual but instead references the Wikipedia page for the United States' involvement in World War I. This historical topic covers neutrality, public opinion, and military preparedness during the 1914–1918 conflict. The U.S. officially entered the war in 1917 after maintaining neutrality for three years. The page outlines political, social, and military dimensions of America's role in the global conflict.",,,,not found,not found,not found,no,no,no,no
"George A. Brown, III","Sergeant George A. Brown, III Memorial Highway",Columbia,https://en.wikipedia.org/wiki/Navy_Cross,Found,2.0,true,seq=4.0; last-mismatch:-4; mil:+15; fl-miss:-10; county-miss:-8; us:+5,"The Navy Cross is the United States Navy and Marine Corps' second-highest military decoration awarded for extraordinary heroism. Established on February 4, 1919, it is awarded to members of the U.S. Naval Service who distinguish themselves in combat by displaying exceptional courage and valor. The medal's design features a bronze cross with anchors and laurel wreaths, symbolizing naval tradition and honor. It holds historical significance as one of the most prestigious awards for bravery in U.S. military history.",,,,not found,not found,not found,no,no,yes,no
Trooper Bradley S. Glascock,Trooper Bradley S. Glascock Memorial Highway,Miami-Dade,https://en.wikipedia.org/wiki/List_of_bass_guitarists,Found,0.0,true,seq=8.0; last-mismatch:-4; le-missing:-50; fl-miss:-10; county-miss:-8; nobility:-40,"This content is a Wikipedia navigation page titled 'List of bass guitarists' rather than a biography of a specific individual. It provides links to lists of musicians who play the bass guitar across various genres and time periods. The page itself does not contain biographical details, birth/death dates, or achievements of any single person. It serves as a directory for further exploration of bass guitarists globally.",,,,not found,not found,not found,no,no,no,no
Trooper Lindell J. Gibbons,Trooper Lindell J. Gibbons Memorial Highway,Collier,https://en.wikipedia.org/wiki/List_of_wrongful_convictions_in_the_United_States,Found,0.0,true,seq=5.3; last-mismatch:-4; le-missing:-50; fl-miss:-10; county-miss:-8; us:+5; nobility:-40,"This content is a Wikipedia page listing wrongful convictions in the United States, categorized by time periods such as 'Before 1900' and '1900s.' It does not pertain to a specific individual but rather documents cases where people were falsely accused or convicted of crimes. The page serves as a historical record highlighting systemic issues in the justice system. No biographical details about a single person are provided in the given content.",,,,not found,not found,not found,no,no,no,no
Trooper Robert P. McDermon,Trooper Robert P. McDermon Memorial Highway,Duval,Not Found,Not Found,0.0,false,no-candidates,,,,,,,,,,,
Robert L. Shevin,Robert L. Shevin Way,Miami-Dade,https://en.wikipedia.org/wiki/Bob_Graham,Found,55.2,true,seq=6.2; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Bob Graham was born on November 9, 1936, in Coral Gables, Florida. He served as the 38th Governor of Florida from 1979 to 1987 and later as a U.S. Senator from Florida from 1987 to 2005. Known for his 'workdays' program, where he worked alongside everyday Floridians in various jobs, Graham became a prominent figure in Democratic politics. His career also included a brief run for the 2004 Democratic presidential nomination before withdrawing and endorsing John Kerry.","['University of Florida, Bachelor of Science in Political Science (1959)', 'Harvard Law School, Juris Doctor (1962)']",1936-11-09,,"Coral Gables, Florida, United States",not found,male,no,yes,no,no
Cleo L. Tomlinson,"Trooper Merle J. Cook, Trooper Robert L. Pruitt, Trooper Cleo L. Tomlinson, Jr. Memorial Highway",St. Johns,https://en.wikipedia.org/wiki/African-American_LGBTQ_community,Found,2.5,true,seq=6.5; last-mismatch:-4; le:+15; fl-miss:-10; county-miss:-8; us:+5,"This content describes the African-American LGBTQ community rather than an individual biography. It highlights historical milestones like the Harlem Renaissance and the Stonewall Riots, where Black LGBTQ figures played pivotal roles in cultural and civil rights movements. The community's contributions span arts, activism, and social change, with notable events shaping modern LGBTQ+ identity. No specific birth, death, or personal details are provided as this is a collective historical overview.",,,,not found,not found,not found,no,no,no,no
Trooper Luther P. Daniel,Trooper Luther P. Daniel Memorial Highway,Miami-Dade,https://en.wikipedia.org/wiki/Martin_Luther_King_Jr.,Found,0.0,true,seq=8.7; last-mismatch:-4; le-missing:-50; fl-miss:-10; county-miss:-8; us:+5,"Martin Luther King Jr. was born on January 15, 1929, in Atlanta, Georgia, and became one of the most prominent leaders in the American civil rights movement. A Baptist minister and activist, he is best known for advancing civil rights through nonviolent resistance, inspired by his Christian beliefs and Mahatma Gandhi’s teachings. His iconic 1963 'I Have a Dream' speech and leadership in campaigns like the Montgomery Bus Boycott and March on Washington cemented his legacy as a pivotal figure in U.S. history. King was assassinated on April 4, 1968, in Memphis, Tennessee, but his work earned him the Nobel Peace Prize in 1964 and enduring global recognition as a symbol of justice and equality.","['Morehouse College, B.A. in Sociology (1948)', 'Crozer Theological Seminary, Bachelor of Divinity (1951)', 'Boston University, Ph.D. in Systematic Theology (1955)']",1929-01-15,1968-04-04,"Atlanta, Georgia, United States","Memphis, Tennessee, United States",male,no,yes,no,no
William T. Bishop,Sergeant William T. Bishop Memorial Highway,Alachua,https://en.wikipedia.org/wiki/United_States_Navy_SEALs,Found,2.0,true,seq=2.9; last-mismatch:-4; mil:+15; fl-miss:-10; county-miss:-8; us:+5,"The provided content describes the United States Navy SEALs, an elite special operations force of the U.S. Navy, rather than an individual biography. Established in 1962 under President John F. Kennedy, the SEALs trace their origins to World War II units like the Scouts and Raiders and Naval Combat Demolition Units. They are renowned for high-risk missions, including counterterrorism, reconnaissance, and direct action, with notable operations like the killing of Osama bin Laden in 2011. As a military unit, the SEALs have played a pivotal role in modern warfare and global security operations.",,,,not found,not found,not found,no,no,yes,no
Trooper Halley Strickland,Trooper Halley Strickland Memorial Highway,Brevard,https://en.wikipedia.org/wiki/2012_Queen%27s_Birthday_Honours_%28Australia%29,Found,0.0,true,seq=3.0; last-mismatch:-4; le-missing:-50; fl-miss:-10; county-miss:-8,"The provided content is a Wikipedia navigation page for the 2012 Queen's Birthday Honours (Australia) list, not a biographical entry. It does not contain details about any specific individual, such as birth/death dates, achievements, or profession. The page outlines categories of awards like Companion (AC) and Officer (AO) within the Order of Australia. No personal biographical data is available in this excerpt.",,,,not found,not found,not found,no,no,no,no
"Martin Luther King, Jr","Martin Luther King, Jr., Boulevard",Brevard,https://en.wikipedia.org/wiki/Martin_Luther_King_station,Found,19.8,true,seq=15.8; last-mismatch:-4; fl:+10; county-miss:-8,"The provided content does not contain biographical information about a person but instead describes a Wikipedia page for 'Martin Luther King station,' likely a transit station named after Martin Luther King Jr. No personal details such as birth, death, profession, or achievements are included in the snippet. The page appears to be a stub or placeholder without substantive content about an individual. For accurate biographical data, a dedicated page about Martin Luther King Jr. would be required.",,,,not found,not found,not found,no,no,no,no
