name,original_designation,county,candidate_title,match_confidence,validation_notes
A.B. Michael,A.B. Michael Bridges,Indian River,Michael Jordan,51.8,seq=10.8; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Archibald Johns Thomas,Archibald Johns Thomas Bridge,Bradford,Archibald Hastie,53.7,seq=13.7; last-mismatch:-4; human:+40; fl-miss:-10; county:+8
Austin D. Gay,Austin D. Gay Memorial Highway,Columbia,Terrence McNally,47.0,seq=2.8; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Chief Lynne Nungesser,Deputy Chief Lynne Nungesser Memorial Highway,Brevard,2021 in the United States,2.1,seq=6.1; last-mismatch:-4; le:+15; fl-miss:-10; county-miss:-8; us:+5
Donald Ray Cook,Deputy Donald Ray Cook Memorial Highway,Escambia,Warren Evans,42.0,seq=3.0; last-mismatch:-4; human:+40; le:+15; fl-miss:-10; county-miss:-8; us:+5
Sheriff David Anthony Abella,Deputy Sheriff David Anthony Abella Memorial Highway,Hillsborough,List of breweries in Illinois,0.0,seq=6.3; last-mismatch:-4; le-missing:-50; fl-miss:-10; county-miss:-8; us:+5; nobility:-40
Harriet Tubman,Harriet Tubman Highway/U.S. 1/S.R. 5,Miami-Dade,Janet Reno,49.3,seq=8.3; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
J.D. Turner,J.D. Turner Highway,Multiple Counties,Trea Turner,63.7,seq=12.7; human:+40; fl:+10; county-miss:-8; us:+5
John B. Coxwell,John B. Coxwell Memorial Highway,Duval,Henry Tracey Coxwell,38.6,seq=12.6; human:+40; fl-miss:-10; county-miss:-8
John C. Gainous,John C. Gainous Memorial Highway,Gulf,Mike Dow,27.0,seq=1.7; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
Joshua S. Montaad,Joshua S. Montaad Memorial Highway,Taylor,,0.0,no-candidates
Master Police Officer Lois Marrero,Master Police Officer Lois Marrero Memorial Highway,Hillsborough,List of Puerto Ricans,0.0,seq=5.8; last-mismatch:-4; le-missing:-50; fl-miss:-10; county-miss:-8; us:+5; nobility:-40
Phoebe Jonchuck,Phoebe Jonchuck Memorial Bridge,Pinellas,,0.0,no-candidates
Purple Heart,Purple Heart Memorial Highway,Multiple Counties,Plies (rapper),48.1,seq=7.1; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Rosa Maria Plasencia,Rosa Maria Plasencia Way,Miami-Dade,Fabian von Schlabrendorff,23.1,seq=7.1; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8
"Slaughter, Read, Ramirez, Lindsey","Slaughter, Read, Ramirez, Lindsey Memorial Highway",Gilchrist,Joaquin Phoenix,27.0,seq=4.2; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
Trooper Joseph Bullock,Trooper Joseph Bullock Memorial Highway,Martin,William Haade,42.0,seq=2.3; last-mismatch:-4; human:+40; le:+15; fl-miss:-10; county-miss:-8; us:+5
Wesley L. Silas,Wesley L. Silas Memorial Highway,Suwannee,Diplo,27.0,seq=2.0; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
Willis V. Rowan,Willis V. Rowan Memorial Highway,Gulf,John Augustine Collins,38.0,seq=5.4; last-mismatch:-4; human:+40; fl-miss:-10; county:+8
Harriet Tubman,Harriet Tubman Highway/State Road 909,Miami-Dade,Janet Reno,49.3,seq=8.3; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Patrolman Leroy Bender,Patrolman Leroy Bender Memorial Highway,Seminole,Whitey Morgan and the 78's,0.0,seq=6.7; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5
Officer James Ronco,Officer James Ronco Memorial Highway,Hillsborough,Peter A. McCullough,27.3,seq=6.3; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
Coach Jeff Sommer,Coach Jeff Sommer Memorial Highway,Lee,Coleen Sommer,60.3,seq=13.3; human:+40; fl-miss:-10; county:+8; us:+5
Corporal Joseph R. Bertrand,Corporal Joseph R. Bertrand Memorial Highway,Lee,Ludwig Wittgenstein,27.0,seq=4.3; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
KMI Kentucky Military Institute,KMI Kentucky Military Institute Bridge,Sarasota,Kentucky Military Institute,37.0,seq=18.6; mil:+15; fl:+10; county-miss:-8
"Joe Anderson, Jr","Joe Anderson, Jr. Memorial Highway",Multiple Counties,Kenny Anderson (basketball),54.3,seq=13.3; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
David W. Moss,David W. Moss Memorial Highway,Levy,Perry Moss,59.7,seq=8.7; human:+40; fl:+10; county-miss:-8; us:+5
Joe C. Peavy,Joe C. Peavy Highway,Madison,Madison Bumgarner,43.0,seq=2.8; last-mismatch:-4; human:+40; fl-miss:-10; county:+8; us:+5
Private First Class Joey Moody,Private First Class Joey Moody Bridge,Taylor,Tim Tebow,47.0,seq=4.1; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Francis Gibbs,Francis Gibbs Memorial Highway,Nassau,TaRanda Greene,48.4,seq=7.4; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Emmitt G. Coakley,Emmitt G. Coakley Memorial Highway,Nassau,2003 Dallas Cowboys season,0.0,seq=4.7; last-mismatch:-4; fl-miss:-10; county-miss:-8
Julia Munroe Woodward,Julia Munroe Woodward Highway,Gadsden,Ida Tarbell,27.2,seq=6.2; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
"Trooper James Herbert Fulford, Jr","Trooper James Herbert Fulford, Jr., Memorial Highway",Jefferson,List of people from Texas,0.0,seq=4.1; last-mismatch:-4; le-missing:-50; fl-miss:-10; county-miss:-8; nobility:-40
Danny A. Pino,Danny A. Pino Way,Leon,Danny Pino,47.0,seq=17.4; human:+40; fl-miss:-10; county-miss:-8; us:+5
Mayor Randall Wise,Mayor Randall Wise Memorial Highway,Okaloosa,Randall Franks,32.2,seq=11.2; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
C. Wayne Ansley,C. Wayne Ansley Highway,Okaloosa,Jim DeBerry,47.0,seq=3.1; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Wendell Hall,Sheriff Wendell Hall Highway ,Santa Rosa,Jeff Van Camp Sr.,62.0,seq=5.5; last-mismatch:-4; human:+40; le:+15; fl:+10; county-miss:-8; us:+5
Kimberly Ann Hurd,Kimberly Ann Hurd Memorial Highway,Broward,Michelle Hurd,41.7,seq=10.7; human:+40; fl-miss:-10; county-miss:-8; us:+5
Debra Clayton,Lieutenant Debra Clayton Memorial Highway,Orange,Debbie Wasserman Schultz,50.7,seq=9.7; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Bessie Coleman,Bessie Coleman Street,Orange,Bessie Coleman,47.0,seq=20.0; human:+40; fl-miss:-10; county-miss:-8; us:+5
Carmelau Monestime,Carmelau Monestime Street,Miami‐Dade,Carmelau Monestime,67.0,seq=20.0; human:+40; fl:+10; county-miss:-8; us:+5
Clifford Garfield O’Connor,Dr. Clifford Garfield O’Connor Street,Miami‐Dade,Woody Allen,27.0,seq=3.2; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
Jessie Trice,Jessie Trice Way,Miami‐Dade,Lee Roy Selmon,48.7,seq=7.7; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Luis Fernando Brande,Luis Fernando Brande Street,Miami‐Dade,Music of Spain,0.0,seq=4.7; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5; nobility:-40
Ralph Sanchez,Ralph Sanchez Way,Miami‐Dade,Jaime Sánchez (actor),48.3,seq=12.3; last-mismatch:-4; human:+40; fl:+10; county-miss:-8
Robert L. Shevin,Robert L. Shevin Memorial Boulevard,Miami‐Dade,James Uthmeier,47.0,seq=2.7; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Isaiah S. Williams,"Bishop Isaiah S. Williams, Jr., Street",Miami‐Dade,"Isaiah Williams (wide receiver, born 2001)",47.0,seq=18.2; human:+40; fl-miss:-10; county-miss:-8; us:+5
Ronald A. Silver,Ronald A. Silver Drive,Miami‐Dade,Ron Silver (politician),66.4,seq=15.4; human:+40; fl:+10; county-miss:-8; us:+5
Georgia Ayers,Georgia Ayers Way,Miami‐Dade,Jeremy Ayers,43.8,seq=12.8; human:+40; fl-miss:-10; county-miss:-8; us:+5
Phares Duverne,Phares Duverne Highway,Miami‐Dade,2001 Haitian coup attempt,0.0,seq=3.1; last-mismatch:-4; fl-miss:-10; county-miss:-8
Carl Mertes,Sergeant Carl Mertes Street,Miami‐Dade,Zeiss (company),0.0,seq=5.0; last-mismatch:-4; mil-missing:-50; fl-miss:-10; county-miss:-8; pre1900:-35
Stanley G. Tate,Stanley G. Tate Boulevard,Miami‐Dade,Stanley G. Tate,67.0,seq=20.0; human:+40; fl:+10; county-miss:-8; us:+5
Jacob Fleishman,Jacob Fleishman Street,Miami‐Dade,Wayne Odesnik,47.0,seq=5.7; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Miami Springs,Miami Springs Boulevard,Miami‐Dade,"Miami Springs, Florida",23.9,seq=14.9; last-mismatch:-4; fl:+10; county-miss:-8; us:+5
Guillermo Zamora,Guillermo Zamora Boulevard,Miami‐Dade,Guillermo Paiva,39.5,seq=15.5; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8
Rene Ledesma,Rene Ledesma Way,Miami‐Dade,RJ Ledesma,42.0,seq=16.4; human:+40; fl-miss:-10; county-miss:-8
U.S. Army Sergeant Amaru Aguilar‐Borgen,"U.S. Army Sergeant Amaru Aguilar‐Borgen Memorial Highway
",Miami‐Dade,,0.0,no-candidates
Larcenia Bullard,Larcenia Bullard Way,Miami‐Dade,Larcenia Bullard,67.0,seq=20.0; human:+40; fl:+10; county-miss:-8; us:+5
Reverend John A. Ferguson,Reverend John A. Ferguson Street,Miami‐Dade,John Adikes Bond,64.8,seq=8.8; last-mismatch:-4; human:+40; rel:+15; fl:+10; county-miss:-8; us:+5
Robert M. Levy,Robert M. Levy Memorial Boulevard,Miami‐Dade,David Levy Yulee,47.7,seq=6.7; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Lourdes Guzman‐DeJeus,Lourdes Guzman‐DeJeus Street,Miami‐Dade,Battle of the Brains (Philippine game show),0.0,seq=3.9; last-mismatch:-4; fl-miss:-10; county-miss:-8; nobility:-40
Herman Echevarria,Herman Echevarria Way,Miami‐Dade,Manuel Antonio de Rivas,23.0,seq=7.0; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8
Belen Presidents,Belen Presidents Way,Miami‐Dade,Manny Diaz (Florida politician),47.0,seq=4.6; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Betty Pino,Betty Pino Way,Miami‐Dade,Mary Joe Fernández,47.0,seq=4.3; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Muhammad Ali,Muhammad Ali Boulevard,Miami‐Dade,Laila Ali,62.4,seq=11.4; human:+40; fl:+10; county-miss:-8; us:+5
Nelson Mandela,Nelson Mandela Boulevard,Miami‐Dade,Donna Shalala,49.9,seq=8.9; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Indian Key Irving R. Eyster,Indian Key Irving R. Eyster Bridge,Monroe,List of district attorneys in the United States,0.0,seq=5.4; last-mismatch:-4; fl-miss:-10; county-miss:-8; nobility:-40
Irene U. Hooper,Irene U. Hooper Memorial Bridges,Monroe,Irene DeLaby,59.4,seq=10.4; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Gulf Coast,Gulf Coast Highway,Pasco,Nature Coast,34.7,seq=12.7; fl:+10; county:+8
Albert W. Gilchrist,Albert W. Gilchrist Bridge,Charlotte,Albert W. Gilchrist,67.0,seq=20.0; human:+40; fl:+10; county-miss:-8; us:+5
Tom Adams,Tom Adams Bridge,Charlotte,Bryan Adams,54.0,seq=12.0; human:+40; fl-miss:-10; county:+8
Judge S. S. Jolley,Judge S. S. Jolley Bridge,Collier,Kristi Noem,27.0,seq=1.4; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
S. Chesterfield Smith,S. Chesterfield Smith Bridge,DeSoto,S. Chesterfield Smith,67.0,seq=20.0; human:+40; fl:+10; county-miss:-8; us:+5
Mamie Langdale,Mamie Langdale Memorial Bridge,Glades,"Moore Haven, Florida",24.1,seq=7.1; last-mismatch:-4; fl:+10; county:+8; us:+5
Purple Heart,Purple Heart Memorial Highway,Highlands,Plies (rapper),48.1,seq=7.1; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Matanzas Pass,Matanzas Pass Bridge,Lee,Matanzas Pass Preserve,34.9,seq=14.9; last-mismatch:-4; fl:+10; county:+8
McGregor Boulevard State Historic,McGregor Boulevard State Historic Highway,Lee,McGregor Boulevard,19.1,seq=14.1; last-mismatch:-4; fl:+10; county:+8; nonperson:-15
Anna Maria Island,Anna Maria Island Bridge,Manatee,Anna Maria Island,43.0,seq=20.0; fl:+10; county:+8; us:+5
H. E. Boyd,H. E. Boyd Bridge,Manatee,Jim Boyd (politician),73.1,seq=11.1; human:+40; fl:+10; county:+8
Longboat Key,Longboat Key Bridge,Manatee,Ronna Romney,49.3,seq=8.3; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Palma Sola,Palma Sola Bridge,Manatee,Jennie Kidd Trout,42.0,seq=3.0; last-mismatch:-4; human:+40; fl:+10; county-miss:-8
Trooper Jeffery Dale Young,Trooper Jeffery Dale Young Memorial Bridge,Manatee,Amy Smart,0.0,seq=3.4; last-mismatch:-4; human:+40; le-missing:-50; fl-miss:-10; county-miss:-8; us:+5
American Legion,American Legion Memorial Highway,Multiple Counties,American Legion Hall,26.1,seq=17.1; last-mismatch:-4; fl:+10; county-miss:-8; us:+5
Bob Bentley,Bob Bentley Highway,Multiple Counties,Roy G Bentley,66.0,seq=15.0; human:+40; fl:+10; county-miss:-8; us:+5
Cecil M. Webb,Cecil M. Webb Highway,Multiple Counties,Ambrose Henry Webb,35.0,seq=9.0; human:+40; fl-miss:-10; county-miss:-8
Charlie Miner,Charlie Miner Memorial Highway,Multiple Counties,Kerwin Bell,47.7,seq=6.7; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Claude Pepper,Claude Pepper Memorial Highway,Multiple Counties,Claude Pepper,67.0,seq=20.0; human:+40; fl:+10; county-miss:-8; us:+5
E. C. Rowell,E. C. Rowell Highway,Multiple Counties,Marco Rubio,48.0,seq=7.0; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Purple Heart,Purple Heart Highway,Multiple Counties,Plies (rapper),48.1,seq=7.1; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Thomas W. Bryant,Thomas W. Bryant Highway,Multiple Counties,C. Farris Bryant,62.2,seq=11.2; human:+40; fl:+10; county-miss:-8; us:+5
Billy Bowlegs III,Billy Bowlegs III Bridge,Okeechobee,Billy Bowlegs III,67.0,seq=20.0; human:+40; fl:+10; county-miss:-8; us:+5
James A. Van Fleet,General James A. Van Fleet Bridge,Polk,James Van Fleet,67.0,seq=18.2; human:+40; fl:+10; county-miss:-8; us:+5
George W. Harris,"George W. Harris, Jr. Boulevard",Polk,George W. Bush,63.7,seq=14.7; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Heather Hurd,Heather Hurd Memorial Highway,Polk,Ron DeSantis,47.0,seq=5.0; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
John L. Robinson,John L. Robinson Highway,Polk,Samantha Robinson (American actress),63.1,seq=12.1; human:+40; fl:+10; county-miss:-8; us:+5
L. H. Recker,L. H. Recker Highway,Polk,Hans Reck,27.4,seq=11.4; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8
Lisle W. Smith,Lisle W. Smith Highway,Polk,William Lindsay (Kentucky politician),43.0,seq=4.1; last-mismatch:-4; human:+40; fl-miss:-10; county:+8; us:+5
Milton D. Wilson,Milton D. Wilson Highway,Polk,John P. Milton,49.0,seq=8.0; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
W.S. Badcock,W.S. Badcock Boulevard,Polk,"Mulberry, Florida",23.0,seq=2.8; last-mismatch:-4; fl:+10; county:+8; us:+5
William P. Langdon,William P. Langdon Highway,Polk,William Lowndes (congressman),62.3,seq=13.3; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
William R. Van Fleet,William R. Van Fleet Highway,Polk,James Van Fleet,64.7,seq=13.7; human:+40; fl:+10; county-miss:-8; us:+5
George Kumpe,Colonel George Kumpe Bridge,Sarasota,Frank S. Besson Jr.,27.0,seq=3.9; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
Gil Waters,Gil Waters Bridge,Sarasota,Nat Glover,49.0,seq=8.0; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Trooper Claude Baker,Trooper Claude Baker Memorial Highway,Sarasota,1964 Monson Motor Lodge protests,22.0,seq=3.1; last-mismatch:-4; le:+15; fl:+10; county-miss:-8; us:+5
Reverend Kenneth C. Crossman,Reverend Kenneth C. Crossman Bridge,Orange,Moon Landrieu,42.0,seq=2.9; last-mismatch:-4; human:+40; rel:+15; fl-miss:-10; county-miss:-8; us:+5
