Clean_Name,Primary Occupation,Race,Sex,Birth Date,Death Date,Wikipedia Link,Noah_Thinks_is_Real
Nelson Mandela,politician,,male,1918-07-18,2013-12-05,https://en.wikipedia.org/wiki/Nelson_Mandela,True
POW/MIA,,,,,,https://en.wikipedia.org/wiki/POW_bracelet,True
Gulf Coast,,,,,,https://en.wikipedia.org/wiki/Gulf_Coast_of_the_United_States,True
C. Bette Wimbish,lawyer,,female,1924-03-24,2009-11-30,https://en.wikipedia.org/wiki/C._Bette_Wimbish,True
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,True
Albert W. Gilchrist,politician,,male,1858-01-15,1926-05-15,https://en.wikipedia.org/wiki/Albert_W._Gilchrist,True
Babcock,,,,,,https://en.wikipedia.org/wiki/Babcock,False
Tom Adams,illustrator,,male,1926-03-29,2019-12-17,https://en.wikipedia.org/wiki/Tom_Adams_(illustrator),True
Frank,,,,,,https://en.wikipedia.org/wiki/Frank_(given_name),False
S. Chesterfield Smith,politician,,male,1896-01-13,,https://en.wikipedia.org/wiki/S._Chesterfield_Smith,True
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,True
Matanzas Pass,,,,,,https://ceb.wikipedia.org/wiki/Matanzas_Pass,False
McGregor,,,,,,https://en.wikipedia.org/wiki/McGregor_(surname),False
Anna Maria Island,,,,,,https://en.wikipedia.org/wiki/Anna_Maria_Island,True
H. E. Boyd,politician,,male,1888-02-23,1952-12-00,https://en.wikipedia.org/wiki/H._E._Boyd,True
Longboat Key,,,,,,"https://en.wikipedia.org/wiki/Longboat_Key,_Florida",True
Palma Sola,,,,,,"https://en.wikipedia.org/wiki/Palma_Sola,_Santa_Catarina",False
American Legion,,,,,,https://en.wikipedia.org/wiki/American_Legion,True
Citrus,,,,,,https://en.wikipedia.org/wiki/Citrus,True
Claude Pepper,politician,,male,1900-09-08,1989-05-30,https://en.wikipedia.org/wiki/Claude_Pepper,True
Coast to Coast,,,,,,https://en.wikipedia.org/wiki/Coast_to_Coast_(Westlife_album),False
DeSoto,,,,,,"https://en.wikipedia.org/wiki/DeSoto,_Texas",False
E. C. Rowell,politician,,male,1914-10-01,1992-09-14,https://en.wikipedia.org/wiki/E._C._Rowell,True
Florida Cracker,,,,,,https://en.wikipedia.org/wiki/Florida_cracker,True
Lawton Chiles,politician,,male,1930-04-03,1998-12-12,https://en.wikipedia.org/wiki/Lawton_Chiles,True
Martin,,,,,,https://en.wikipedia.org/wiki/Martin_(given_name),False
Paradise,,,,,,"https://en.wikipedia.org/wiki/Paradise,_Nevada",False
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,True
Ronald Reagan,television actor,white people,male,1911-02-06,2004-06-05,https://en.wikipedia.org/wiki/Ronald_Reagan,True
Swearingen,,,,,,https://commons.wikimedia.org/wiki/Category:Swearingen_(surname),False
Warfield,,,,,,https://commons.wikimedia.org/wiki/Category:Warfield_(surname),False
Billy Bowlegs III,,,male,1862-01-01,1965-01-01,https://en.wikipedia.org/wiki/Billy_Bowlegs_III,True
General James A. Van Fleet,,,,,,https://en.wikipedia.org/wiki/General_James_A._Van_Fleet_State_Trail,True
James Henry Mills,military personnel,,male,1923-05-02,1973-11-11,https://en.wikipedia.org/wiki/James_Henry_Mills,True
John L. Robinson,politician,,male,1813-05-03,1860-03-21,https://en.wikipedia.org/wiki/John_L._Robinson,False
Circus,,,,,,https://en.wikipedia.org/wiki/Circus_(bird),False
Veteran's,,,,,,https://en.wikipedia.org/wiki/War_grave,False
"Martin Luther King, Jr.,",pastor,African Americans,male,1929-01-15,1968-04-04,https://en.wikipedia.org/wiki/Martin_Luther_King_Jr.,True
Sid Martin,,,,,,https://commons.wikimedia.org/wiki/Category:Sid_Martin_Biotechnology_Incubator,False
Veterans,,,,,,https://en.wikipedia.org/wiki/Veteran,True
Ben Rowe,racing automobile driver,,male,1975-05-07,,https://fr.wikipedia.org/wiki/Ben_Rowe,False
Elgin Bayless,,,,,,https://commons.wikimedia.org/wiki/Category:White_City_Bridge,False
Stephen Foster,songwriter,,male,1826-07-04,1864-01-13,https://en.wikipedia.org/wiki/Stephen_Foster,True
Buckman,,,,,,https://commons.wikimedia.org/wiki/Category:Buckman_(surname),False
Busch,,,,,,https://en.wikipedia.org/wiki/Busch_(surname),False
Charles E. Bennett,classical philologist,,male,1858-04-06,1921-05-02,https://en.wikipedia.org/wiki/Charles_E._Bennett_(scholar),True
Don Davis,composer,,male,1957-02-04,,https://en.wikipedia.org/wiki/Don_Davis_(composer),True
Eddie Mae Steward,,,female,1938-01-01,2000-01-01,https://en.wikipedia.org/wiki/Eddie_Mae_Steward,True
James Weldon Johnson,writer,African Americans,male,1871-06-17,1938-06-26,https://en.wikipedia.org/wiki/James_Weldon_Johnson,True
Jim Deaton,head coach,,male,,,https://en.wikipedia.org/wiki/Jim_Deaton,False
Johnnie Mae Chappell,,,female,1929-00-00,1964-03-23,https://en.wikipedia.org/wiki/Murder_of_Johnnie_Mae_Chappell,True
Lawrence Callahan,military personnel,,male,1894-01-11,1977-09-17,https://en.wikipedia.org/wiki/Lawrence_Kingsley_Callahan,True
Mandarin,,,,,,https://en.wikipedia.org/wiki/Standard_Chinese,True
Napoleon Bonaparte Broward,politician,,male,1857-04-19,1910-10-01,https://en.wikipedia.org/wiki/Napoleon_B._Broward,True
Ronald W. Reagan,television actor,white people,male,1911-02-06,2004-06-05,https://en.wikipedia.org/wiki/Ronald_Reagan,True
St. Elmo W. Acosta,,,male,1875-01-01,1947-01-01,https://en.wikipedia.org/wiki/St._Elmo_W._Acosta,True
USS Stark,,,,,,https://en.wikipedia.org/wiki/USS_Stark,True
Whatley,,,,,,https://en.wikipedia.org/wiki/Whatley_(surname),False
Veterans,,,,,,https://en.wikipedia.org/wiki/Veteran,True
Brett Fulton,rugby league player,,male,,,https://en.wikipedia.org/wiki/Brett_Fulton,False
Veterans,,,,,,https://en.wikipedia.org/wiki/Veteran,True
Hal W. Adams,,,,,,https://en.wikipedia.org/wiki/Hal_W._Adams_Bridge,True
Raeburn C. Horne,politician,,male,1896-10-07,1962-11-06,https://en.wikipedia.org/wiki/Raeburn_C._Horne,True
Ray Charles,pianist,African Americans,male,1930-09-23,2004-06-10,https://en.wikipedia.org/wiki/Ray_Charles,True
Bill Pearce,politician,,male,1894-11-29,1968-08-02,https://en.wikipedia.org/wiki/Bill_Pearce_(politician),True
Blue Springs,,,,,,"https://en.wikipedia.org/wiki/Blue_Springs,_Missouri",False
Constitution,,,,,,https://en.wikipedia.org/wiki/Constitution,True
Dwight David Eisenhower,politician,,male,1890-10-14,1969-03-28,https://en.wikipedia.org/wiki/Dwight_D._Eisenhower,True
Florida Sheriffs,,,,,,https://en.wikipedia.org/wiki/Florida_Sheriffs_Association,True
Old Spanish,,,,,,https://en.wikipedia.org/wiki/Old_Spanish,False
Pearl Harbor,,,,,,https://en.wikipedia.org/wiki/Pearl_Harbor,True
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,True
Stephen Foster,songwriter,,male,1826-07-04,1864-01-13,https://en.wikipedia.org/wiki/Stephen_Foster,True
Verna Bell,,,,,,https://ceb.wikipedia.org/wiki/Verna_Bell_Claim,False
John W. Campbell,editor,,male,1910-06-08,1971-07-11,https://en.wikipedia.org/wiki/John_W._Campbell,True
Veterans,,,,,,https://en.wikipedia.org/wiki/Veteran,True
Ron Parker,American football player,,male,1987-08-17,,https://en.wikipedia.org/wiki/Ron_Parker,False
Verle Allyn Pope,politician,,male,1903-12-12,1973-07-18,https://en.wikipedia.org/wiki/Verle_A._Pope,True
Correction Officers,,,,,,https://en.wikipedia.org/wiki/Correction_Officers%27_Benevolent_Association,False
DuPont,,,,,,https://en.wikipedia.org/wiki/Dupont_(surname),False
Hathaway,,,,,,https://en.wikipedia.org/wiki/Hathaway_(surname),False
Hutchison,,,,,,https://en.wikipedia.org/wiki/Hutchison_(surname),False
Lynn Haven,,,,,,"https://en.wikipedia.org/wiki/Lynn_Haven,_Florida",True
Panama City Beach,,,,,,"https://en.wikipedia.org/wiki/Panama_City_Beach,_Florida",True
Fuller Warren,politician,,male,1905-10-03,1973-09-23,https://en.wikipedia.org/wiki/Fuller_Warren,True
Fuller Warren,politician,,male,1905-10-03,1973-09-23,https://en.wikipedia.org/wiki/Fuller_Warren,True
Trammell,,,,,,https://en.wikipedia.org/wiki/Trammell,False
Bayou Chico,,,,,,https://ceb.wikipedia.org/wiki/Bayou_Chico_(suba),False
Blue Angel,,,,,,https://en.wikipedia.org/wiki/The_Blue_Angel,False
Don Sutton,baseball player,,male,1945-04-02,2021-01-18,https://en.wikipedia.org/wiki/Don_Sutton,True
Gulf Gateway,,,,,,https://en.wikipedia.org/wiki/Gulf_Gateway_Deepwater_Port,True
Perdido Key,,,,,,"https://en.wikipedia.org/wiki/Perdido_Key,_Florida",True
Reubin O'Donovan Askew,politician,,male,1928-09-11,2014-03-13,https://en.wikipedia.org/wiki/Reubin_Askew,True
Robert L. F. Sikes,politician,,male,1906-06-03,1994-09-28,https://en.wikipedia.org/wiki/Bob_Sikes,True
Patton,,,,,,https://en.wikipedia.org/wiki/Patton_(surname),False
R. L. Moore,mathematician,,male,1882-11-14,1974-10-04,https://en.wikipedia.org/wiki/Robert_Lee_Moore,True
C. Fred and Marvin Arrington,,,,,,https://commons.wikimedia.org/wiki/Category:C._Fred_and_Marvin_Arrington_Bridge,False
Clifford C. Sims,military personnel,,male,1942-06-18,1968-02-21,https://en.wikipedia.org/wiki/Clifford_Chester_Sims,True
Elgin Bayless,,,,,,https://commons.wikimedia.org/wiki/Category:White_City_Bridge,False
George G. Tapper,politician,,male,1916-01-01,1986-01-01,https://en.wikipedia.org/wiki/George_G._Tapper,True
Curry,,,,,,https://en.wikipedia.org/wiki/Curry_(surname),False
Buddy Williams,street artist,,male,1918-09-05,1986-12-12,https://en.wikipedia.org/wiki/Buddy_Williams_(country_musician),False
Pete Peterson,politician,,male,1935-06-26,,https://en.wikipedia.org/wiki/Pete_Peterson,True
Florida‐Georgia,,,,,,https://commons.wikimedia.org/wiki/Category:Florida-Georgia_border,True
Richard H. Simpson,politician,,male,1905-01-09,1968-11-02,https://en.wikipedia.org/wiki/Richard_H._Simpson,True
S. D. Clarke,businessperson,,male,1881-03-31,1966-12-28,https://en.wikipedia.org/wiki/S._D._Clarke,True
Apalachee,,,male organism,1971-00-00,,https://en.wikipedia.org/wiki/Apalachee_(horse),False
Veterans,,,,,,https://en.wikipedia.org/wiki/Veteran,True
Emerald Coast,,,,,,https://en.wikipedia.org/wiki/Emerald_Coast,True
James Gadsden,soldier,,male,1788-05-15,1858-12-26,https://en.wikipedia.org/wiki/James_Gadsden,True
Miracle Strip,,,,,,https://en.wikipedia.org/wiki/Miracle_Strip_Amusement_Park,True
Pat Thomas,boxer,,male,1950-05-05,,https://en.wikipedia.org/wiki/Pat_Thomas_(boxer),False
University of West Florida,,,,,,https://en.wikipedia.org/wiki/University_of_West_Florida,True
Veterans',,,,,,https://en.wikipedia.org/wiki/War_grave,False
Veterans,,,,,,https://en.wikipedia.org/wiki/Veteran,True
Colonel Bud Day,,,,,,https://en.wikipedia.org/wiki/Sioux_Gateway_Airport,False
Cox,,,,,,https://en.wikipedia.org/wiki/Cox_(surname),False
Danny Wuerffel,American football player,,male,1974-05-27,,https://en.wikipedia.org/wiki/Danny_Wuerffel,True
Harbor,,,,,,https://en.wikipedia.org/wiki/Harbor,False
James W. Lee,politician,,male,1938-01-07,2024-12-07,https://en.wikipedia.org/wiki/Jim_Leedman,False
Jim Franklin,actor,,male,1948-05-16,2005-07-10,https://en.wikipedia.org/wiki/Jimmy_Franklin,False
Okaloosa,,,,,,"https://en.wikipedia.org/wiki/Okaloosa_County,_Florida",True
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,True
Robert L. F. Sikes,politician,,male,1906-06-03,1994-09-28,https://en.wikipedia.org/wiki/Bob_Sikes,True
Navarre,,,,,,https://en.wikipedia.org/wiki/Navarre,True
Whiting Field,,,,,,https://ceb.wikipedia.org/wiki/Whiting_Field,False
Angus Morrison,lawyer,,male,1822-01-20,1882-06-10,https://en.wikipedia.org/wiki/Angus_Morrison_(politician),False
Arthur L. Andrews,military personnel,,male,1934-03-09,1996-10-26,https://en.wikipedia.org/wiki/Arthur_L._Andrews,True
Veteran's,,,,,,https://en.wikipedia.org/wiki/War_grave,False
David J. Cook,,,male,,,https://en.wikipedia.org/wiki/David_J._Cook_(administrator),False
Ralph C. Carter,politician,,male,1932-06-25,2007-09-04,https://en.wikipedia.org/wiki/Ralph_C._Carter,True
Vernon,,,,,,"https://en.wikipedia.org/wiki/Vernon,_Eure",False
Davie,,,,,,"https://en.wikipedia.org/wiki/Davie,_Florida",True
Dwight L. Rogers,politician,,male,1886-08-17,1954-12-01,https://en.wikipedia.org/wiki/Dwight_L._Rogers,True
"E. Clay Shaw, Jr.,",politician,,male,1939-04-19,2013-09-10,https://en.wikipedia.org/wiki/Clay_Shaw_(politician),True
Henry E. Kinney Tunnel,,,,,,https://en.wikipedia.org/wiki/New_River_Tunnel,False
Pembroke Park,,,,,,"https://en.wikipedia.org/wiki/Pembroke_Park,_Florida",True
Seminole,,,,,,"https://en.wikipedia.org/wiki/Seminole,_Texas",False
The Barefoot Mailman,,,,,,https://en.wikipedia.org/wiki/The_Barefoot_Mailman,True
West Park,,,,,,"https://en.wikipedia.org/wiki/West_Park,_Florida",True
Alma Lee Loy,,,,,,"https://en.wikipedia.org/wiki/17th_Street_Bridge_(Vero_Beach,_Florida)",True
James H. Pruitt,politician,,male,1917-12-16,2002-07-19,https://en.wikipedia.org/wiki/James_H._Pruitt,True
Merrill P. Barber,politician,,male,1910-12-18,1985-12-21,https://en.wikipedia.org/wiki/Merrill_P._Barber,True
Wabasso,,,,,,https://en.wikipedia.org/wiki/Wabasso_(spider),False
Gaines,,,,,,https://en.wikipedia.org/wiki/Gaines_(surname),False
Palm City,,,,,,"https://en.wikipedia.org/wiki/Palm_Springs,_California",False
Dan McCarty,politician,,male,1912-01-18,1953-09-28,https://en.wikipedia.org/wiki/Daniel_T._McCarty,True
Military,,,,,,https://en.wikipedia.org/wiki/Military,True
Stan Mayfield,politician,,male,1955-11-12,2008-09-30,https://en.wikipedia.org/wiki/Stan_Mayfield,True
Thomas E. Will,educator,,male,1861-11-11,1937-03-05,https://en.wikisource.org/wiki/Author:Thomas_Elmer_Will,False
Jerry Thomas,politician,,male,1953-05-23,,https://en.wikipedia.org/wiki/Jerry_Thomas_(Florida_politician),True
Moroso,,,,,,https://commons.wikimedia.org/wiki/Category:Moroso_(surname),False
North Ocean,,,,,,https://commons.wikimedia.org/wiki/Category:IMO_7530016,False
PGA,,,,,,https://en.wikipedia.org/wiki/Folate,False
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,True
Challenger,,,,,,https://en.wikipedia.org/wiki/HMS_Challenger_(1858),False
Columbia,,,,,,https://en.wikipedia.org/wiki/Columbia_Records,False
Hubert Humphrey,politician,Norwegian Americans,male,1911-05-27,1978-01-13,https://en.wikipedia.org/wiki/Hubert_Humphrey,True
Patrick D. Smith,novelist,,male,1927-10-08,2014-01-26,https://en.wikipedia.org/wiki/Patrick_D._Smith,True
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,True
Hollands,,,,,,https://commons.wikimedia.org/wiki/Category:Hollands_(surname),False
Veterans,,,,,,https://en.wikipedia.org/wiki/Veteran,True
Astor,,,,,,https://en.wikipedia.org/wiki/Astor_(surname),False
Bernard Castro,inventor,,male,1904-08-11,1991-08-24,https://en.wikipedia.org/wiki/Bernard_Castro,True
Nathan Mayo,politician,,male,1876-12-01,1960-04-14,https://en.wikipedia.org/wiki/Nathan_Mayo,True
Rainbow Springs,,,,,,"https://en.wikipedia.org/wiki/Rainbow_Springs,_Florida",True
Wallace E. Sturgis,politician,,male,1898-01-01,1966-01-01,https://en.wikipedia.org/wiki/Wallace_E._Sturgis,True
"William V. Chappell, Jr.",politician,,male,1922-02-03,1989-03-30,https://en.wikipedia.org/wiki/Bill_Chappell,True
Central Florida,,,,,,https://en.wikipedia.org/wiki/Central_Florida,True
Daniel Webster,politician,,male,1782-01-18,1852-10-24,https://en.wikipedia.org/wiki/Daniel_Webster,False
Francis L. Dade,military officer,,male,1793-01-01,1835-01-01,https://en.wikipedia.org/wiki/Francis_L._Dade,True
Irlo Bronson,politician,,male,1936-06-04,2017-11-20,https://en.wikipedia.org/wiki/Irlo_Bronson_Jr.,True
Kennedy Space Center,,,,,,https://en.wikipedia.org/wiki/Kennedy_Space_Center,True
Perkins,,,,,,https://en.wikipedia.org/wiki/Perkins,False
Rosa Parks,,,,,,https://commons.wikimedia.org/wiki/Category:Rosa_Parks_(tramway_d%27%C3%8Ele-de-France),False
Sanlando Springs,,,,,,"https://en.wikipedia.org/wiki/Sanlando_Springs,_Florida",True
Space Coast,,,,,,https://en.wikipedia.org/wiki/Space_Coast,True
Arnold Palmer,golfer,,male,1929-09-10,2016-09-25,https://en.wikipedia.org/wiki/Arnold_Palmer,True
James B. Green,swimmer,,male,1876-01-01,1962-06-30,https://arz.wikipedia.org/wiki/%D8%AC%D9%8A%D9%85%D8%B3_%D8%AC%D8%B1%D9%8A%D9%86_(%D8%B3%D8%A8%D8%A7%D8%AD_%D9%85%D9%86_%D8%A7%D9%85%D8%B1%D9%8A%D9%83%D8%A7),False
John Young,naval officer,,male,1930-09-24,2018-01-05,https://en.wikipedia.org/wiki/John_Young_(astronaut),True
Spessard L. Holland,politician,,male,1892-07-10,1971-11-06,https://en.wikipedia.org/wiki/Spessard_Holland,True
Veterans,,,,,,https://en.wikipedia.org/wiki/Veteran,True
Kings,,,,,,"https://en.wikipedia.org/wiki/Kingston,_Jamaica",False
Hamilton Disston,businessperson,,male,1844-08-23,1896-04-30,https://en.wikipedia.org/wiki/Hamilton_Disston,True
Korean War Veterans,,,,,,https://en.wikipedia.org/wiki/Korean_War_Veterans_Parkway,True
Seminole,,,,,,"https://en.wikipedia.org/wiki/Seminole,_Texas",False
Clyde Hart,pianist,,male,1910-02-24,1945-03-19,https://en.wikipedia.org/wiki/Clyde_Hart_(pianist),False
Douglas Stenstrom,lawyer,,male,1921-09-05,2010-06-23,https://en.wikipedia.org/wiki/Douglas_Stenstrom,True
International Speedway,,,,,,https://it.wikipedia.org/wiki/International_Speedway,True
"Martin Luther King, Jr.,",pastor,African Americans,male,1929-01-15,1968-04-04,https://en.wikipedia.org/wiki/Martin_Luther_King_Jr.,True
St. Johns River Veterans,,,,,,https://en.wikipedia.org/wiki/St._Johns_River_Veterans_Memorial_Bridge,True
24th of February,,,,,,https://en.wikipedia.org/wiki/February_24,True
Alexandre Petion,politician,,male,1770-04-02,1818-03-29,https://en.wikipedia.org/wiki/Alexandre_P%C3%A9tion,True
All America,,,,,,https://en.wikipedia.org/wiki/All_American_Girls,False
Allapattah,,,,,,https://en.wikipedia.org/wiki/Allapattah,True
American Bankers,,,,,,https://en.wikipedia.org/wiki/American_Bankers_Association,True
Anne Ackerman,activist,,female,1914-00-00,1989-03-01,https://en.wikipedia.org/wiki/Annie_Ackerman,True
Aventura,,,,,,"https://en.wikipedia.org/wiki/Aventura,_Florida",True
Avenue of the Americas,,,,,,https://en.wikipedia.org/wiki/Sixth_Avenue,False
Biscayne Park,,,,,,"https://en.wikipedia.org/wiki/Biscayne_Park,_Florida",True
Carlos Arboleya,rugby union player,,male,1985-07-23,,https://en.wikipedia.org/wiki/Carlos_Arboleya,False
Carrie P. Meek,politician,African Americans,female,1926-04-29,2021-11-28,https://en.wikipedia.org/wiki/Carrie_Meek,True
Chelsie J. Senerchia,politician,,male,1899-11-02,1990-06-20,https://en.wikipedia.org/wiki/Chelsie_J._Senerchia,True
Cutler Bay,,,,,,"https://en.wikipedia.org/wiki/Cutler_Bay,_Florida",True
Dolphin,,,,,,https://en.wikipedia.org/wiki/Dolphin_(surname),False
Don Shula,American football player,,male,1930-01-04,2020-05-04,https://en.wikipedia.org/wiki/Don_Shula,True
Elaine Gordon,politician,,female,1931-00-00,2000-02-25,https://en.wikipedia.org/wiki/Elaine_Gordon,True
Emilio Ochoa,politician,,male,1907-07-04,2007-06-21,https://en.wikipedia.org/wiki/Emilio_Ochoa,True
Felipe Valls,restaurateur,,male,1933-03-08,2022-11-26,https://en.wikipedia.org/wiki/Felipe_Valls_Sr.,True
Frederick Douglass,journalist,African Americans,male,1817-02-00,1895-02-20,https://en.wikipedia.org/wiki/Frederick_Douglass,True
George Gill,baseball player,,male,,,https://en.wikipedia.org/wiki/George_Gill_(first_baseman),True
Golden Glades,,,,,,"https://en.wikipedia.org/wiki/Golden_Glades,_Florida",True
Gwen Cherry,teacher,,female,1923-08-27,1979-02-07,https://en.wikipedia.org/wiki/Gwen_Cherry,True
Henri Levy,rabbi,,male,1883-06-07,1942-08-13,https://de.wikipedia.org/wiki/Henri_L%C3%A9vy_(Rabbiner),False
Interama,,,,,,https://en.wikipedia.org/wiki/Parque_de_la_Ciudad,False
James Weldon Johnson,writer,African Americans,male,1871-06-17,1938-06-26,https://en.wikipedia.org/wiki/James_Weldon_Johnson,True
Jean Baptiste Point du Sable,merchant,,male,1745-01-01,1818-08-28,https://en.wikipedia.org/wiki/Jean_Baptiste_Point_du_Sable,True
Jerry Underwood,saxophonist,,male,1956-08-14,2002-08-03,https://de.wikipedia.org/wiki/Jerry_Underwood,False
Jim Mandich,American football player,,male,1948-07-30,2011-04-26,https://en.wikipedia.org/wiki/Jim_Mandich,True
John F. Cosgrove,politician,,male,1949-07-01,2006-04-19,https://en.wikipedia.org/wiki/John_F._Cosgrove,True
John F. Kennedy,politician,Irish Americans,male,1917-05-29,1963-11-22,https://en.wikipedia.org/wiki/John_F._Kennedy,True
Jorge Mas Canosa,businessperson,,male,1939-09-21,1997-11-23,https://en.wikipedia.org/wiki/Jorge_Mas_Canosa,True
Julia Tuttle,businessperson,,female,1849-01-22,1898-09-14,https://en.wikipedia.org/wiki/Julia_Tuttle,True
Julia Tuttle,businessperson,,female,1849-01-22,1898-09-14,https://en.wikipedia.org/wiki/Julia_Tuttle,True
Killian,,,,,,https://commons.wikimedia.org/wiki/Category:Killian_(given_name),False
Le Jeune,,,,,,https://commons.wikimedia.org/wiki/Category:Le_Jeune_(surname),False
Lolo Villalobos,,,male,1913-08-27,1997-01-14,https://en.wikipedia.org/wiki/Lolo_Villalobos,True
Luis Conte Aguero,historian,,male,1924-07-06,2025-07-12,https://es.wikipedia.org/wiki/Luis_Conte_Ag%C3%BCero,True
Manolo Reyes,journalist,,male,1924-07-29,2008-01-03,https://en.wikipedia.org/wiki/Manolo_Reyes,True
Marjory Stoneman Douglas,journalist,,female,1890-04-07,1998-05-14,https://en.wikipedia.org/wiki/Marjory_Stoneman_Douglas,True
Marlins,,,,,,https://en.wikipedia.org/wiki/Miami_Marlins,True
Martha Flores,announcer,,female,1928-12-28,2020-07-18,https://es.wikipedia.org/wiki/Martha_Flores,True
Norman Giller,journalist,,male,1940-04-18,,https://en.wikipedia.org/wiki/Norman_Giller,True
North Miami Beach,,,,,,"https://en.wikipedia.org/wiki/North_Miami_Beach,_Florida",True
Olga Guillot,actor,,female,1922-10-09,2010-07-12,https://en.wikipedia.org/wiki/Olga_Guillot,True
Orange Bowl,,,,,,https://en.wikipedia.org/wiki/Orange_Bowl,True
Palmetto Bay,,,,,,"https://en.wikipedia.org/wiki/Palmetto_Bay,_Florida",True
Pinecrest,,,,,,"https://en.wikipedia.org/wiki/Pinecrest,_Florida",True
Rafael Diaz-Balart,politician,,male,1926-01-17,2005-05-06,https://en.wikipedia.org/wiki/Rafael_D%C3%ADaz-Balart,True
Rafael Diaz-Balart,politician,,male,1926-01-17,2005-05-06,https://en.wikipedia.org/wiki/Rafael_D%C3%ADaz-Balart,True
Robert Frost,poet,,male,1874-03-26,1963-01-29,https://en.wikipedia.org/wiki/Robert_Frost,True
Rodolfo Garcia,lawyer,,male,1873-05-25,1949-11-14,https://pt.wikipedia.org/wiki/Rodolfo_Garcia,False
Saint Marcellin Champagnat,Catholic priest,,male,1789-05-20,1840-06-06,https://en.wikipedia.org/wiki/Marcellin_Champagnat,True
Shepard Broad,banker,,male,1906-07-08,2001-11-06,https://en.wikipedia.org/wiki/Shepard_Broad,True
Singer,,,,,,https://en.wikipedia.org/wiki/Singer_(surname),False
South Miami Avenue,,,,,,https://en.wikipedia.org/wiki/Miami_Avenue,True
