Name,Primary Occupation,Race,Sex,Birth Date,Death Date,Wikipedia Link
Countyline,,,,,,"https://en.wikipedia.org/wiki/Countyline,_Oklahoma"
AB Michael Bridges,,,,,,
Archibald Johns Thomas,,,,,,
Gold Star Family Memorial Bridge dedicated to Army Captain Joseph M Berkson,,,,,,
Austin D Gay,,,,,,
Bart D and John R Broxson,,,,,,
Deputy Chief Lynne Nungesser,,,,,,
Deputy Donald Ray Cook,,,,,,
Deputy Matt Miller,,,,,,
Deputy Sheriff David Anthony Abella,,,,,,
General Daniel Chappie James Jr,,,,,,
Harriet Tubman HighwayUS 1SR 5,,,,,,
JD Turner,,,,,,
John B Coxwell,,,,,,
John C Gainous,,,,,,
Joshua S Montaad,,,,,,
Julius July Perry,,,,,,
Manuel H Manny Piedra,,,,,,
Master Police Officer Lois Marrero,,,,,,
Phoebe Jonchuck,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart
Rosa Maria Plasencia,,,,,,
Sergeant Tracy Vickers,,,,,,
Slaughter Read Ramirez Lindsey,,,,,,
Trooper Joseph Bullock,,,,,,
Wesley L Silas,,,,,,
Willis V Rowan,,,,,,
Harriet Tubman HighwayState Road 909,,,,,,
Olympian Theresa Manuel,,,,,,
Patrolman Leroy Bender,,,,,,
Kurt Eichin,,,male,1944-00-00,,
Officer James Ronco,,,,,,
Robert L Bob Billingslea,,,,,,
Coach Jeff Sommer,,,,,,
Corporal Joseph R Bertrand,,,,,,
KMI Kentucky Military Institute,,,,,,
Historic Suwannee River Scenic,,,,,,
Joe Anderson Jr,,,,,,
David W Moss,,,,,,
Joe C Peavy,,,,,,
Private First Class Joey Moody,,,,,,
SP4 Billy Jacob Hartsfield,,,,,,https://commons.wikimedia.org/wiki/Category:SP4_Billy_Jacob_Hartsfield_Memorial_Bridge
Francis Gibbs,,,male,1839-07-15,1865-12-16,
Nassau County Deputy Sheriffs Memorial Highway,,,,,,
Emmitt G Coakley,,,,,,
Ponce de Leon,,,,,,https://commons.wikimedia.org/wiki/Category:Ponce_de_Le%C3%B3n_(surname)
Julia Munroe Woodward,,,,,,https://en.wikipedia.org/wiki/Florida_State_Road_269
CPT Tecarie CZ Czarnecki and TSgt David A Stone,,,,,,
Trooper James Herbert Fulford Jr,,,,,,
Danny A Pino,,,,,,
Brigadier General Thomas Mark Stogsdill,,,,,,
William H Bill Mapoles,,,,,,
Mayor Randall Wise,,,,,,
Walter Francis Spence,,,,,,
C Wayne Ansley,,,,,,
Brigadier General Bud Day,,,,,,
Sheriff Wendell Hall Highway,,,,,,
Warren E Charlie and Shirley Brown,,,,,,
Dr Martin Lutther King Jr,,,,,,
Kimberly Ann Hurd,,,,,,
First Class Deputy Norman Lewis,,,,,,
Elias Rico Piccard,,,,,,
Robert Pittman Jr,,,,,,
Lieutenant Debra Clayton,,,,,,
Bessie Coleman,aircraft pilot,African Americans,female,1892-01-26,1926-04-30,https://en.wikipedia.org/wiki/Bessie_Coleman
Fred Karl,lawyer,,male,1924-05-14,2013-03-07,https://en.wikipedia.org/wiki/Frederick_B._Karl
Carmelau Monestime,radio personality,,male,1931-04-06,2016-01-16,https://en.wikipedia.org/wiki/Carmelau_Monestime
Dr Clifford Garfield OConnor,,,,,,
Jessie Trice,,,,,,
Luis Fernando Brande,,,,,,
Ralph Sanchez,businessperson,,male,1948-01-01,2013-01-01,https://en.wikipedia.org/wiki/Ralph_Sanchez
Robert Bobby L Parker Sr,,,,,,
Senator Paul B Steinberg,,,,,,
Bishop Isaiah S Williams Jr,,,,,,
Ronald A Silver,,,,,,
Georgia Ayers,,,,,,
Phares Duverne,,,,,,
Sergeant Carl Mertes,,,,,,
Stanley G Tate,,,,,,
Jacob Fleishman,,,,,,
Miami Springs,,,,,,"https://en.wikipedia.org/wiki/Miami_Springs,_Florida"
Guillermo Zamora,artist,,male,1915-01-01,2002-01-01,
Rene Ledesma,researcher,,,,,
Sabre,,,,,,https://commons.wikimedia.org/wiki/Category:Sabre_(surname)
US Army Sergeant Amaru AguilarBorgen Memorial Highway,,,,,,
Larcenia Bullard,politician,,female,1947-07-21,2013-03-16,https://en.wikipedia.org/wiki/Larcenia_Bullard
Reverend John A Ferguson,,,,,,
Robert M Levy,,,,,,
Arthur  Polly Mays,,,,,,
Lourdes GuzmanDeJeus,,,,,,
Herman Echevarria,,,,,,
Belen Presidents,,,,,,
Betty Pino,announcer,,female,1948-04-21,2013-08-07,https://en.wikipedia.org/wiki/Betty_Pino
Lorenzo de Toro,,,,,,
Muhammad Ali,boxer,African Americans,male,1942-01-17,2016-06-03,https://en.wikipedia.org/wiki/Muhammad_Ali
Nelson Mandela,politician,,male,1918-07-18,2013-12-05,https://en.wikipedia.org/wiki/Nelson_Mandela
Indian Key Irving R Eyster,,,,,,
Irene U Hooper Memorial Bridges,,,,,,
POWMIA,,,,,,
RADM LeRoy Collins Jr Veterans,,,,,,
Gulf Coast,,,,,,https://en.wikipedia.org/wiki/Gulf_Coast_of_the_United_States
CW Bill Young,,,,,,
C Bette Wimbish,,,,,,
Senator Gerald S Jerry Rehm,,,,,,
Albert W Gilchrist,,,,,,
Babcock,,,,,,https://en.wikipedia.org/wiki/Babcock
Tom Adams,illustrator,,male,1926-03-29,2019-12-17,https://en.wikipedia.org/wiki/Tom_Adams_(illustrator)
Frank,,,,,,https://en.wikipedia.org/wiki/Frank_(given_name)
Goodlette,,,,,,
Judge S S Jolley,,,,,,
Ted Smallwood Sr,,,,,,
S Chesterfield Smith,,,,,,
Mamie Langdale,,,,,,
Harry Stringfellow,,,,,,
Matanzas Pass,,,,,,https://ceb.wikipedia.org/wiki/Matanzas_Pass
McGregor Boulevard State,,,,,,
Michael G Rippe,,,,,,
Anna Maria Island,,,,,,https://en.wikipedia.org/wiki/Anna_Maria_Island
H E Boyd,,,,,,
Longboat Key,,,,,,"https://en.wikipedia.org/wiki/Longboat_Key,_Florida"
Palma Sola,,,,,,"https://en.wikipedia.org/wiki/Palma_Sola,_Santa_Catarina"
Southeastern Guide Dog,,,,,,
Trooper Jeffery Dale Young,,,,,,
American Legion,,,,,,https://en.wikipedia.org/wiki/American_Legion
Bob Bentley,basketball player,,male,,,
Cecil M Webb,,,,,,https://ceb.wikipedia.org/wiki/Cecil_M_Webb_State_Wildlife_Management_Area
Charlie Miner,,,,,,
Citrus,,,,,,https://en.wikipedia.org/wiki/Citrus
Claude Pepper,politician,,male,1900-09-08,1989-05-30,https://en.wikipedia.org/wiki/Claude_Pepper
Coast to Coast,,,,,,https://en.wikipedia.org/wiki/Coast_to_Coast_(Westlife_album)
DeSoto,,,,,,"https://en.wikipedia.org/wiki/DeSoto,_Texas"
E C Rowell,,,,,,
Florida Cracker,,,,,,https://en.wikipedia.org/wiki/Florida_cracker
Lawton Chiles,politician,,male,1930-04-03,1998-12-12,https://en.wikipedia.org/wiki/Lawton_Chiles
Martin,,,,,,https://en.wikipedia.org/wiki/Martin_(given_name)
Paradise,,,,,,"https://en.wikipedia.org/wiki/Paradise,_Nevada"
Ronald Reagan Turnpike,,,,,,https://en.wikipedia.org/wiki/Homestead_Extension_of_Florida%27s_Turnpike
Swearingen,,,,,,https://commons.wikimedia.org/wiki/Category:Swearingen_(surname)
Thomas W Bryant,,,,,,
Warfield,,,,,,https://commons.wikimedia.org/wiki/Category:Warfield_(surname)
Billy Bowlegs III,,,male,1862-01-01,1965-01-01,https://en.wikipedia.org/wiki/Billy_Bowlegs_III
General James A Van Fleet,,,,,,
George W Harris Jr,,,,,,
Heather Hurd,,,,,,
James Henry Mills Medal of Honor,,,,,,
John L Robinson,,,,,,
L H Recker,,,,,,
Lisle W Smith,,,,,,
Milton D Wilson,,,,,,
WS Badcock,,,,,,
William P Langdon,,,,,,
William R Van Fleet,,,,,,
Circus,,,,,,https://en.wikipedia.org/wiki/Circus_(bird)
Colonel George Kumpe,,,,,,
Gil Waters,,,,,,
Trooper Claude Baker,,,,,,
Veterans,,,,,,https://en.wikipedia.org/wiki/Veteran
The Honorable Dale G Bennett Boat Ramp,,,,,,
Historic Pine Castle Station,,,,,,
Reverend Kenneth C Crossman,,,,,,
Harold Haynes Memorial Pedestrian,,,,,,
Deputy Jack A Romeis,,,,,,
Sid Martin,,,,,,https://commons.wikimedia.org/wiki/Category:Sid_Martin_Biotechnology_Incubator
Ben Rowe,racing automobile driver,,male,1975-05-07,,https://fr.wikipedia.org/wiki/Ben_Rowe
Buddy Norman,,,,,,
Elgin Bayless,,,,,,https://commons.wikimedia.org/wiki/Category:White_City_Bridge
Tom Chastain,,,,,,
James C Penney,,,,,,
S D Sam Saunders,,,,,,
James A Brewer,,,,,,
Lindler,,,,,,
Captain Chad Allen Reed Sr,,,,,,
Joe H Anderson Sr,,,,,,
SP4 Thomas Berry Corbin,,,,,,
Stephen Foster,songwriter,,male,1826-07-04,1864-01-13,https://en.wikipedia.org/wiki/Stephen_Foster
US Navy BMC Samuel Calhoun Chavous Jr,,,,,,
Angela Webb Hammonds,,,,,,
Arnolta J Williams,,,,,,
Arthur N Sollee,,,,,,
Barbara Van Blake,,,,,,
Benolken,,,,,,
Bernard Wilkes,,,,,,
Buckman,,,,,,https://commons.wikimedia.org/wiki/Category:Buckman_(surname)
Busch,,,,,,https://en.wikipedia.org/wiki/Busch_(surname)
C D Kinsey,,,,,,
C Ray Greene,,,,,,
Charles B Dailey,,,,,,
Charles E Bennett,,,,,,
Dan Jones,basketball player,,male,,,
Don Davis,composer,,male,1957-02-04,,https://en.wikipedia.org/wiki/Don_Davis_(composer)
Duval County Law Enforcement,,,,,,
Earl S Coach Kitchings,,,,,,
Ed Holt,,,,,,
Eddie Mae Steward,,,female,1938-01-01,2000-01-01,https://en.wikipedia.org/wiki/Eddie_Mae_Steward
Flossie Brunson,,,,,,
Gainesville Short Route,,,,,,
George Matthews,,,male,1918-00-00,2014-00-00,
Hans G Tanzler Jr Interstate,,,,,,
Isaiah D Hart,,,,,,
James E Jim King Jr,,,,,,
James H Argrett Sr,,,,,,
James Weldon Johnson,writer,African Americans,male,1871-06-17,1938-06-26,https://en.wikipedia.org/wiki/James_Weldon_Johnson
Jim Deaton,head coach,,male,,,https://en.wikipedia.org/wiki/Jim_Deaton
John T Alsop Jr,,,,,,
Johnnie Mae Chappell,,,female,1929-00-00,1964-03-23,https://en.wikipedia.org/wiki/Murder_of_Johnnie_Mae_Chappell
Lawrence Callahan,military personnel,,male,1894-01-11,1977-09-17,https://en.wikipedia.org/wiki/Lawrence_Kingsley_Callahan
Mandarin,,,,,,https://en.wikipedia.org/wiki/Standard_Chinese
Mary L Austin Jones,,,,,,
Moses Baker,missionary,,male,1755-00-00,1822-00-00,
Napoleon Bonaparte Broward,politician,,male,1857-04-19,1910-10-01,https://en.wikipedia.org/wiki/Napoleon_B._Broward
Robert Bullet Bob Hayes,,,,,,
Robert L Brown Sr,,,,,,
Ronald W Reagan,television actor,white people,male,1911-02-06,2004-06-05,https://en.wikipedia.org/wiki/Ronald_Reagan
Roy Willis,American football player,,male,,,
Sarah Hayes Rice,,,,,,
St Elmo W Acosta,,,,,,
Taye Brown,,,,,,
Tom Marshall,researcher,,male,,,
USS Stark,,,,,,https://en.wikipedia.org/wiki/USS_Stark
Wallace P Covington,,,,,,
Whatley,,,,,,https://en.wikipedia.org/wiki/Whatley_(surname)
Willie F Faust,,,,,,
Sergeant Ricky Lord,,,,,,
W O Cannon and D W McCollister,,,,,,
Brett Fulton and Josh Burch,,,,,,
R Stanley Adams,,,,,,
Woodpecker Route,,,,,,
Frank R Norris,,,,,,
Fred P Parker,,,,,,
Hal W Adams,,,,,,
Sheriff Stanley H Cannon,,,,,,
Forest Ranger Edward O Peters,,,,,,
Marine Lance Corporal Brian R Buesing,,,,,,
US Army SPC James A Page,,,,,,
United States Army Sergeant Karl A Campbell,,,,,,
United States Army Specialist Brandon Tyler Thorsen,,,,,,
William R Coulter,,,,,,
Raeburn C Horne,,,,,,
Ray Charles,pianist,African Americans,male,1930-09-23,2004-06-10,https://en.wikipedia.org/wiki/Ray_Charles
Bill Pearce,politician,,male,1894-11-29,1968-08-02,https://en.wikipedia.org/wiki/Bill_Pearce_(politician)
Blue Springs,,,,,,"https://en.wikipedia.org/wiki/Blue_Springs,_Missouri"
Browning Pearce,,,,,,
Charley E Johns,,,,,,
Coach Jermaine D Hall,,,,,,
Constitution,,,,,,https://en.wikipedia.org/wiki/Constitution
Correctional Officers,,,,,,
Dwight David Eisenhower Veterans,,,,,,
Ed Fraser,,,,,,
Florida Arts,,,,,,
Florida Sheriffs Boys Ranch,,,,,,"https://commons.wikimedia.org/wiki/Category:Florida_Sheriffs_Boys_Ranch,_Live_Oak"
Hinely Parker,,,,,,
Lem Turner,,,,,,
Old Spanish,,,,,,https://en.wikipedia.org/wiki/Old_Spanish
Pearl Harbor,,,,,,https://en.wikipedia.org/wiki/Pearl_Harbor
POWMIA Blue Star,,,,,,
Alexander G Sandy MacArthur and Herbert William Heimey Fishler,,,,,,
MaVynne The Beach Lady Betsch,,,,,,
Thomas J Shave Jr,,,,,,
Trooper Charles W Parks,,,,,,
Verna Bell,,,,,,https://ceb.wikipedia.org/wiki/Verna_Bell_Claim
Frank Thomas McMeekin,,,,,,
Jerome A Williams,,,,,,
John W Campbell,editor,,male,1910-06-08,1971-07-11,https://en.wikipedia.org/wiki/John_W._Campbell
Alvin C Shands,,,,,,
Claude Varn,,,,,,
F Charles Usina,,,,,,
Francis and Mary Usina,,,,,,
MicklerOConnell,,,,,,
Ron Parker,American football player,,male,1987-08-17,,https://en.wikipedia.org/wiki/Ron_Parker
Rosco,,,,,,
Verle Allyn Pope,politician,,male,1903-12-12,1973-07-18,https://en.wikipedia.org/wiki/Verle_A._Pope
Byron Butler,,,,,,
Deputy Victor J Skip MacDonald Jr,,,,,,
L P Pete Gibson,,,,,,
Trooper Charles Eugene Campbell,,,,,,
Correction Officers,,,,,,https://en.wikipedia.org/wiki/Correction_Officers%27_Benevolent_Association
Deputy Hal P Croft and Deputy Ronald Jackson,,,,,,
Deputy Renee Danell Azure,,,,,,
G Fred Andrews,,,,,,
B V Buchanan,,,,,,
Charles M Parker,,,,,,
DuPont,,,,,,https://en.wikipedia.org/wiki/Dupont_(surname)
Hathaway,,,,,,https://en.wikipedia.org/wiki/Hathaway_(surname)
Hutchison,,,,,,https://en.wikipedia.org/wiki/Hutchison_(surname)
K Earl Durden,,,,,,
Lieutenant Colonel Carl John Luksic USAF,,,,,,
Lynn Haven,,,,,,"https://en.wikipedia.org/wiki/Lynn_Haven,_Florida"
Panama City Beach,,,,,,"https://en.wikipedia.org/wiki/Panama_City_Beach,_Florida"
C D Clark,,,,,,
Fuller Warren,politician,,male,1905-10-03,1973-09-23,https://en.wikipedia.org/wiki/Fuller_Warren
Trammell,,,,,,https://en.wikipedia.org/wiki/Trammell
Bayou Chico,,,,,,https://ceb.wikipedia.org/wiki/Bayou_Chico_(suba)
Blue Angel,,,,,,https://en.wikipedia.org/wiki/The_Blue_Angel
Creola Rutledge,,,,,,
Don Sutton,baseball player,,male,1945-04-02,2021-01-18,https://en.wikipedia.org/wiki/Don_Sutton
Dr Phillip A Payne,,,,,,
F M Son Turner Jr,,,,,,
Gandyville,,,,,,
Gulf Gateway,,,,,,https://en.wikipedia.org/wiki/Gulf_Gateway_Deepwater_Port
J McHenry Jones,,,,,,
Joyce Webb Nobles,,,,,,
Perdido Key,,,,,,"https://en.wikipedia.org/wiki/Perdido_Key,_Florida"
Reubin ODonovan Askew,,,,,,
Robert L F Sikes,,,,,,
The David Bogan,,,,,,
Bryant Grady Patton,,,,,,
Camp Gordon Johnston Mem,,,,,,
E N Walker,,,,,,
Patton,,,,,,https://en.wikipedia.org/wiki/Patton_(surname)
R L Moore,,,,,,
Tillie Miller,midwife,,female,1900-11-29,1967-03-19,
Alfred Lawson Jr,,,,,,
C Fred and Marvin Arrington,,,,,,
Cecil G Costin Sr,,,,,,
Clifford C Sims,,,,,,
George G Tapper,,,,,,
J L Sharit,,,,,,
Curry,,,,,,https://en.wikipedia.org/wiki/Curry_(surname)
George L Dickenson,,,,,,
James Riley Paul,,,,,,
Lonnie Weeks,,,,,,
M M Andrews,,,,,,
West Florida Fuller Warren,,,,,,
Buddy Williams,street artist,,male,1918-09-05,1986-12-12,https://en.wikipedia.org/wiki/Buddy_Williams_(country_musician)
Doctor C H Ryals,,,,,,
Hamilton Allan Smith,,,,,,
Pete Peterson,politician,,male,1935-06-26,,https://en.wikipedia.org/wiki/Pete_Peterson
FloridaGeorgia,,,,,,
Lance Corporal Clemon Clyde Alexander,,,,,,
Lester C Lawrence,,,,,,
Richard H Simpson,community leader,Americans in the United Kingdom,male,1889-05-14,,
S D Clarke,researcher,,,,,
Apalachee,,,male organism,1971-00-00,,https://en.wikipedia.org/wiki/Apalachee_(horse)
Kate Ireland,,,,,,
M S Thomas,researcher,,,,,
Doolittle Raiders,,,,,,
Emerald Coast,,,,,,https://en.wikipedia.org/wiki/Emerald_Coast
James Gadsden,soldier,,male,1788-05-15,1858-12-26,https://en.wikipedia.org/wiki/James_Gadsden
Miracle Strip,,,,,,https://en.wikipedia.org/wiki/Miracle_Strip_Amusement_Park
Pat Thomas,boxer,,male,1950-05-05,,https://en.wikipedia.org/wiki/Pat_Thomas_(boxer)
Senator Greg Evers,,,,,,
University of West Florida,,,,,,https://en.wikipedia.org/wiki/University_of_West_Florida
William D Cooter Douglass,,,,,,
Air Commando,,,,,,
Brian D Little,,,,,,
C G Meigs,,,,,,
Colonel Bud Day,,,,,,https://en.wikipedia.org/wiki/Sioux_Gateway_Airport
Cox,,,,,,https://en.wikipedia.org/wiki/Cox_(surname)
Danny Wuerffel,American football player,,male,1974-05-27,,https://en.wikipedia.org/wiki/Danny_Wuerffel
Deputies Skip York and Burt Lopez,,,,,,
Harbor,,,,,,https://en.wikipedia.org/wiki/Harbor
Hayward T Hayes,,,,,,
James W Lee,,,,,,
Jim Franklin,actor,,male,1948-05-16,2005-07-10,https://en.wikipedia.org/wiki/Jimmy_Franklin
Lewis E Turner,,,,,,
Okaloosa,,,,,,"https://en.wikipedia.org/wiki/Okaloosa_County,_Florida"
Roger J Clary,,,male,,,
William Nathey,,,,,,
William T Marler,,,,,,
Army Sergeant Daniel L McCall,,,,,,
Navarre,,,,,,https://en.wikipedia.org/wiki/Navarre
Whiting Field,,,,,,https://ceb.wikipedia.org/wiki/Whiting_Field
Williard Norris,,,,,,
Angus Morrison,lawyer,,male,1822-01-20,1882-06-10,https://en.wikipedia.org/wiki/Angus_Morrison_(politician)
Arthur L Andrews,,,,,,
Gretchen Evans,environmentalist,,female,1924-06-26,2005-09-29,
Clyde B Wells,,,,,,
Henry Koerber,,,,,,
Olan Rex Ferguson,,,,,,
The Beach,,,,,,
Ben G Watts,,,,,,
David J Cook,researcher,,male,,,
John Creel,advocate,,male,1882-02-14,1949-06-29,
Judge Perry Wells,,,,,,
Ralph C Carter,,,,,,
Vernon,,,,,,"https://en.wikipedia.org/wiki/Vernon,_Eure"
Nona and Popa,,,,,,
Burl Marler Walkway,,,,,,
Ann Kolb Tree Path,,,,,,
Commodore Brook,,,,,,
Dave Turner,political candidate,,male,,,
Davie,,,,,,"https://en.wikipedia.org/wiki/Davie,_Florida"
Deputy Ryan Sequin,,,,,,
Dwight L Rogers,,,,,,
E Clay Shaw Jr,,,,,,
Henry E Kinney Tunnel,,,,,,
J D Butler,researcher,,,,,
Marina Mile,researcher,,female,,,
Pembroke Park,,,,,,"https://en.wikipedia.org/wiki/Pembroke_Park,_Florida"
S C Fox,,,,,,
Seminole,,,,,,"https://en.wikipedia.org/wiki/Seminole,_Texas"
The Barefoot Mailman,,,,,,https://en.wikipedia.org/wiki/The_Barefoot_Mailman
Trinchitella,,,,,,
Trooper Donald Earl Jennings,,,,,,
Trooper Stephen G Rouse,,,,,,
West Park,,,,,,"https://en.wikipedia.org/wiki/West_Park,_Florida"
Alma Lee Loy,,,,,,"https://en.wikipedia.org/wiki/17th_Street_Bridge_(Vero_Beach,_Florida)"
James H Pruitt,,,,,,
Merrill P Barber,,,,,,
Richard Raczkoski,,,,,,
Robert C Spillman,,,,,,
Robert W Graves,,,,,,
Wabasso,,,,,,https://en.wikipedia.org/wiki/Wabasso_(spider)
A O Kanner,,,,,,
Big John Monahan,,,,,,
Ernest F Lyons,,,,,,
Evans Crary Sr,,,,,,
Frank A Wacha,,,,,,
Gaines,,,,,,https://en.wikipedia.org/wiki/Gaines_(surname)
Palm City,,,,,,"https://en.wikipedia.org/wiki/Palm_Springs,_California"
Dan McCarty,politician,,male,1912-01-18,1953-09-28,https://en.wikipedia.org/wiki/Daniel_T._McCarty
Military,,,,,,https://en.wikipedia.org/wiki/Military
Stan Mayfield,politician,,male,1955-11-12,2008-09-30,https://en.wikipedia.org/wiki/Stan_Mayfield
Thomas E Will,researcher,,male,1961-00-00,,
Ben Sunday,,,,,,
Carlin White,,,,,,
Glynn Mayo,,,,,,
Haven M Ashe,,,,,,
Jack L Saunders,,,,,,
Jerry Thomas,politician,,male,1953-05-23,,https://ar.wikipedia.org/wiki/%D8%AC%D9%8A%D8%B1%D9%8A_%D8%AA%D9%88%D9%85%D8%A7%D8%B3
L E Buie,,,,,,
Moroso,,,,,,https://commons.wikimedia.org/wiki/Category:Moroso_(surname)
North Ocean,,,,,,https://commons.wikimedia.org/wiki/Category:IMO_7530016
PGA,,,,,,https://en.wikipedia.org/wiki/Folate
Richard E Pete Damon,,,,,,
Richard Jason Randolph,,,,,,
Robert A Harris,researcher,,male,,,
Tom and Marian Lewis,,,,,,
D H Banty Saunders,,,,,,
Peter P Cobb,,,,,,
C Sweet Smith,,,,,,
Challenger,,,,,,https://en.wikipedia.org/wiki/HMS_Challenger_(1858)
Columbia,,,,,,https://en.wikipedia.org/wiki/Columbia_University
Dr W J Creel,,,,,,
Emory Bennett,,,,,,
Ernest KouwenHoven,,,,,,
Harry T and Harriette V Moore,,,,,,
Hubert Humphrey,politician,Norwegian Americans,male,1911-05-27,1978-01-13,https://en.wikipedia.org/wiki/Hubert_Humphrey
Jack I Korenbilt,,,,,,
JohnsonGrogan,,,,,,
Max K Rodes Bridge and,,,,,,
Patrick D Smith,,,,,,
US Army Sergeant Robert Daniel Sanchez,,,,,,
US Marine Corps Corporal Dustin Schrage,,,,,,
Willard Peebles,,,,,,
Deputy Charles Chuck Sease,,,,,,
Hollands,,,,,,https://commons.wikimedia.org/wiki/Category:Hollands_(surname)
Moody,,,,,,
A Slater Cox,,,,,,
Astor,,,,,,https://en.wikipedia.org/wiki/Astor_(surname)
Captain Jim Reynolds Jr USAF Malibu,,,,,,
Deputy Wayne Koester,,,,,,
Johnny C Treadwell,,,,,,
Major Claude A Gnann,,,,,,
Private Robert M McTureous Jr USMC Medal of Honor,,,,,,
RicheySimpson,,,,,,
Sgt Frederico G Borjas,,,,,,
Tera Ross,,,,,,
Abshier,,,,,,
Alec P Courtelis,,,,,,
Angela Simone Santos,,,,,,
Armand and Perry Lovell,,,,,,
Bernard Castro,inventor,,male,1904-08-11,1991-08-24,https://en.wikipedia.org/wiki/Bernard_Castro
Dr John M Haile,,,,,,
James C Cunningham,,,,,,
Jane Yongue Wood,,,,,,
Judge William T Swigert,,,,,,
Julius James  Family,,,,,,
Kenneth H Buddy MacKay and Jim H Williams,,,,,,
Leon B Thrasher,,,,,,
Lt Colonel Robert T Heagy Jr,,,,,,
McCallCustureri,,,,,,
Mike Stavola,,,,,,
Nathan Mayo,politician,,male,1876-12-01,1960-04-14,https://en.wikipedia.org/wiki/Nathan_Mayo
O D Buddy Huff Jr,,,,,,
Otis Beckford,,,,,,
R N Bert Dosh,,,,,,
Rainbow Springs,,,,,,"https://en.wikipedia.org/wiki/Rainbow_Springs,_Florida"
Ray  Davidson,,,,,,
Reverend Frank George Pinkston Sr,,,,,,
Wallace E Sturgis,,,,,,
Willard Ayres,botanist,,male,1871-01-14,1961-00-00,
William Hamilton Rutherford,,,,,,
William V Chappell Jr,,,,,,
Campbell Thornal,,,,,,
Carl G Rose,,,,,,
Central Florida,,,,,,https://en.wikipedia.org/wiki/Central_Florida
Dana F Fuquay,,,,,,
Daniel Webster Western,,,,,,
Francis L Dade,,,,,,
Getzen,,,,,,
Howard E Futch,,,,,,
Irlo Bronson,politician,,male,1936-06-04,2017-11-20,https://en.wikipedia.org/wiki/Irlo_Bronson_Jr.
