Name,Occupation,Race,Sex,Age
James B. Green,swimmer,,male,86.0
John Young,naval officer,,male,88.0
Spessard L. Holland,politician,,male,79.0
Hamilton Disston,businessperson,,male,52.0
Clyde Hart,pianist,,male,35.0
Douglas Stenstrom,lawyer,,male,89.0
"Martin Luther King, Jr.",pastor,African Americans,male,39.0
Alexandre Petion,politician,,male,48.0
Anne Ackerman,activist,,female,75.0
Arthur Mays,,,male,80.0
Benjamin Leon,,,male,70.0
Billy Kemp,musician,,male,
Carlos Arboleya,rugby union player,,male,
Carrie P. Meek,politician,African Americans,female,95.0
Charles Summer,,,male,
Chelsie J. Senerchia,politician,,male,91.0
Daniel J. Mahoney,political scientist,,male,
Don Shula,American football player,,male,90.0
Elaine Gordon,politician,,female,69.0
Emilio Ochoa,politician,,male,100.0
Estrella Rubio,researcher,,,
Felipe Valls,restaurateur,,male,89.0
Frederick Douglass,journalist,African Americans,male,78.0
George Gill,baseball player,,male,
Gwen Cherry,teacher,,female,56.0
Henri Levy,rabbi,,male,59.0
James Weldon Johnson,writer,African Americans,male,67.0
Jean Baptiste Point du Sable,merchant,,male,73.0
Jerry Underwood,saxophonist,,male,46.0
Jim Mandich,American football player,,male,63.0
John F. Cosgrove,politician,,male,57.0
John F. Kennedy,politician,Irish Americans,male,46.0
John I. Smith,horse trainer,,male,
Jorge Mas Canosa,businessperson,,male,58.0
Jose Regueiro,researcher,,male,
Julia Tuttle,businessperson,,female,49.0
Julia Tuttle,businessperson,,female,49.0
Lolo Villalobos,,,male,84.0
Luis Conte Aguero,historian,,male,101.0
Manolo Reyes,journalist,,male,84.0
Marjory Stoneman Douglas,journalist,,female,108.0
Martha Flores,announcer,,female,92.0
Mary Ellen Miller,scholar of English,,female,
Maurice Rosen,,,male,76.0
Norman Giller,journalist,,male,
Olga Guillot,actor,,female,88.0
Rafael Diaz-Balart,politician,,male,79.0
Rafael Diaz-Balart,politician,,male,79.0
Ramon Puig,dub actor,,male,97.0
Robert Frost,poet,,male,89.0
Rodolfo Garcia,lawyer,,male,76.0
Saint Marcellin Champagnat,Catholic priest,,male,51.0
Shepard Broad,banker,,male,95.0
Toussaint L'Ouverture,politician,,male,60.0
William H. Turner,stage actor,,male,81.0
William Lehman,politician,,male,92.0
Willy Chirino,singer,,male,
Yitzhak Rabin,diplomat,Jewish people,male,73.0
Harry S. Truman,politician,,male,88.0
James L. Redman,politician,,male,
Jim Holmes,association football player,,male,
Lee Roy Selmon,American football player,,male,57.0
David L. Curtis,politician,,male,
W. Howard Frankland,businessperson,,male,79.0
W. T. Williams,statistician,,male,82.0
John Van Waters,economist,,male,80.0
Tom Stuart,actor,,male,
"Dr. Martin Luther King, Jr.",pastor,African Americans,male,39.0
Oswaldo Payá,politician,,male,60.0
Michael Moskowitz,,,male,
Marjorie Merriweather Post,socialite,,female,86.0
George Crady,politician,,male,
Matthew Powers,researcher,,,
Christa McAuliffe,astronaut,,female,38.0
Lois D. Martin,,,female,
Rush Limbaugh,radio personality,,male,70.0
