OBJECTID,COUNTY,COUNTY_ID,DESIGNATIO,DESCRIPTIO,HWY_NAME,BILL,DEDICATED,EFFECTIVE_,District,Local_Name,BILL_URL,CreationDa,Creator,EditDate,Editor,MemId,Shape_Leng,LOCAL_RES,GlobalID,Shape__Length,BILL_DESCRIPTION,BILL_YEAR,wikipedia_url_sam,Does_Sam_Think_is_real,dob_sam,status,match_confidence,validated,validation_notes,summary,education,dod_sam,place_of_birth,place_of_death,gender_sam,involved_in_sports,involved_in_politics,involved_in_military,involved_in_music,Matched Name,dept_url,url,name,age,tour,badge,cause,weapon,incident_description,bio_section_raw,incident_details_raw,Clean_Name,Primary Occupation,Race,Sex,Birth Date,Death Date,Wikipedia Link,Noah_Thinks_is_Real
12,Hillsborough,10.0,Sergeant Paul Smith Memorial Highway,"That portion of U.S. 301/S.R. 43 between S.R. 574/Martin Luther King, Jr., Boulevard and S.R. 60/E. Adamo Drive in Hillsborough County is designated as ""Sergeant Paul Smith Memorial Highway.""",US-301,CS/CS/SB 820,2014/07/01 05:00:00+00,2014.0,7.0,, ,, ,, ,12.0,3688.57484887,0.0,2f4836c0-6475-4184-936e-95ed2aef036c,4194.27927606592,,,https://en.wikipedia.org/wiki/David_Smith_%28Florida_politician%29,no,1971-01-01,Found,39.3,True,seq=13.3; mil:+15; fl:+10; county-miss:-8; us:+5,"David Smith is a Florida-based politician known for his service in the Florida House of Representatives. Born in 1971, he has been actively involved in state-level legislative work, focusing on policy areas such as education and economic development. Smith earned recognition for his bipartisan efforts and advocacy for local community issues during his tenure. His political career reflects a commitment to public service and governance in Florida.",,,not found,not found,male,no,yes,no,no,,,,,,,,,,,,,,,,,,,,
13,Lake,11.0,Sergeant Marvin L. Roberts Memorial Highway,"That portion of S.R. 19 between S.R. 50 and C.R. 478/Cherry Lake Road in Lake County is designated as ""Sergeant Marvin L. Roberts Memorial Highway.""",SR-19,CS/CS/SB 368,2017/07/01 05:00:00+00,2017.0,5.0,CR-561/Minneola Ave/8th St/Lake Dr/C-561/Monroe St/Duncan Dr/Lake Minneola Dr/S Main St, ,, ,, ,13.0,3179.67885955,0.0,3a25179f-25ee-4002-af44-ad291a4fa80a,3636.35327892956,,,https://en.wikipedia.org/wiki/Marvin_Opler,no,1914-01-01,Found,28.8,True,seq=13.8; last-mismatch:-4; mil:+15; fl-miss:-10; county:+8,"Marvin Opler was an American anthropologist and social psychiatrist born in 1914, known for his ethnographic work among Native American tribes and Japanese-American communities. He conducted influential research on the psychological impacts of Japanese-American internment during World War II, contributing to both anthropology and social psychiatry. Opler earned his Ph.D. from the University of Chicago and later taught at institutions like Cornell University and the University of Oklahoma. He passed away in 1981, leaving a legacy in applied anthropology and cross-cultural mental health studies.","['University of Chicago, Ph.D. in Anthropology', 'Cornell University, Faculty Position', 'University of Oklahoma, Faculty Position']",1981-01-01,"Buffalo, New York, United States",not found,male,no,no,no,no,,,,,,,,,,,,,,,,,,,,
16,Leon,55.0,CK Steele Memorial Highway,"That portion of State Road 371/373/Orange Avenue between State Road 263/Capital Circle Southwest and State Road 61/Monroe Street in Leon County is designated as ""CK Steele Memorial Highway.""", ,CS/CS/SB 382,2018/07/01 05:00:00+00,2018.0,3.0,Orange Avenue, ,, ,, ,18.0,7006.92313465,1.0,ca66f8e1-3be0-4b9d-bfd0-12edc7796dd6,8113.89763784363,,,https://en.wikipedia.org/wiki/Charles_Kenzie_Steele,yes,1914-01-18,Found,58.0,True,seq=12.0; human:+40; fl:+10; county-miss:-8,"Charles Kenzie Steele was a prominent American civil rights leader born on January 18, 1914, in Atlanta, Georgia. He served as the president of the Southern Christian Leadership Conference (SCLC) from 1963 to 1967, succeeding Dr. Martin Luther King Jr. in this role. Steele was a key figure in organizing nonviolent protests and advocating for racial equality during the Civil Rights Movement. He passed away on September 19, 1980, leaving behind a legacy of activism and leadership in the fight for justice and equality.","['Morehouse College, Atlanta, Georgia', 'Bachelor of Arts in Sociology', 'Howard University School of Divinity, Washington, D.C.']",1980-09-19,"Atlanta, Georgia, United States","Tallahassee, Florida, United States",male,no,yes,no,no,,,,,,,,,,,,,,,,,,,,
17,Okaloosa,57.0,Deputies Tony Forgione and Bill Myers Memorial Bridge,"Bridge number 570018 on S.R. 85/Eglin Parkway over Garnier Bayou in Okaloosa County is designated as ""Deputies Tony Forgione and Bill Myers Memorial Bridge.""", ,CS/CS/SB 382,2018/07/01 05:00:00+00,2018.0,3.0,Eglin Parkway, ,, ,, ,16.0,469.907796678,0.0,85aa1af8-0159-44d1-96c4-96e7ea56841e,545.095046791493,That portion of Northeast Sixth Avenue between Northeast 113th and 121st Street in Miami-Dade County is designated as “Biscayne Park Way.,2010.0,https://en.wikipedia.org/wiki/Donny_Osmond,no,1957-12-09,Found,32.2,True,seq=11.2; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5,"Donny Osmond is an American singer, dancer, actor, and television host born on December 9, 1957. He rose to fame as a child star in the 1960s alongside his brothers in The Osmonds, a family music group that achieved global success. Throughout his career, he has released numerous hit singles like 'Puppy Love' and 'Go Away Little Girl,' while also starring in Broadway productions such as Joseph and the Amazing Technicolor Dreamcoat. Osmond remains a prominent figure in entertainment, known for his versatility across music, television, and theater over six decades.",,,"Ogden, Utah, United States",not found,male,no,no,no,yes,,,,,,,,,,,,,,,,,,,,
18,Okaloosa,57.0,"John B. Arnold, Jr., Memorial Highway","That portion of S.R. 190/Valparaiso Parkway between S.R. 85/Government Avenue and S.R. 397/John Sims Parkway in Okaloosa County is designated as ""John B. Arnold, Jr., Memorial Highway.""", ,CS/CS/SB 382,2018/07/01 05:00:00+00,2018.0,3.0,, ,, ,, ,17.0,1977.38670696,0.0,660e7201-3f86-4b69-92c0-8fe6af7db2e0,2286.97517600287,,,Not Found,no,,Not Found,19.7,False,seq=7.7; last-mismatch:-4; fl:+10; county:+8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Pinellas,15.0,"Gold Star Family Memorial Bridge, dedicated to U.S. Army CPL Frank R. Gross","Bridge numbers 150202 and 150203 on S.R. 580/Main Street in Pinellas County are designated as ""Gold Star Family Memorial Bridge, dedicated to U.S. Army CPL Frank R. Gross.""",SR-579,CS/CS/SB 382,2018/07/01 05:00:00+00,2018.0,7.0,, ,, ,, ,19.0,652.02333929,0.0,4091f6a0-deb6-4e0c-877b-a2649a663072,739.912734548164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Collier,3.0,Submarine Veterans Memorial Highway,"That portion of I-75/S.R. 93 (03175000) between mile marker 110 and the Broward County line in Collier County is designated as ""Submarine Veterans Memorial Highway.""", ,CS/CS/SB 382,2018/07/01 05:00:00+00,2018.0,1.0,, ,, ,, ,20.0,7315.19592677,0.0,52f90c85-43f7-4f64-b63a-8b0745860f6c,8199.0263719789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Seminole,77.0,Dr. R.C. Sproul Way,"That portion of S.R. 46 between International Parkway and S.R. 431/Orange Boulevard in Seminole County is designated as ""Dr. R.C. Sproul Way.""", ,CS/CS/SB 382,2018/07/01 05:00:00+00,2018.0,5.0,, ,, ,, ,21.0,1483.63353038,0.0,da2f5067-e8cd-4767-bd43-47440267087c,1692.63200928182,,,https://en.wikipedia.org/wiki/Bruce_Waltke,no,1930-06-30,Found,48.0,True,seq=7.0; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Bruce K. Waltke is an American biblical scholar and theologian born on June 30, 1930, known for his expertise in Old Testament studies. He served as a professor at institutions like Dallas Theological Seminary, Regent College, and Reformed Theological Seminary, contributing significantly to evangelical scholarship. Waltke authored influential works such as An Old Testament Theology and co-authored An Introduction to Biblical Hebrew Syntax. His academic career and publications have made him a prominent figure in conservative biblical interpretation and Hebrew language studies.","['Houghton College, BA', 'Dallas Theological Seminary, ThM', 'Dallas Theological Seminary, ThD', 'Harvard University, PhD in Near Eastern Languages and Literature']",,not found,not found,male,no,no,no,no,,,,,,,,,,,,,,,,,,,,
22,Volusia,79.0,David G. Ledgerwood Memorial Highway,"That portion of S.R. 415 between Acorn Lake Road and Reed Ellis Road in Volusia County is designated as ""David G. Ledgerwood Memorial Highway.""", ,CS/CS/SB 382,2018/07/01 05:00:00+00,2018.0,5.0,, ,, ,, ,22.0,7781.78635956,0.0,af832da6-c004-4b8c-859a-3f5691b8f9e5,8914.42478076943,,,https://en.wikipedia.org/wiki/Judy_Ledgerwood,no,1959-01-01,Found,45.1,True,seq=14.1; human:+40; fl-miss:-10; county-miss:-8; us:+5,"Judy Ledgerwood is an American contemporary artist known for her vibrant, large-scale abstract paintings and chromatic installations. Born in 1959, she explores color theory, geometric patterns, and feminist themes in her work, gaining recognition in the 1990s art scene. Ledgerwood has exhibited internationally, with works held in major collections like the Art Institute of Chicago and the Museum of Contemporary Art, Los Angeles. Her contributions bridge painting, sculpture, and public art, influencing modern abstract practices.","['The School of the Art Institute of Chicago', 'Bachelor of Fine Arts, 1982', 'Yale University School of Art', 'Master of Fine Arts, 1986']",,"Evanston, Illinois, United States",not found,female,no,no,no,no,,,,,,,,,,,,,,,,,,,,
23,Alachua,26.0,Rev. Dr. Thomas A. Wright Boulevard,"That portion of C.R. 1476/N.E. 8th Avenue between N.E. 15th Street and N.E. 26th Terrace in Alachua County is designated as ""Rev. Dr. Thomas A. Wright Boulevard.""", ,CS/CS/SB 368,2017/07/01 05:00:00+00,2017.0,2.0,NE 8th Ave/NE 25th Ave, ,, ,, ,23.0,1305.00952524,0.0,a7217188-a96f-41a7-b1c6-35083065cbe5,1500.84336142104,,,https://en.wikipedia.org/wiki/Thomas_A._Wright_Sr.,ues,1908-01-01,Found,36.8,True,seq=17.8; last-mismatch:-4; rel:+15; fl:+10; county-miss:-8,"Thomas A. Wright Sr. was an American religious leader and military veteran born in 1908. He served in the U.S. military during World War II, contributing to his community's development post-service. Wright later became a prominent minister, focusing on religious education and ministry work. His legacy includes mentorship and leadership within his local church and broader community until his passing in 1993.","['Elementary education (specific institution not listed)', 'Religious education (institution not specified)']",1993-01-01,not found,not found,male,no,no,yes,no,,,,,,,,,,,,,,,,,,,,
24,Broward,86.0,Candice Ellize Francois Street,"That portion of Palm Avenue between Pembroke Road and Miramar Parkway in Broward County is designated as ""Candice Ellize Francois Street.""", ,CS/CS/SB 368,2017/07/01 05:00:00+00,2017.0,4.0,Palm Avenue, ,, ,, ,24.0,1451.19659171,0.0,0fe67f30-0791-416a-8140-ef11eb00130e,1622.71198813271,,,Not Found,no,,Not Found,0.0,False,no-candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Jackson,53.0,Governor Mixson Highway,"That portion of S.R. 73 between the Calhoun County line and U.S. 231 in Jackson County is designated as ""Governor Mixson Highway.""",SR-73,CS/CS/SB 820,2014/07/01 05:00:00+00,2014.0,3.0,, ,, ,, ,25.0,39894.2806658,0.0,b706e2eb-4cc1-4d3f-b1ab-dbf1f4fbc489,46437.9009763333,,,https://en.wikipedia.org/wiki/Wayne_Mixson,yes,1922-06-16,Found,77.9,True,seq=11.9; human:+40; pol:+15; fl:+10; county-miss:-8; us:+5,"Wayne Mixson was born on June 16, 1922, in New Brockton, Alabama, and passed away on July 31, 2020. He was an American politician who served as the 39th Governor of Florida for three days in 1987, succeeding Bob Graham after his resignation. Prior to this, Mixson had a long career in the Florida State Legislature, including roles in both the House of Representatives and the Senate. He was also a prominent figure in the Florida Farm Bureau and a veteran of World War II, contributing to his legacy in public service and agriculture.","['University of Florida, Bachelor of Science in Agriculture (1949)', 'University of Florida, Juris Doctor (1951)']",2020-07-31,"New Brockton, Alabama, United States","Tallahassee, Florida, United States",male,no,yes,yes,no,,,,,,,,,,,,,,,,,,,,
26,Broward,86.0,The Hope and Healing Highway,"That portion of U.S. 1 between Broward Boulevard and Sunrise Boulevard, in Broward County, is designated as ""The Hope and Healing Highway.""",US-1/SR-5,CS/CS/SB 368,2017/07/01 05:00:00+00,2017.0,4.0,, ,, ,, ,26.0,1679.95431153,0.0,b109eabd-587d-48e9-891a-27e993282ce2,1880.03666588836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Broward,86.0,John U. Lloyd Bridge,"Bridge Number 860920 over the Stranahan River in Broward County is designated as ""John U. Lloyd Bridge.""",SR-A1A,CS/CS/SB 368,2017/07/01 05:00:00+00,2017.0,4.0,Dania Beach Boulevard, ,, ,, ,27.0,156.470692776,0.0,01706cb0-6a30-4c56-a1a9-36a80419306f,174.109740003797,W. 24th Avenue and S.W. 27th Avenue in Miami-Dade County is designated as “Manuel Capo Boulevard. W. 24th Avenue and S.W. 27th Avenue in Miami-Dade County is desinged as “Manuel Capo Boulevard.,2010.0,https://en.wikipedia.org/wiki/John_O%27Hurley,no,1954-10-09,Found,72.3,True,seq=12.3; last-mismatch:-4; human:+40; fl:+10; county:+8,"John O'Hurley is an American actor, comedian, and television personality born on October 9, 1954. He is best known for his role as J. Peterman on the NBC sitcom Seinfeld and as the host of Family Feud from 2006 to 2010. O'Hurley has also appeared in Broadway productions, including Chicago, and authored several books. His career spans television, theater, and voice acting, making him a versatile entertainer in the industry.","['Providence College', 'Bachelor of Arts in Theater', 'New York University (NYU), Tisch School of the Arts']",,"Kittery, Maine, United States",not found,male,no,no,no,yes,,,,,,,,,,,,,John U. Lloyd,,,,,,https://en.wikipedia.org/wiki/Dr._Von_D._Mizell-Eula_Johnson_State_Park,False
28,Escambia,48.0,Wilbur Barry Highway,"That portion of U.S. 29/Pensacola Boulevard between W Street and Marcus Pointe Boulevard/Stumpfield Road in Escambia County is designated as ""Wilbur Barry Highway.""", ,CS/CS/SB 368,2017/07/01 05:00:00+00,2017.0,3.0,Pensacola Boulevard, ,, ,, ,28.0,638.090459819,0.0,4ca92d3a-ca10-4d1d-81e0-974cf388d494,739.447984755057,R. 852/NW 215th/County Line Road in Miami-Dade County is designated as “Nelson Mandela Boulevard.,2014.0,https://en.wikipedia.org/wiki/Dan_Mullen,no,1972-04-27,Found,47.0,True,seq=1.8; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Dan Mullen is an American football coach born on April 27, 1972, known for his successful career in collegiate coaching. He served as the head coach for the Mississippi State Bulldogs (2009–2017) and the Florida Gators (2018–2021), achieving multiple bowl game victories and conference accolades. Mullen began his coaching journey as a graduate assistant at Syracuse before rising through the ranks at institutions like Notre Dame and Utah. His innovative offensive strategies and player development, particularly with quarterbacks like Dak Prescott and Tim Tebow, cemented his reputation as a top-tier coach in college football.","['Trinity High School (PA)', ""Ursinus College, Bachelor's in Political Science"", ""Syracuse University, Master's in Education""]",,"Drexel Hill, Pennsylvania, United States",not found,male,yes,no,no,no,,,,,,,,,,,,,,,,,,,,
29,Franklin,49.0,SP4 Robert Clifford Millender Memorial Highway,"That portion of U.S. 98/S.R. 30 between Ryan Drive/W. 11th Street and N.E./S.E. 12th Street in Franklin County is designated as ""SP4 Robert Clifford Millender Memorial Highway.""",US-98/SR-30,CS/CS/SB 368,2017/07/01 05:00:00+00,2017.0,3.0,, ,, ,, ,29.0,93.8070992372,0.0,0759624d-913c-4b9c-afd6-fa3fdf2047c1,108.08520505244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Hillsborough,10.0,Francisco A. Rodriguez Avenue,"That portion of N. Willow Avenue between W. Cypress Street and W. Cass Street in Hillsborough County is designated as ""Francisco A. Rogriguez Avenue.""", ,CS/CS/SB 368,2017/07/01 05:00:00+00,2017.0,7.0,N. Willow Avenue, ,, ,, ,30.0,240.18416952,0.0,c0630820-5a02-4df0-bdaf-9415c360f145,273.168862164841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Hillsborough,10.0,Helen Gordon Davis Boulevard,"That portion of Davis Boulevard between Adalia Avenue and Adriatic Avenue in Hillsborough County is designated as ""Helen Gordon Davis Boulevard.""", ,CS/CS/SB 368,2017/07/01 05:00:00+00,2017.0,7.0,Davis Boulevard, ,, ,, ,31.0,426.314246967,0.0,13fe712c-2dae-4153-bd40-9586b7dcab67,483.851747595156,oS.R. 109/University Boulevard between Clifton Avenue and Fort Caroline Road in DuvalCounty is designated as “Jim Tullis memorial Boulevard.,2018.0,Not Found,no,,Not Found,18.7,False,seq=9.7; last-mismatch:-4; fl:+10; county-miss:-8; us:+5,,,,,,,,,,,,,,,,,,,,,,,Helen Gordon Davis,actor,,female,1926-12-25,2015-05-18,https://en.wikipedia.org/wiki/Helen_Davis,True
32,Levy,34.0,Deputy A. Hagood Ellzey Memorial Highway,"That portion of U.S. 19/98 South between mile marker 23 and mile marker 25 in Levy County is designated as ""Deputy A. Hagood Ellzey Memorial Highway.""", ,CS/CS/SB 368,2017/07/01 05:00:00+00,2017.0,2.0,, ,, ,, ,32.0,3216.85316207,0.0,cffcb0a7-3026-4e6b-9886-73468021ff7a,3701.58139594297,,,Not Found,no,,Not Found,0.0,False,no-candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Miami-Dade,87.0,Trooper Patrick Ambroise Memorial Highway,"That portion of Homestead Extension of the Florida Turnpike/S.R. 821 between mile marker 34 and mile marker 36 in Miami-Dade County is designated as ""Trooper Patrick Ambroise Memorial Highway.""", ,CS/CS/SB 368,2017/07/01 05:00:00+00,2017.0,6.0,Florida Turnpike, ,, ,, ,33.0,3206.92101187,0.0,d35c4b78-0fc2-41ab-b0a7-8a2ae6e92bae,3581.95212027145,Milepost 22.182on U.S. Highway 27 in Highlands County is designated as “Florida Highway Patrol Trooper Sgt.,2012.0,Not Found,no,,Not Found,0.0,False,seq=5.4; last-mismatch:-4; le:+15; fl-miss:-10; county-miss:-8; us:+5; nobility:-40,,,,,,,,,,,Trooper Patrick Ambroise,https://www.odmp.org/agency/1281-florida-highway-patrol-florida,https://www.odmp.org/officer/20401-trooper-patrick-ambroise,Trooper Patrick Ambroise,35.0,4 years,Not available,Automobile crash,,"PATRICK AMBROISE Trooper Patrick Ambroise was killed when his patrol car was struck from behind while he was stopped on the shoulder of the Florida Turnpike, near Okeechobee Road. A vehicle being driven on the turnpike suddenly veered onto the shoulder and struck Trooper Ambroise's 2006 Crown Victoria from behind, causing it to burst into flames, and trapping him inside. The driver of the vehicle that caused the crash was seriously injured. Trooper Ambroise had served with the Florida Highway Patrol for four years. He is survived by his wife, two young daughters, mother, and five siblings.",BIO Age 35 Tour 4 years Badge Not available INCIDENT DETAILS Cause Automobile crash Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs,INCIDENT DETAILS Cause Automobile crash,,,,,,,,
34,Multiple Counties,0.0,Deputy Christopher Smith Memorial Highway,"That portion of U.S. 90/S.R. 10 between Chaires Cross Road and S.R. 59 in Leon County and Jefferson County is designated as ""Deputy Christopher Smith Memorial Highway.""", ,CS/CS/SB 382,2018/07/01 05:00:00+00,2018.0,3.0,, ,, ,, ,34.0,10976.2657395,0.0,a0a4d4a9-29cc-4044-80b7-bfdd89905865,12734.0774296333,,,Not Found,no,,Not Found,13.4,False,seq=12.4; le:+15; fl-miss:-10; county-miss:-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
