OBJECTID,MEMORIAL_N,DESCRIPTIO,YEAR,INCIDENT_YEAR,COUNTY,HIGHWAY,MAINTENANCE_DISTRICT,NAME,LOCATION,TITLE_69_STATUTE,LAW_COMMISSION_ITEM,HISTORICAL_NOTES,WORKING_DETAILS,NEVER_FORGOTTEN,MEMORIAL_CATEGORY,LAST_EDITED_USER,LAST_EDITED_DATE,HISTORICAL_NOTES_2,YORN,HISTORICAL_NOTES_3,HISTORICAL_NOTES_4,Shape__Length
29,Army Ranger Staff Sgt. Vinson Bryon ""Trinity"" Adkinson III Memorial Highway,The section of SH 7 between SH 65 in Comanche Coounty and US 81 in Stephens County.,2014,,"Comanche, Stephens",SH 7,7,"Army Ranger Staff Sgt. Vinson Bryon """"Trinity"""" Adkinson, III Memorial Highway",The section of SH 7 between SH 65 in Comanche County and US 81 in Stephens County.,1698.210.,"Senate Bill 1524, c. 369, § 6, Okla. Session Laws 2014; Commission Item 146 (II, g), 11‐3‐2014.",,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.245556032764066
30,"Army T/Sgt. Yancy B Kite, KIA WWII, Memorial Highway",Section of SH 78 beginning at County Road N3590 extending east to the western municipal limits of Millburn in Johnston County.,2016,,Johnston,SH 78,3,"Army T/Sgt. Yancy B. Kite, KIA WWII, Memorial Highway",A section of SH 78 beginning at County Road N3590 extending east to the western municipal limits of Milburn.,1698.235.,"Laws 2016, HB 2268, c. 239, § 7, eff. November 1, 2016 Commission Item 159, 11-9-15",,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.0622392463529939
31,B. L. Klutts,The section between Arkoma and Pocola.,,,,,,,,,,,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,,,,0.129309043752596
32,Barbara S. Swineford Highway,A section of US 283 beginning in Laverne extending north to US 64.,2012,,Harper,US-283,6,Barbara S. Swineford Highway,A section of US 283 beginning in Laverne extending north to US 64.,1698.144.,"Senate Bill 1320, c. 309, § 6, Okla. Session Laws 2012;
Commission Item 92(I, c, 8), 7‐2‐12.",Served on the Red Carpet Country Board of Directors.,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.0979139697232074
33,Ben Haskins Mem. Hwy,From Pushmataha County Line to Hugo Lake in Choctaw County.,1979,,Pushmataha,SH 93,2,Ben Haskins Memorial Highway,From Pushmataha County Line to Hugo Lake in Choctaw County. ,,"Commission Item 161, 10‐1‐79.","Ben Fred Haskins was a road builder and owner of the Ben Haskins Construction Company from 1954 to November 6, 1971.",,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.0652391162538998
34,Ben Johnson Mem. Hwy,The section from Washington County line to junction of US 60 & SH 99.,1997,,Washington,US 60,8,Ben Johnson Memorial Highway,The section from the Washington County Line to the US 60 & SH 99 junction.,,"H. C. Res. 1045, Okla. Session Laws 1997, pg. 2898;  Commission Item 146, 7‐7‐97.","A movie actor and winner of an Academy Award.  He has starred in She Wore A Yellow Ribbon, Rio Grande, Shane, and The Wild Bunch.",,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.307754514653229
35,Bertha Parker Bypass,The southeast section of the Tahlequah Bypass.,1981,,Cherokee,US-62,1,Bertha Parker Bypass,The southeast section of  the Tahlequah Bypass.,,"S. C. Res. 16, Okla. Session Laws 1981;  Commission Item 86, 5‐4‐81.","Served as an Oklahoma Transportation Commissioner from February 3, 1975, to March 3, 1984.  Also, served as President of the American Legion Auxiliary.",,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.0356340464362651
36,Bill Swisher Memorial Highway,The seciton between Morgan Road and the Oklahoma County Line,2013,,Canadian,I‐40,4,Bill Swisher Memorial Highway,The section between Morgan Road and the Oklahoma County Line. ,1698.183.,"Senate Bill 418, c. 372, § 1, Okla. Session Laws 2013; Commission Item 154 (I, b), 11‐5‐2013.","Inventor of the ""Auto‐Grade"", a technology that changed the world's method of paving roads.",,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.0177199599185604
37,Bill W. Burgess Jr. Highway,A section of I-44 beginning one mile north of US62 extending south to SH7.,2012,,Comanche,I‐44,8,Bill W. Burgess Jr. Highway,A section of I-44 beginning one mile north of US 62 extending south to SH 7,1698.126.,"House Bill 3108, c. 305, § 10, Okla. Session Laws 2012; Commission Item 92(I, b, 14), 7‐2‐12 (deferred); Commission Item 108(I, a), 8‐6‐12.",He was appointed Oklahoma State Regent for Higher Education in 1993 and reappointed in 2002 for another nine-year term.,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.0635495992322499
38,Charles ""Chub"" Shaw Memorial Highway,The section between County Road N2090 & County Road N2070.,2014,,Dewey,US 60,5,Charles ""Chub"" Shaw Memorial Highway,The section between County Road N2090 & County Road N2070.,1698.195.,"House Bill 3018, c. 268, § 2, Okla. Session Laws 2014; Commission Item 146 (I, j), 11‐3‐2014.",,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.0384894285456949
39,Charles Davis Memorial Highway,The section of SH 125 beginning at SH 85A extending south until termination at Monkey Island.,2012,,Delaware,SH 125,8,Charles Davis Memorial Highway,The section of SH 125 beginning at SH 85A extending south until termination at Monkey Island.,1698.124.,"House Bill 3108, c. 305, § 8, Okla. Session Laws 2012; Commission Item 92(I, b, 17), 7‐2‐12.",Founder of Shangri‐La Resort.,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.103760303323358
40,Chief Warrant Officer Brady Rudolf Memorial Highway,A section of US 70 beginning at the Bryan/Marshall County Line extending east to Durant.,2010,,Bryan,US-70,2,Chief Warrant Officer Brady Rudolf Memorial Highway ,A section of US 70 beginning at the Bryan/Marshall County Line extending east to Durant.,1698.74.,"Senate Bill 1713, c. 187, § 3, Okla. Session Laws 2010; Commission Item 73(h, 3), 6‐7‐10.","Chief Warrant Officer Rudolf was killed on September 18, 2008, when the army helicopter he was in went down in Iraq.",,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.146099453376171
41,Chief Warrant Officer Gordon Spangler Memorial Highway,The section of SH 19 between US 81 south of Chickasha and Little Washita River Bridge,2011,,Grady,SH 19,7,Chief Warrant Officer Gordon Spangler Memorial Highway ,The section of SH 19 between US 81 south in Chickasha and Little Washita River Bridge.,1698.109.,"Senate Bill 11, c. 246, § 3, Okla. Session Laws 2011; Commission Item 92(a, 1), 7‐11‐11.","Joined in 1936, the 189th Service Battery of the Army National Guard.  His unit received the Presidential Unit Citation for its action in Salerno, Italy, in 1943 and again for its action in the Korean War. He received the Oklahoma Distinguished Medal and ",,,,OKDOT_GIS,12/10/2025 2:36:50 PM,the Governor's Citation for ""Long and Faithful Service"".,1,,,0.0767620703784576
42,Chisholm Trail Highway,Across Oklahoma.,1996,,Statewide,US 81,4,Chisholm Trail Highway,Across Oklahoma.,,"S. J. Res. 30, Okla. Session Laws 1996, pg. 1869. ",,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,3.41089820393392
43,Choctaw-Chickasaw Trail of Tears Mem. Highway,Beginning at I-35 extending east to the Arkansas State Line.,2004,,"Southeast Area (Carter, Marshall, Bryan, Choctaw, McCurtain)",US 70,2,Choctaw‐Chickasaw Trail of Tears Memorial Highway,Beginning at I-35 extending east to the Arkansas State Line.,,"H. C. Res. 1064, Okla. Session Laws 2004; Commission Item 104‐C, 6‐7‐04.",A memorial dedicated to native American nations that had to relocate southeast because of the Indian Removal Act of 1830.,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,2.97406561839423
44,Cimarron Hwy,The section of US-64 beginning at the intersection of I-244 in Tulsa County extending westerly to the intersection of US 270 & SH 3 Junction in Woodward.,1987,,Western portion of the state,US 64,6,Cimarron Highway,The section of US-64 beginning at the intersection of I‐244 in Tulsa County extending westerly to the intersection of US 270 & SH 3 Junction in Woodward.,,"Commission Item 5‐A, 1‐5‐87.",,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,3.551511889313
45,Clara Luper Corridor,The section between I-235 and I-35 in Oklahoma City on N. 23rd Street.,2000,,Oklahoma,SH 107,4,Clara Luper Corridor,The section between I‐235 and I‐35 in Oklahoma City on N. 23rd Street. ,1636,"House Res. 2714, c. 663, § 1, Okla. Session Laws 2000; Commission Item 97‐A, 6‐5‐00.",Civil‐rights supporter.,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.0474572306655641
46,"Clarence F. 'Chink' Douglas, Lawman Highway","The US 69 Southbound lanes only, from 100 yards north of the US Business exit in Eufaula to 100 yards south of US 69 Business south of Eufaula.",2002,,McIntosh,US 69,1,"Clarence F. 'Chink' Douglas, Lawman Highway
","The US 69 southbound lanes only, from 100 yards north of the US Business exit in Eufaula to 100 yards south of US 69 Business south of Eufaula.",,"Senate Bill 1623, Okla. Session Laws 2002;  Commission Item 95‐A‐3, 6‐3‐02.",Served as McIntosh County Sheriff for 28 years from 1947 to 1975.,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.0551197159548661
47,Billy B. Walkabout Memorial Highway,The section of I-40 (also I-35 at this point) between I-235 and Eastern Avenue in Oklahoma City,2010,,Oklahoma,I‐40,4,Billy B. Walkabout Memorial Highway,The section of I-40 (also I-35 at this point)  between I‐235 and Eastern Avenue in Oklahoma City. ,1698.65.,"House Bill 1006, c. 177, § 1, Okla. Session Laws 2010; Commission Item 73(a), 6‐7‐10.","Sergeant Billy Walkabout, a full-blood Cherokee Indian, served in the Vietnam War.  An Airborne Ranger of the 101st received a Purple Heart, five Silver Stars, five Bronze Stars, and a Distinguished Service Cross.  He died March 7, 2007, from ",,,,OKDOT_GIS,12/10/2025 2:36:50 PM,complications caused by Agent Orange.,1,,,0.011947135509423
48,Billy Fairl Morgan Memorial Highway,"On S.E. 29th Street, from Harrah Road in Oklahoma County to McLoud in Pottawatomie County.",2005,,Oklahoma,SH 270,4,Billy Fairl Morgan Memorial Highway,"On S. E. 29th Street, from Harrah Road in Oklahoma County to McLoud in Pottawatomie County.",1668          1678,"Senate Bill 1480, c. 412, § 10, Okla. Session Laws 2004;
House Bill 1262, c. 51, § 2, Okla. Session Laws 2005; Commission Item 125 (B, 10), 7‐6‐04. Commission Item 103 (A, 3), 6‐6‐05.","An agent for the Oklahoma State Bureau of Narcotics who was killed in the line of duty on July 20, 1981. The memorial was relocated in 2005.",,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.0349997906884765
49,Black Kettle Mem. Hwy,Beginning at the Texas State line and extending to Cheyenne and also all of SH 47A.,1998,,Roger Mills,"SH-47, SH-47A",5,Black Kettle Memorial Highway,Beginning at the Texas State Line and extending to Cheyenne and also all of SH 47A.,,"H. J. Res. 1075, Okla. Session Laws 1998, pg. 2407; Commission Item 111‐A, 6‐1‐98.",Black Kettle was a great Cheyenne Chief.,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.396001962093068
50,Blue Star,Across Oklahoma.,1951,,Statewide,US-77,4,Blue Star Memorial Highway,Across Oklahoma.,1601,"S. J. Res. 12, Okla. Session Laws 1951, pg. 350; 
 Commission Item Garden Club Delegation, pg. 71974, 10/4/51; Commission Item Garden Club Delegation, pg. 71997, 11/7/51;
Commission Item 736, 11/7/51.",Dedicated in honor of all Oklahomans who served in the Armed Forces of the United States in World War I and World War II. Garden Clubs across Oklahoma requested the installation of the monuments.,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,4.07065887344814
51,Bobby Green Memorial Expressway,On the Duncan Bypass from SH 7 north of Duncan south through the west side of Duncan to US 81.,2005,,Stephens,"Duncan
Bypass",7,Bobby Green Memorial Expressway,On the Duncan Bypass from SH 7 north of Duncan south through the west side of Duncan to US 81.,1684,"House Res. 1310, c. 157, § 5, Okla. Session Laws 2005; Commission Item 103 (B, 5), 6‐6‐05.","Served as an Oklahoma Highway Division Engineer for Division VIII from May 1971 to November 1974; Oklahoma Transportation Director from March 1, 1991, to January 31, 1993.",,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.127486040975065
52,Bobby Joe Cudd Memorial Highway,Section of SH 15 beginning in Woodward and extending west to Fargo in Woodward County.,2017,,Woodward,SH-15,6,Bobby Joe Cudd Memorial Highway,The section of SH 15 beginning in Woodward and extending west to Fargo.,1698.264.,"Laws 2017, SB 166, c. 311, § 1, eff. November 1, 2017 Commission Item 129, 10-2-2017.           ",He was honored for his leadership and community spirit.,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.199514528735064
53,Braggs Veterans Memorial Highway,A section of SH 10 beginning one mile north of the Braggs City limits extending one mile south past the southern city limits.,2012,,Muskogee,SH 10,1,Braggs Veterans Memorial Highway,A section of SH 10 beginning one mile north of  the Braggs city limits extending one mile south past the southern city limits.,1698.158.,"Senate Bill 1320, c. 309, § 20, Okla. Session Laws 2012; Commission Item 92(I, c, 3), 7‐2‐12.",,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.0450448179378125
54,Broken Arrow Expressway,The section between US 75 in Tulsa County and Coweta in Wagoner County.,1999,,"Tulsa, Wagoner",SH 51,"8, 1",Broken Arrow Expressway,The section between US 75 in Tulsa County and Coweta in Wagoner County.,1633,"House Res. 1455, Okla. Session Laws 1999, pg. 197; Commission Item 104‐A, 7‐6‐99.",,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.316360705303275
55,Callahan Lane Mem. Road,"Beginning at the intersection of US 70 west of Lake Texoma in Marshall County, and extending to the Access Road into Chickasaw Pointe Golf Course.",2002,,Marshall,Access Road,2,Callahan Lane,"Beginning at the intersection of US 70 west of Lake Texoma in Marshall County, and extending to the Access Road into Chickasaw Pointe Golf Course.",,"Senate Res. 55, Okla. Session Laws 2002;
Commission Item 165‐E, 10‐7‐02. ",Employed by the Oklahoma Tourism and Recreation Department in 1992 as the golf professional at Lake Texoma State Park.  Served as the Field Operations Coordinator for all state-owned golf courses.,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.00815612701279507
56,Clem McSpadden Mem. Hwy,The section of SH 66 between Claremore and Bushyhead.,1985,,Rogers,SH 66,8,Clem McSpadden Highway,The section of SH 66 between Claremore and Bushyhead. ,,"Commission Item 175, 10‐7‐85.","Rancher and sponsor of the World's Richest Roping Event held annually at Bushyhead.  Served as an Oklahoma State Senator for District 33 from 1955 to 1964 and for District 2 from 1965 to 1972, and served as an United States Representative in 1973 and",,,,OKDOT_GIS,12/10/2025 2:36:50 PM,1974.,1,,,0.195665874417166
